Item,Location Name,County,Address,City,Phone,Details,Website,,,
Antifreeze,Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,Antifreeze,http://www.chestercountyswa.org/index.aspx?nid=170,,,
Antifreeze,South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,Antifreeze,http://seccra.org/other-recycling/,,,
 Appliances (with Freon) ,Coatesville Scrap Iron & Metal Co.,Chester, 1000 S 1st Ave, Coatesville,610-384-9230,White Goods,WWW.COATESVILLESCRAP.COM ,,,
 Appliances (with Freon) ,Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,Freon Containing Appliances,http://www.chestercountyswa.org/index.aspx?nid=170,,,
 Appliances (with Freon) ,South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,Freon Containing Appliances,http://seccra.org/other-recycling/,,,
Appliances (No Freon),Coatesville Scrap Iron & Metal Co.,Chester, 1000 S 1st Ave, Coatesville,610-384-9230,White Goods,WWW.COATESVILLESCRAP.COM ,,,
Appliances (No Freon),"Harris Metals, LLC",Chester, 446 Gum Tree Rd, Coatesville,610-857-4670,White Goods,www.harrismetals.net ,,,
Appliances (No Freon),"J E  Kodish & Sons, Inc.",Chester, 225 S Washington St, West Chester,610-696-1054,White Goods,www.jekodishscrapmetal.com ,,,
Appliances (No Freon),South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,Appliances,http://seccra.org/other-recycling/,,,
Aseptic Packaging (Drink Boxes/Milk Cartons),A J Blosenski Inc.,Chester, 289 Lippitt Rd, Elverson,610-942-2707,"Corrugated Containers, Mix Office Paper",www.AJBlosenski.com ,,,
Aseptic Packaging (Drink Boxes/Milk Cartons),Maslo Company Inc.,Chester, 11 Lee Blvd,  Malvern,610-540-9000,"Colored Ledger, Newspapers, Office Paper, White Ledger (Main Office)",WWW.MASLOCOMPANY.COM ,,,
Aseptic Packaging (Drink Boxes/Milk Cartons),"Recycling Express, Inc.",Chester, 526 Lancaster Ave, Unit 3 Frazier,610-889-3172,"Corrugated Containers, Mix Office Paper, Phone Books ",www.recyclingexp.com ,,,
Aseptic Packaging (Drink Boxes/Milk Cartons),South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,"Paperboard Boxes (please flatten), Corrugated Cardboard (please flatten), Paper Bags, Cartons, Newspaper, Brochures , Inserts, Junk Mail, Catalogs, Magazines, File Folders, Office Papers, Phone Books, Paperback Books ",http://seccra.org/single-stream-recycling/,,,
Aseptic Packaging (Drink Boxes/Milk Cartons),West Chester Borough,Chester, 205 Lacey St, West Chester,610-696-5282,"Cardboard, Mixed Paper",http://www.west-chester.com/160/Recycling,,,
"Asphalt, Brick, Concrete, Gravel, & Porcelain",Cedar Hollow Recycling,Chester, 100 Paradise St, Phoenixville,610-983-0193,Clean Concrete and Asphalt,,,,
"Asphalt, Brick, Concrete, Gravel, & Porcelain","Forever Stone, LLC",Chester, 1150 Boot Rd, Downington,610-873-6375,Granite,www.foreverstone.biz ,,,
"Asphalt, Brick, Concrete, Gravel, & Porcelain","G & A Clanton, Inc.",Chester, 350 Lake Rd, Avondale,610-869-8971,"Brick, Concrete, Asphalt",www.gandaclanton.com ,,,
"Asphalt, Brick, Concrete, Gravel, & Porcelain",Independence Construction Materials,Chester, 638 Lancaster Ave, Malvern,610-560-7900,Pre and Post-Consumer Asphalt Roof Shingles,www.allanmyers.com ,,,
"Asphalt, Brick, Concrete, Gravel, & Porcelain",Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,Clean Dry Wall and Vinyl Siding,http://www.chestercountyswa.org/index.aspx?nid=170,,,
Ballast,Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,Fluorescent Tubes,http://www.chestercountyswa.org/index.aspx?nid=170,,,
Batteries (Lead Acid),"Harris Metals, LLC",Chester, 446 Gum Tree Rd, Coatesville,610-857-4670,Lead Acid Batteries,www.harrismetals.net ,,,
Batteries (Lead Acid),"J E  Kodish & Sons, Inc.",Chester, 225 S Washington St, West Chester,610-696-1054,Lead Acid Batteries,www.jekodishscrapmetal.com ,,,
Batteries (Lead Acid),South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,Auto Batteries,http://seccra.org/other-recycling/,,,
Batteries (Rechargable) ,Brandywine Recycling and Disposal,Chester, 172 Barons Hill Rd, West Brandywine,610-942-2333,"Lithium Batteries, NiCad Batteries",,,,
Batteries (Rechargable) ,Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,Rechargable Batteries,http://www.chestercountyswa.org/index.aspx?nid=170,,,
Biohazardous Waste,Chester County HHW events,Chester,7224 Division Hwy,Narvon,610-273-3771,,http://www.chestercountyswa.org/DocumentCenter/View/1711,,,
Bricks,Cedar Hollow Recycling,Chester, 100 Paradise St, Phoenixville,610-983-0193,Clean Concrete and Asphalt,,,,
Bricks,"Forever Stone, LLC",Chester, 1150 Boot Rd, Downington,610-873-6375,Granite,www.foreverstone.biz ,,,
Bricks,"G & A Clanton, Inc.",Chester, 350 Lake Rd, Avondale,610-869-8971,"Brick, Concrete, Asphalt",www.gandaclanton.com ,,,
Bricks,Independence Construction Materials,Chester, 638 Lancaster Ave, Malvern,610-560-7900,Pre and Post-Consumer Asphalt Roof Shingles,www.allanmyers.com ,,,
Bricks,Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,Clean Dry Wall and Vinyl Siding,http://www.chestercountyswa.org/index.aspx?nid=170,,,
Building Materials,Cedar Hollow Recycling,Chester, 100 Paradise St, Phoenixville,610-983-0193,Clean Concrete and Asphalt,,,,
Building Materials,"Forever Stone, LLC",Chester, 1150 Boot Rd, Downington,610-873-6375,Granite,www.foreverstone.biz ,,,
Building Materials,"G & A Clanton, Inc.",Chester, 350 Lake Rd, Avondale,610-869-8971,"Brick, Concrete, Asphalt",www.gandaclanton.com ,,,
Building Materials,Independence Construction Materials,Chester, 638 Lancaster Ave, Malvern,610-560-7900,Pre and Post-Consumer Asphalt Roof Shingles,www.allanmyers.com ,,,
Building Materials,Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,Clean Dry Wall and Vinyl Siding,http://www.chestercountyswa.org/index.aspx?nid=170,,,
Bulbs,Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,Fluorescent Tubes,http://www.chestercountyswa.org/index.aspx?nid=170,,,
Cardboard,A J Blosenski Inc.,Chester, 289 Lippitt Rd, Elverson,610-942-2707,"Corrugated Containers, Mix Office Paper",www.AJBlosenski.com ,,,
Cardboard,Maslo Company Inc.,Chester, 11 Lee Blvd,  Malvern,610-540-9000,"Colored Ledger, Newspapers, Office Paper, White Ledger (Main Office)",WWW.MASLOCOMPANY.COM ,,,
Cardboard,"Recycling Express, Inc.",Chester, 526 Lancaster Ave, Unit 3 Frazier,610-889-3172,"Corrugated Containers, Mix Office Paper, Phone Books ",www.recyclingexp.com ,,,
Cardboard,South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,"Paperboard Boxes (please flatten), Corrugated Cardboard (please flatten), Paper Bags, Cartons, Newspaper, Brochures , Inserts, Junk Mail, Catalogs, Magazines, File Folders, Office Papers, Phone Books, Paperback Books ",http://seccra.org/single-stream-recycling/,,,
Cardboard,West Chester Borough,Chester, 205 Lacey St, West Chester,610-696-5282,"Cardboard, Mixed Paper",http://www.west-chester.com/160/Recycling,,,
Cartons,A J Blosenski Inc.,Chester, 289 Lippitt Rd, Elverson,610-942-2707,"Corrugated Containers, Mix Office Paper",www.AJBlosenski.com ,,,
Cartons,Maslo Company Inc.,Chester, 11 Lee Blvd,  Malvern,610-540-9000,"Colored Ledger, Newspapers, Office Paper, White Ledger (Main Office)",WWW.MASLOCOMPANY.COM ,,,
Cartons,"Recycling Express, Inc.",Chester, 526 Lancaster Ave, Unit 3 Frazier,610-889-3172,"Corrugated Containers, Mix Office Paper, Phone Books ",www.recyclingexp.com ,,,
Cartons,South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,"Paperboard Boxes (please flatten), Corrugated Cardboard (please flatten), Paper Bags, Cartons, Newspaper, Brochures , Inserts, Junk Mail, Catalogs, Magazines, File Folders, Office Papers, Phone Books, Paperback Books ",http://seccra.org/single-stream-recycling/,,,
Cartons,West Chester Borough,Chester, 205 Lacey St, West Chester,610-696-5282,"Cardboard, Mixed Paper",http://www.west-chester.com/160/Recycling,,,
Cell Phones,Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,All Electronics,http://www.chestercountyswa.org/index.aspx?nid=170,,,
Cell Phones,South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,All Electronics Including Cell Phones,http://seccra.org/other-recycling/,,,
Cell Phones,West Chester Borough,Chester, 205 Lacey St, West Chester,610-696-5282,All Electronics,http://www.west-chester.com/160/Recycling,,,
Clothing/Textiles,A Boutique of Treasures,Chester, 808 W 7th Ave, Parkesburg,484-459-2344,Clothing,www.aboftreasures.spruz.com ,,,
Clothing/Textiles,Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,Clean Blankets and Towels,http://www.chestercountyswa.org/index.aspx?nid=170,,,
CFL Bulbs,Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,Fluorescent Tubes,http://www.chestercountyswa.org/index.aspx?nid=170,,,
Computers,"Harris Metals, LLC",Chester, 446 Gum Tree Rd, Coatesville,610-857-4670,"Computer Towers, Desktops, Laptops",www.harrismetals.net ,,,
Concrete,Cedar Hollow Recycling,Chester, 100 Paradise St, Phoenixville,610-983-0193,Clean Concrete and Asphalt,,,,
Concrete,"Forever Stone, LLC",Chester, 1150 Boot Rd, Downington,610-873-6375,Granite,www.foreverstone.biz ,,,
Concrete,"G & A Clanton, Inc.",Chester, 350 Lake Rd, Avondale,610-869-8971,"Brick, Concrete, Asphalt",www.gandaclanton.com ,,,
Concrete,Independence Construction Materials,Chester, 638 Lancaster Ave, Malvern,610-560-7900,Pre and Post-Consumer Asphalt Roof Shingles,www.allanmyers.com ,,,
Concrete,Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,Clean Dry Wall and Vinyl Siding,http://www.chestercountyswa.org/index.aspx?nid=170,,,
Construction/Demolition Materials,Cedar Hollow Recycling,Chester, 100 Paradise St, Phoenixville,610-983-0193,Clean Concrete and Asphalt,,,,
Construction/Demolition Materials,"Forever Stone, LLC",Chester, 1150 Boot Rd, Downington,610-873-6375,Granite,www.foreverstone.biz ,,,
Construction/Demolition Materials,"G & A Clanton, Inc.",Chester, 350 Lake Rd, Avondale,610-869-8971,"Brick, Concrete, Asphalt",www.gandaclanton.com ,,,
Construction/Demolition Materials,Independence Construction Materials,Chester, 638 Lancaster Ave, Malvern,610-560-7900,Pre and Post-Consumer Asphalt Roof Shingles,www.allanmyers.com ,,,
Construction/Demolition Materials,Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,Clean Dry Wall and Vinyl Siding,http://www.chestercountyswa.org/index.aspx?nid=170,,,
Cooking Oil,Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,Cooking Oil,http://www.chestercountyswa.org/index.aspx?nid=170,,,
Dehumidifier,Coatesville Scrap Iron & Metal Co.,Chester, 1000 S 1st Ave, Coatesville,610-384-9230,White Goods,WWW.COATESVILLESCRAP.COM ,,,
Dehumidifier,Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,Freon Containing Appliances,http://www.chestercountyswa.org/index.aspx?nid=170,,,
Dehumidifier,South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,Freon Containing Appliances,http://seccra.org/other-recycling/,,,
Driveway Sealer,Chester County HHW events,Chester,7224 Division Hwy,Narvon,610-273-3771,,http://www.chestercountyswa.org/DocumentCenter/View/1711,,,
Drywall,Cedar Hollow Recycling,Chester, 100 Paradise St, Phoenixville,610-983-0193,Clean Concrete and Asphalt,,,,
Drywall,"Forever Stone, LLC",Chester, 1150 Boot Rd, Downington,610-873-6375,Granite,www.foreverstone.biz ,,,
Drywall,"G & A Clanton, Inc.",Chester, 350 Lake Rd, Avondale,610-869-8971,"Brick, Concrete, Asphalt",www.gandaclanton.com ,,,
Drywall,Independence Construction Materials,Chester, 638 Lancaster Ave, Malvern,610-560-7900,Pre and Post-Consumer Asphalt Roof Shingles,www.allanmyers.com ,,,
Drywall,Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,Clean Dry Wall and Vinyl Siding,http://www.chestercountyswa.org/index.aspx?nid=170,,,
Electronic Equiptment,Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,All Electronics,http://www.chestercountyswa.org/index.aspx?nid=170,,,
Electronic Equiptment,South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,All Electronics Including Cell Phones,http://seccra.org/other-recycling/,,,
Electronic Equiptment,West Chester Borough,Chester, 205 Lacey St, West Chester,610-696-5282,All Electronics,http://www.west-chester.com/160/Recycling,,,
Filters,Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,All Electronics,http://www.chestercountyswa.org/index.aspx?nid=170,,,
Fluorescent Lights,Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,Fluorescent Tubes,http://www.chestercountyswa.org/index.aspx?nid=170,,,
Foam,A J Blosenski Inc.,Chester, 289 Lippitt Rd, Elverson,610-942-2707,"HDPE, LDPE, PET, Plastic #7, PP, PS, PVC",www.AJBlosenski.com ,,,
Foam,RJ Evercrest Polymers Incorporated,Chester, 1234 Wrights Ln, West Chester,610-647-1555,"HDPE, LDPE, PET, Nylon, Polycarbonate, PP, PS, PVC (Post-Industrial Only)",WWW.EVERCRESTINC.COM ,,,
Freon,Chester County HHW events,Chester,7224 Division Hwy,Narvon,610-273-3771,,http://www.chestercountyswa.org/DocumentCenter/View/1711,,,
Fuels/Solvents,Chester County HHW events,Chester,7224 Division Hwy,Narvon,610-273-3771,,http://www.chestercountyswa.org/DocumentCenter/View/1711,,,
Glass,A J Blosenski Inc.,Chester, 289 Lippitt Rd, Elverson,610-942-2707,"Brown, Clear, and Green",www.AJBlosenski.com ,,,
Glass,White Light Productions,Chester, 301 Creek Rd, Downingtown,610-518-0645,"Brown, Clear, and Green",WWW.SEAGLASS.US ,,,
Glass,South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,All Jars and Bottles,http://seccra.org/single-stream-recycling/,,,
Glass,West Chester Borough,Chester, 205 Lacey St, West Chester,610-696-5282,All Jars and Bottles,http://www.west-chester.com/160/Recycling,,,
Grease,Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,Cooking Oil,http://www.chestercountyswa.org/index.aspx?nid=170,,,
Greeting Cards,A J Blosenski Inc.,Chester, 289 Lippitt Rd, Elverson,610-942-2707,"Corrugated Containers, Mix Office Paper",www.AJBlosenski.com ,,,
Greeting Cards,Maslo Company Inc.,Chester, 11 Lee Blvd,  Malvern,610-540-9000,"Colored Ledger, Newspapers, Office Paper, White Ledger (Main Office)",WWW.MASLOCOMPANY.COM ,,,
Greeting Cards,"Recycling Express, Inc.",Chester, 526 Lancaster Ave, Unit 3 Frazier,610-889-3172,"Corrugated Containers, Mix Office Paper, Phone Books ",www.recyclingexp.com ,,,
Greeting Cards,South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,"Paperboard Boxes (please flatten), Corrugated Cardboard (please flatten), Paper Bags, Cartons, Newspaper, Brochures , Inserts, Junk Mail, Catalogs, Magazines, File Folders, Office Papers, Phone Books, Paperback Books ",http://seccra.org/single-stream-recycling/,,,
Greeting Cards,West Chester Borough,Chester, 205 Lacey St, West Chester,610-696-5282,"Cardboard, Mixed Paper",http://www.west-chester.com/160/Recycling,,,
Hazardous Waste,Chester County HHW events,Chester,7224 Division Hwy,Narvon,610-273-3771,,http://www.chestercountyswa.org/DocumentCenter/View/1711,,,
Helium Tanks,Bannon Metals Company,Chester, 514 Twin County Rd, Honey Brook,610-286-9797,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Stainless Steel ",http://www.bannonmetals.webs.com ,,,
Helium Tanks,Coatesville Scrap Iron & Metal Co.,Chester, 1000 S 1st Ave, Coatesville,610-384-9230,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Steel Cans",WWW.COATESVILLESCRAP.COM ,,,
Helium Tanks,"Harris Metals, LLC",Chester, 446 Gum Tree Rd, Coatesville,610-857-4670,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Catalytic Converters, Stainless Steel ",www.harrismetals.net ,,,
Helium Tanks,"J E  Kodish & Sons, Inc.",Chester, 225 S Washington St, West Chester,610-696-1054,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Catalytic Converters, Stainless Steel ",www.jekodishscrapmetal.com ,,,
Helium Tanks,Laurel Recycling,Chester, 1000 S 1st Ave, Coatesville,610-383-5999,"Aluminum Scrap, Lead, Non-Ferrous Metal, Catalytic Converters, Stainless Steel ",,,,
Helium Tanks,Phoenixville Scrap Company,Chester, 705 St Mary's St, Phoenixville,610-935-9363,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal ",WWW.MAYERPOLLOCK.COM ,,,
Humidifier,Coatesville Scrap Iron & Metal Co.,Chester, 1000 S 1st Ave, Coatesville,610-384-9230,White Goods,WWW.COATESVILLESCRAP.COM ,,,
Humidifier,Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,Freon Containing Appliances,http://www.chestercountyswa.org/index.aspx?nid=170,,,
Humidifier,South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,Freon Containing Appliances,http://seccra.org/other-recycling/,,,
Junk Mail,A J Blosenski Inc.,Chester, 289 Lippitt Rd, Elverson,610-942-2707,"Corrugated Containers, Mix Office Paper",www.AJBlosenski.com ,,,
Junk Mail,Maslo Company Inc.,Chester, 11 Lee Blvd,  Malvern,610-540-9000,"Colored Ledger, Newspapers, Office Paper, White Ledger (Main Office)",WWW.MASLOCOMPANY.COM ,,,
Junk Mail,"Recycling Express, Inc.",Chester, 526 Lancaster Ave, Unit 3 Frazier,610-889-3172,"Corrugated Containers, Mix Office Paper, Phone Books ",www.recyclingexp.com ,,,
Junk Mail,South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,"Paperboard Boxes (please flatten), Corrugated Cardboard (please flatten), Paper Bags, Cartons, Newspaper, Brochures , Inserts, Junk Mail, Catalogs, Magazines, File Folders, Office Papers, Phone Books, Paperback Books ",http://seccra.org/single-stream-recycling/,,,
Junk Mail,West Chester Borough,Chester, 205 Lacey St, West Chester,610-696-5282,"Cardboard, Mixed Paper",http://www.west-chester.com/160/Recycling,,,
Kerosene,Chester County HHW events,Chester,7224 Division Hwy,Narvon,610-273-3771,,http://www.chestercountyswa.org/DocumentCenter/View/1711,,,
Light Bulbs,Chester County Solid Waste Authority,Chester, 7224 Division Hwy, Narvon,610-273-3771,Fluorescent Tubes,http://www.chestercountyswa.org/index.aspx?nid=170,,,
Mercury,Chester County HHW events,Chester,7224 Division Hwy,Narvon,610-273-3771,,http://www.chestercountyswa.org/DocumentCenter/View/1711,,,
Microwaves,Coatesville Scrap Iron & Metal Co.,Chester, 1000 S 1st Ave, Coatesville,610-384-9230,White Goods,WWW.COATESVILLESCRAP.COM ,,,
Microwaves,"Harris Metals, LLC",Chester, 446 Gum Tree Rd, Coatesville,610-857-4670,White Goods,www.harrismetals.net ,,,
Microwaves,"J E  Kodish & Sons, Inc.",Chester, 225 S Washington St, West Chester,610-696-1054,White Goods,www.jekodishscrapmetal.com ,,,
Microwaves,South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,Appliances,http://seccra.org/other-recycling/,,,
Milk Cartons & Drink Boxes,A J Blosenski Inc.,Chester, 289 Lippitt Rd, Elverson,610-942-2707,"Corrugated Containers, Mix Office Paper",www.AJBlosenski.com ,,,
Milk Cartons & Drink Boxes,Maslo Company Inc.,Chester, 11 Lee Blvd,  Malvern,610-540-9000,"Colored Ledger, Newspapers, Office Paper, White Ledger (Main Office)",WWW.MASLOCOMPANY.COM ,,,
Milk Cartons & Drink Boxes,"Recycling Express, Inc.",Chester, 526 Lancaster Ave, Unit 3 Frazier,610-889-3172,"Corrugated Containers, Mix Office Paper, Phone Books ",www.recyclingexp.com ,,,
Milk Cartons & Drink Boxes,South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,"Paperboard Boxes (please flatten), Corrugated Cardboard (please flatten), Paper Bags, Cartons, Newspaper, Brochures , Inserts, Junk Mail, Catalogs, Magazines, File Folders, Office Papers, Phone Books, Paperback Books ",http://seccra.org/single-stream-recycling/,,,
Milk Cartons & Drink Boxes,West Chester Borough,Chester, 205 Lacey St, West Chester,610-696-5282,"Cardboard, Mixed Paper",http://www.west-chester.com/160/Recycling,,,
Motor Oil,South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,Motor Oil,http://seccra.org/other-recycling/,,,
Oil,South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,Motor Oil,http://seccra.org/other-recycling/,,,
Packaging Peanuts,A J Blosenski Inc.,Chester, 289 Lippitt Rd, Elverson,610-942-2707,"HDPE, LDPE, PET, Plastic #7, PP, PS, PVC",www.AJBlosenski.com ,,,
Packaging Peanuts,RJ Evercrest Polymers Incorporated,Chester, 1234 Wrights Ln, West Chester,610-647-1555,"HDPE, LDPE, PET, Nylon, Polycarbonate, PP, PS, PVC (Post-Industrial Only)",WWW.EVERCRESTINC.COM ,,,
Paint (Oil/Solvent Base),Chester County HHW events,Chester,7224 Division Hwy,Narvon,610-273-3771,,http://www.chestercountyswa.org/DocumentCenter/View/1711,,,
Paper,A J Blosenski Inc.,Chester, 289 Lippitt Rd, Elverson,610-942-2707,"Corrugated Containers, Mix Office Paper",www.AJBlosenski.com ,,,
Paper,Maslo Company Inc.,Chester, 11 Lee Blvd,  Malvern,610-540-9000,"Colored Ledger, Newspapers, Office Paper, White Ledger (Main Office)",WWW.MASLOCOMPANY.COM ,,,
Paper,"Recycling Express, Inc.",Chester, 526 Lancaster Ave, Unit 3 Frazier,610-889-3172,"Corrugated Containers, Mix Office Paper, Phone Books ",www.recyclingexp.com ,,,
Paper,South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,"Paperboard Boxes (please flatten), Corrugated Cardboard (please flatten), Paper Bags, Cartons, Newspaper, Brochures , Inserts, Junk Mail, Catalogs, Magazines, File Folders, Office Papers, Phone Books, Paperback Books ",http://seccra.org/single-stream-recycling/,,,
Paper,West Chester Borough,Chester, 205 Lacey St, West Chester,610-696-5282,"Cardboard, Mixed Paper",http://www.west-chester.com/160/Recycling,,,
Pesticides,Chester County HHW events,Chester,7224 Division Hwy,Narvon,610-273-3771,,http://www.chestercountyswa.org/DocumentCenter/View/1711,,,
Phone Books,A J Blosenski Inc.,Chester, 289 Lippitt Rd, Elverson,610-942-2707,"Corrugated Containers, Mix Office Paper",www.AJBlosenski.com ,,,
Phone Books,Maslo Company Inc.,Chester, 11 Lee Blvd,  Malvern,610-540-9000,"Colored Ledger, Newspapers, Office Paper, White Ledger (Main Office)",WWW.MASLOCOMPANY.COM ,,,
Phone Books,"Recycling Express, Inc.",Chester, 526 Lancaster Ave, Unit 3 Frazier,610-889-3172,"Corrugated Containers, Mix Office Paper, Phone Books ",www.recyclingexp.com ,,,
Phone Books,South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,"Paperboard Boxes (please flatten), Corrugated Cardboard (please flatten), Paper Bags, Cartons, Newspaper, Brochures , Inserts, Junk Mail, Catalogs, Magazines, File Folders, Office Papers, Phone Books, Paperback Books ",http://seccra.org/single-stream-recycling/,,,
Phone Books,West Chester Borough,Chester, 205 Lacey St, West Chester,610-696-5282,"Cardboard, Mixed Paper",http://www.west-chester.com/160/Recycling,,,
Plastic,A J Blosenski Inc.,Chester, 289 Lippitt Rd, Elverson,610-942-2707,"HDPE, LDPE, PET, Plastic #7, PP, PS, PVC",www.AJBlosenski.com ,,,
Plastic,RJ Evercrest Polymers Incorporated,Chester, 1234 Wrights Ln, West Chester,610-647-1555,"HDPE, LDPE, PET, Nylon, Polycarbonate, PP, PS, PVC (Post-Industrial Only)",WWW.EVERCRESTINC.COM ,,,
Plastic,South East Chester County Refuse Authority,Chester, 219 Street Rd, West Grove,610-869-2452 ext. 11,"PET, HDPE, LDPE, PP, Plastic #7",http://seccra.org/single-stream-recycling/,,,
Plastic,West Chester Borough,Chester, 205 Lacey St, West Chester,610-696-5282,Plastic Bottles/Containers #1-7 (No Styrofoam),http://www.west-chester.com/160/Recycling,,,
Polystyrene,A J Blosenski Inc.,Chester, 289 Lippitt Rd, Elverson,610-942-2707,"HDPE, LDPE, PET, Plastic #7, PP, PS, PVC",www.AJBlosenski.com ,,,
