Item,Location Name,County,Address,City,Phone,Details,Website,
Appliances (with Freon),Bielecki's Scrap and Recycling,Luzerne, 640 N Pennsylvania Ave, Wilkes Barre,570-822-2002,White Goods (No Fridge or A/C),,
Appliances (with Freon),Brenner Recycling,Luzerne, 282 S Wyoming St, Hazleton,570-454-8706,White Goods ,www.brennerrecycling.com ,
Appliances (with Freon),"Concord Plastics, Inc.",Luzerne, 225 Jaycee Dr, West Hazleton,570-453-0803,White Goods,www.concordplasticsinc.com ,
Appliances (with Freon),DMS Shredding Inc.,Luzerne, Rear 9 Fellows Ave, Hanover Twp,570-819-3339,White Goods,http://dmsshreddinginc.com ,
Appliances (with Freon),George Orval Sr. Scrap Iron,Luzerne, RD #2 Hunlock Gardens Hunlock Creek, PA ,570-735-7455,White Goods,,
Appliances (with Freon),"Hazleton Scrap Recycling, Inc.",Luzerne, Hazleton McAdoo Hwy, Hazleton,570-454-4442,White Goods,,
Appliances (with Freon),J L Used Auto Parts Inc.,Luzerne, Rear 658 E Main St, Larksville,570-779-5101,White Goods,www.jlusedautoparts.com ,
Appliances (with Freon),James Tabit & Sons Scrap Metal & Auto Parts,Luzerne, 1151 Washington Ave, Plymouth,570-779-5344,White Goods,http://jamestabitandsons.com ,
Appliances (with Freon),"Louis Cohen & Son, Inc.",Luzerne, 9 Fellows Ave, Wilkes Barre,570-823-0113,White Goods,,
Appliances (No Freon),Abe N Solomon Inc.,Luzerne, 701 S Main St, Wilkes Barre,570-822-5182,White Goods (No Fridge or A/C),,
Appliances (No Freon),Bielecki's Scrap and Recycling,Luzerne, 640 N Pennsylvania Ave, Wilkes Barre,570-822-2002,White Goods ,,
Appliances (No Freon),Brenner Recycling,Luzerne, 282 S Wyoming St, Hazleton,570-454-8706,White Goods ,www.brennerrecycling.com ,
Appliances (No Freon),"Concord Plastics, Inc.",Luzerne, 225 Jaycee Dr, West Hazleton,570-453-0803,White Goods ,www.concordplasticsinc.com ,
Appliances (No Freon),DMS Shredding Inc.,Luzerne, Rear 9 Fellows Ave, Hanover Twp,570-819-3339,White Goods,http://dmsshreddinginc.com ,
Appliances (No Freon),George Orval Sr. Scrap Iron,Luzerne, RD #2 Hunlock Gardens Hunlock Creek, PA ,570-735-7455,White Goods,,
Appliances (No Freon),"Hazleton Scrap Recycling, Inc.",Luzerne, Hazleton McAdoo Hwy, Hazleton,570-454-4442,White Goods,,
Appliances (No Freon),J L Used Auto Parts Inc.,Luzerne, Rear 658 E Main St, Larksville,570-779-5101,White Goods ,www.jlusedautoparts.com ,
Appliances (No Freon),James Tabit & Sons Scrap Metal & Auto Parts,Luzerne, 1151 Washington Ave, Plymouth,570-779-5344,White Goods,http://jamestabitandsons.com ,
Appliances (No Freon),"Louis Cohen & Son, Inc.",Luzerne, 9 Fellows Ave, Wilkes Barre,570-823-0113,White Goods,,
Appliances (No Freon),"TNT Auto Recycling, Inc.",Luzerne, 7601 Blue Ridge Trail, Wapwallopen,570-868-4030,White Goods,,
Batteries (Alkaline/Zinc Carbon),,Luzerne,,,,,,
Batteries (Button Cell),,Luzerne,,,,,,
Batteries (Lead Acid),Brenner Recycling,Luzerne, 282 S Wyoming St, Hazleton,570-454-8706,Auto Batteries ,www.brennerrecycling.com ,
Batteries (Lead Acid),"Hazleton Scrap Recycling, Inc.",Luzerne, Hazleton McAdoo Hwy, Hazleton,570-454-4442,Auto Batteries ,,
Batteries (Lead Acid),Interstate Batteries,Luzerne,1679 River Road ,Jenkins,1-800-381-6431,"Accepts car, truck, motorcycle batteries. ",,
Batteries (Rechargable) ,Interstate Batteries,Luzerne,1679 River Road ,Jenkins,1-800-381-6431,Rechargable batteries,,
Cardboard,All In Shreds,Luzerne, 1001 E 9th St, Hazleton,1-800-891-4410,"Corrugated Containers, Office Papers",,
Cardboard,Bielecki's Scrap and Recycling,Luzerne, 640 N Pennsylvania Ave, Wilkes Barre,570-822-2002,"Corrugated Containers, Magazines, Newspapers, Phone Books, Office Paper, White Ledger ",,
Cardboard,Brenner Recycling,Luzerne, 282 S Wyoming St, Hazleton,570-454-8706,"Corrugated Containers, Newspapers ",www.brennerrecycling.com ,
Cardboard,"Concord Plastics, Inc.",Luzerne, 225 Jaycee Dr, West Hazleton,570-453-0803,"Boxboard, Brown Bags/Sacks, Colored Ledger, Corrugated Containers, Magazines, Office Paper, Newspaper, Books, Phone Books, Office Paper",www.concordplasticsinc.com ,
Cardboard,"J. P. Mascaro & Sons, Inc.",Luzerne, 871 E Main St, Nanticoke,570-735-0664,"Corrugated Containers, Office Papers, Newspapers ",www.jpmascaro.com ,
Cardboard,"Louis Cohen & Son, Inc.",Luzerne, 9 Fellows Ave, Wilkes Barre,570-823-0113,"Corrugated Containers, Office Paper, Newspaper, Other Paper, Mixed Paper, White Ledger",,
Cardboard,"Municipal Recovery, Inc.",Luzerne, 495 Stanton St, Wilkes Barre,570-829-3231,"Corrugated Containers, Cardboard Cores, Magazines, Office Paper, Newspaper",www.solomoncontainer.com ,
Cardboard,Northeast Cartage and Recycling Solutions,Luzerne, 50 Breaker Rd, Hanover Twp,570-270-0301,"Corrugated Containers, Juice Boxes, Magazines, Newspapers, Junk Mail, Office Paper, Phone Books, Poly-Coated Cartons",www.northeastcartage.com ,
Cardboard,Paradise Recycling,Luzerne, 25 Kiwanis Blvd, Hazleton,570-459-1306,"Corrugated Containers, Magazines, Newspapers, Catalogs, Phone Books, Sorted Office Paper",,
Cardboard,"Waste Reduction, Recycling, & Transfer, Inc.",Luzerne, 2100 Sans Souci Pkwy, Wilkes Barre,570-825-3522,"Corrugated Containers, Cardboard Cores, Sorted Office Paper",www.nepawaste.com,
Cartons,All In Shreds,Luzerne, 1001 E 9th St, Hazleton,1-800-891-4410,"Corrugated Containers, Office Papers",,
Cartons,Bielecki's Scrap and Recycling,Luzerne, 640 N Pennsylvania Ave, Wilkes Barre,570-822-2002,"Corrugated Containers, Magazines, Newspapers, Phone Books, Office Paper, White Ledger ",,
Cartons,Brenner Recycling,Luzerne, 282 S Wyoming St, Hazleton,570-454-8706,"Corrugated Containers, Newspapers ",www.brennerrecycling.com ,
Cartons,"Concord Plastics, Inc.",Luzerne, 225 Jaycee Dr, West Hazleton,570-453-0803,"Boxboard, Brown Bags/Sacks, Colored Ledger, Corrugated Containers, Magazines, Office Paper, Newspaper, Books, Phone Books, Office Paper",www.concordplasticsinc.com ,
Cartons,"J. P. Mascaro & Sons, Inc.",Luzerne, 871 E Main St, Nanticoke,570-735-0664,"Corrugated Containers, Office Papers, Newspapers ",www.jpmascaro.com ,
Cartons,"Louis Cohen & Son, Inc.",Luzerne, 9 Fellows Ave, Wilkes Barre,570-823-0113,"Corrugated Containers, Office Paper, Newspaper, Other Paper, Mixed Paper, White Ledger",,
Cartons,"Municipal Recovery, Inc.",Luzerne, 495 Stanton St, Wilkes Barre,570-829-3231,"Corrugated Containers, Cardboard Cores, Magazines, Office Paper, Newspaper",www.solomoncontainer.com ,
Cartons,Northeast Cartage and Recycling Solutions,Luzerne, 50 Breaker Rd, Hanover Twp,570-270-0301,"Corrugated Containers, Juice Boxes, Magazines, Newspapers, Junk Mail, Office Paper, Phone Books, Poly-Coated Cartons",www.northeastcartage.com ,
Cartons,Paradise Recycling,Luzerne, 25 Kiwanis Blvd, Hazleton,570-459-1306,"Corrugated Containers, Magazines, Newspapers, Catalogs, Phone Books, Sorted Office Paper",,
Cartons,"Waste Reduction, Recycling, & Transfer, Inc.",Luzerne, 2100 Sans Souci Pkwy, Wilkes Barre,570-825-3522,"Corrugated Containers, Cardboard Cores, Sorted Office Paper",www.nepawaste.com,
Cell Phones,Best Buy,Luzerne,449 Arena Hub Plaza,Wilkes Barre,570-819-0719,"computers, fax machines, printers, scanners, keyboards, mice, typewriters, video games, cell phones, VCRÕs, VHS tapes, CDÕs, batteries (rechargeable), radios, cassette players. 3 items per day",http://www.luzernecounty.org/county/departments_agencies/solid_waste_management/special_collections_schedule,
Christmas Trees,,Luzerne,,,,,,
Clothing/Textiles,"Concord Plastics, Inc.",Luzerne, 225 Jaycee Dr, West Hazleton,570-453-0803,"Rags, Textiles ",www.concordplasticsinc.com ,
Clothing/Textiles,USAgain Pennsylvania Division,Luzerne, 486 S Empire St, Wilkes Barre,570-270-2670,Textiles and Torn Clothing,www.usagain.com ,
CFL Bulbs,Lowes-Kingston,Luzerne,,,570-285-6000,Please call to verify hours and number of units per resident allowed. ,,
CFL Bulbs,Lowes-Wilkes Barre,Luzerne,,,570-822-7100,Please call to verify hours and number of units per resident allowed. ,,
CFL Bulbs,Lowes-Hazleton,Luzerne,,,570-450-6801,Please call to verify hours and number of units per resident allowed. ,,
Computers,Salvation Army,Luzerne,114 Broadway,Hanover,717-637-2105,"All electronic, (computers, printers, etc), microwaves, televisions, and small electrical items,(curling irons, drills, etc.)",http://www.luzernecounty.org/county/departments_agencies/solid_waste_management/special_collections_schedule,
Computers,Waste Reduction Recycling ,Luzerne,2100 San Souci Parkway,Hanover ,570-825-3522,Anything from tube televisions to mice. (Fees apply-1.50 per pound),http://www.nepawaste.com/Dumping-Fees.html,
Construction/Demolition Materials,"Concord Plastics, Inc.",Luzerne, 225 Jaycee Dr, West Hazleton,570-453-0803,Pallets ,www.concordplasticsinc.com ,
Construction/Demolition Materials,Paradise Recycling,Luzerne, 25 Kiwanis Blvd, Hazleton,570-459-1306,Pallets ,,
Cylinders,,Luzerne,,,,,,
Cylinders,Abe N Solomon Inc.,Luzerne, 701 S Main St, Wilkes Barre,570-822-5182,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Stainless Steel, Steel Cans ",,
Cylinders,Allan Industries,Luzerne, Allan Rd & RTE 309, Wilkes Barre,570-826-0123,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Stainless Steel",www.allanrecyclers.com ,
Cylinders,Bielecki's Scrap and Recycling,Luzerne, 640 N Pennsylvania Ave, Wilkes Barre,570-822-2002,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Steel Cans ",,
Cylinders,Brenner Recycling,Luzerne, 282 S Wyoming St, Hazleton,570-454-8706,"Aluminum Scrap, Ferrous Metal, Lead, Brass, Copper, Nickel, Catalytic Converters, Stainless Steel, Steel Cans, Tin Cans ",www.brennerrecycling.com ,
Cylinders,"Concord Plastics, Inc.",Luzerne, 225 Jaycee Dr, West Hazleton,570-453-0803,"Aluminum Scrap, Steel Drums, Ferrous Metal, Non-Ferrous Metal, Stainless Steel ",www.concordplasticsinc.com ,
Cylinders,DMS Shredding Inc.,Luzerne, Rear 9 Fellows Ave, Hanover Twp,570-819-3339,"Aluminum Scrap, Ferrous Metal, Stainless Steel, Steel Cans ",http://dmsshreddinginc.com ,
Cylinders,George Orval Sr. Scrap Iron,Luzerne, RD #2 Hunlock Gardens Hunlock Creek, PA ,570-735-7455,"Aluminum Scrap, Ferrous Metal,Non-Ferrous Metal, Steel Cans ",,
Cylinders,"Hazleton Scrap Recycling, Inc.",Luzerne, Hazleton McAdoo Hwy, Hazleton,570-454-4442,"Aluminum Scrap, Ferrous Metal, Lead, Steel Cans, Tin Cans ",,
Cylinders,J L Used Auto Parts Inc.,Luzerne, Rear 658 E Main St, Larksville,570-779-5101,"Aluminum Scrap, Ferrous Metal, Steel Cans, Tin Cans ",www.jlusedautoparts.com ,
Cylinders,James Tabit & Sons Scrap Metal & Auto Parts,Luzerne, 1151 Washington Ave, Plymouth,570-779-5344,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Steel Cans ",http://jamestabitandsons.com ,
Cylinders,"Louis Cohen & Son, Inc.",Luzerne, 9 Fellows Ave, Wilkes Barre,570-823-0113,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel, Steel Cans, Tin Cans ",,
Cylinders,"Municipal Recovery, Inc.",Luzerne, 495 Stanton St, Wilkes Barre,570-829-3231,"Aluminum Scrap, Steel Cans",www.solomoncontainer.com ,
Cylinders,"TNT Auto Recycling, Inc.",Luzerne, 7601 Blue Ridge Trail, Wapwallopen,570-868-4030,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Steel Cans ",,
Cylinders,"Waste Reduction, Recycling, & Transfer, Inc.",Luzerne, 2100 Sans Souci Pkwy, Wilkes Barre,570-825-3522,"Aluminum Scrap, Ferrous Metal, Stainless Steel, Steel Cans ",www.nepawaste.com,
Data Destruction,,Luzerne,,,,,,
Dehumidifier,Abe N Solomon Inc.,Luzerne, 701 S Main St, Wilkes Barre,570-822-5182,White Goods (No Fridge or A/C),,
Dehumidifier,Bielecki's Scrap and Recycling,Luzerne, 640 N Pennsylvania Ave, Wilkes Barre,570-822-2002,White Goods (No Fridge or A/C),,
Dehumidifier,Brenner Recycling,Luzerne, 282 S Wyoming St, Hazleton,570-454-8706,White Goods ,www.brennerrecycling.com ,
Dehumidifier,"Concord Plastics, Inc.",Luzerne, 225 Jaycee Dr, West Hazleton,570-453-0803,White Goods,www.concordplasticsinc.com ,
Dehumidifier,DMS Shredding Inc.,Luzerne, Rear 9 Fellows Ave, Hanover Twp,570-819-3339,White Goods,http://dmsshreddinginc.com ,
Dehumidifier,George Orval Sr. Scrap Iron,Luzerne, RD #2 Hunlock Gardens Hunlock Creek, PA ,570-735-7455,White Goods,,
Dehumidifier,"Hazleton Scrap Recycling, Inc.",Luzerne, Hazleton McAdoo Hwy, Hazleton,570-454-4442,White Goods,,
Dehumidifier,J L Used Auto Parts Inc.,Luzerne, Rear 658 E Main St, Larksville,570-779-5101,White Goods,www.jlusedautoparts.com ,
Dehumidifier,James Tabit & Sons Scrap Metal & Auto Parts,Luzerne, 1151 Washington Ave, Plymouth,570-779-5344,White Goods,http://jamestabitandsons.com ,
Dehumidifier,"Louis Cohen & Son, Inc.",Luzerne, 9 Fellows Ave, Wilkes Barre,570-823-0113,White Goods,,
Electronic Equiptment,Salvation Army,Luzerne,114 Broadway,Hanover,717-637-2105,"All electronic, (computers, printers, etc), microwaves, televisions, and small electrical items,(curling irons, drills, etc.)",http://www.luzernecounty.org/county/departments_agencies/solid_waste_management/special_collections_schedule,
Electronic Equiptment,Waste Reduction Recycling ,Luzerne,2100 San Souci Parkway,Hanover ,570-825-3522,Anything from tube televisions to mice. (Fees apply-1.50 per pound),http://www.nepawaste.com/Dumping-Fees.html,
Electronic Equiptment,Best Buy,Luzerne,449 Arena Hub Plaza,Wilkes Barre,570-819-0719,"computers, fax machines, printers, scanners, keyboards, mice, typewriters, video games, cell phones, VCRÕs, VHS tapes, CDÕs, batteries (rechargeable), radios, cassette players. 3 items per day",http://www.luzernecounty.org/county/departments_agencies/solid_waste_management/special_collections_schedule,
Fluorescent Lights,Lowes-Kingston,Luzerne,,,570-285-6000,Please call to verify hours and number of units per resident allowed. ,,
Fluorescent Lights,Lowes-Wilkes Barre,Luzerne,,,570-822-7100,Please call to verify hours and number of units per resident allowed. ,,
Fluorescent Lights,Lowes-Hazleton,Luzerne,,,570-450-6801,Please call to verify hours and number of units per resident allowed. ,,
Glass,"J. P. Mascaro & Sons, Inc.",Luzerne, 871 E Main St, Nanticoke,570-735-0664,"Brown, Clear, and Green ",www.jpmascaro.com ,
Glass,"Municipal Recovery, Inc.",Luzerne, 495 Stanton St, Wilkes Barre,570-829-3231,"Brown, Clear, and Green ",www.solomoncontainer.com ,
Glass,Northeast Cartage and Recycling Solutions,Luzerne, 50 Breaker Rd, Hanover Twp,570-270-0301,"Brown, Clear, and Green ",www.northeastcartage.com ,
Greeting Cards,All In Shreds,Luzerne, 1001 E 9th St, Hazleton,1-800-891-4410,"Corrugated Containers, Office Papers",,
Greeting Cards,Bielecki's Scrap and Recycling,Luzerne, 640 N Pennsylvania Ave, Wilkes Barre,570-822-2002,"Corrugated Containers, Magazines, Newspapers, Phone Books, Office Paper, White Ledger ",,
Greeting Cards,Brenner Recycling,Luzerne, 282 S Wyoming St, Hazleton,570-454-8706,"Corrugated Containers, Newspapers ",www.brennerrecycling.com ,
Greeting Cards,"Concord Plastics, Inc.",Luzerne, 225 Jaycee Dr, West Hazleton,570-453-0803,"Boxboard, Brown Bags/Sacks, Colored Ledger, Corrugated Containers, Magazines, Office Paper, Newspaper, Books, Phone Books, Office Paper",www.concordplasticsinc.com ,
Greeting Cards,"J. P. Mascaro & Sons, Inc.",Luzerne, 871 E Main St, Nanticoke,570-735-0664,"Corrugated Containers, Office Papers, Newspapers ",www.jpmascaro.com ,
Greeting Cards,"Louis Cohen & Son, Inc.",Luzerne, 9 Fellows Ave, Wilkes Barre,570-823-0113,"Corrugated Containers, Office Paper, Newspaper, Other Paper, Mixed Paper, White Ledger",,
Greeting Cards,"Municipal Recovery, Inc.",Luzerne, 495 Stanton St, Wilkes Barre,570-829-3231,"Corrugated Containers, Cardboard Cores, Magazines, Office Paper, Newspaper",www.solomoncontainer.com ,
Greeting Cards,Northeast Cartage and Recycling Solutions,Luzerne, 50 Breaker Rd, Hanover Twp,570-270-0301,"Corrugated Containers, Juice Boxes, Magazines, Newspapers, Junk Mail, Office Paper, Phone Books, Poly-Coated Cartons",www.northeastcartage.com ,
Greeting Cards,Paradise Recycling,Luzerne, 25 Kiwanis Blvd, Hazleton,570-459-1306,"Corrugated Containers, Magazines, Newspapers, Catalogs, Phone Books, Sorted Office Paper",,
Greeting Cards,"Waste Reduction, Recycling, & Transfer, Inc.",Luzerne, 2100 Sans Souci Pkwy, Wilkes Barre,570-825-3522,"Corrugated Containers, Cardboard Cores, Sorted Office Paper",www.nepawaste.com,
Grocery Bags,ANTHRACITE RECYCLING,Luzerne,900 South 5th Avenue,Scranton,570-342-0666,"PS-White Polystyrene, LD-Film, Stretch Wrap & Plastic bags",,
Helium Tanks,Abe N Solomon Inc.,Luzerne, 701 S Main St, Wilkes Barre,570-822-5182,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Stainless Steel, Steel Cans ",,
Helium Tanks,Allan Industries,Luzerne, Allan Rd & RTE 309, Wilkes Barre,570-826-0123,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Stainless Steel",www.allanrecyclers.com ,
Helium Tanks,Bielecki's Scrap and Recycling,Luzerne, 640 N Pennsylvania Ave, Wilkes Barre,570-822-2002,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Steel Cans ",,
Helium Tanks,Brenner Recycling,Luzerne, 282 S Wyoming St, Hazleton,570-454-8706,"Aluminum Scrap, Ferrous Metal, Lead, Brass, Copper, Nickel, Catalytic Converters, Stainless Steel, Steel Cans, Tin Cans ",www.brennerrecycling.com ,
Helium Tanks,"Concord Plastics, Inc.",Luzerne, 225 Jaycee Dr, West Hazleton,570-453-0803,"Aluminum Scrap, Steel Drums, Ferrous Metal, Non-Ferrous Metal, Stainless Steel ",www.concordplasticsinc.com ,
Helium Tanks,DMS Shredding Inc.,Luzerne, Rear 9 Fellows Ave, Hanover Twp,570-819-3339,"Aluminum Scrap, Ferrous Metal, Stainless Steel, Steel Cans ",http://dmsshreddinginc.com ,
Helium Tanks,George Orval Sr. Scrap Iron,Luzerne, RD #2 Hunlock Gardens Hunlock Creek, PA ,570-735-7455,"Aluminum Scrap, Ferrous Metal,Non-Ferrous Metal, Steel Cans ",,
Helium Tanks,"Hazleton Scrap Recycling, Inc.",Luzerne, Hazleton McAdoo Hwy, Hazleton,570-454-4442,"Aluminum Scrap, Ferrous Metal, Lead, Steel Cans, Tin Cans ",,
Helium Tanks,J L Used Auto Parts Inc.,Luzerne, Rear 658 E Main St, Larksville,570-779-5101,"Aluminum Scrap, Ferrous Metal, Steel Cans, Tin Cans ",www.jlusedautoparts.com ,
Helium Tanks,James Tabit & Sons Scrap Metal & Auto Parts,Luzerne, 1151 Washington Ave, Plymouth,570-779-5344,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Steel Cans ",http://jamestabitandsons.com ,
Helium Tanks,"Louis Cohen & Son, Inc.",Luzerne, 9 Fellows Ave, Wilkes Barre,570-823-0113,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel, Steel Cans, Tin Cans ",,
Helium Tanks,"Municipal Recovery, Inc.",Luzerne, 495 Stanton St, Wilkes Barre,570-829-3231,"Aluminum Scrap, Steel Cans",www.solomoncontainer.com ,
Helium Tanks,"TNT Auto Recycling, Inc.",Luzerne, 7601 Blue Ridge Trail, Wapwallopen,570-868-4030,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Steel Cans ",,
Helium Tanks,"Waste Reduction, Recycling, & Transfer, Inc.",Luzerne, 2100 Sans Souci Pkwy, Wilkes Barre,570-825-3522,"Aluminum Scrap, Ferrous Metal, Stainless Steel, Steel Cans ",www.nepawaste.com,
Humidifier,Abe N Solomon Inc.,Luzerne, 701 S Main St, Wilkes Barre,570-822-5182,White Goods (No Fridge or A/C),,
Humidifier,Bielecki's Scrap and Recycling,Luzerne, 640 N Pennsylvania Ave, Wilkes Barre,570-822-2002,White Goods ,,
Humidifier,Brenner Recycling,Luzerne, 282 S Wyoming St, Hazleton,570-454-8706,White Goods ,www.brennerrecycling.com ,
Humidifier,"Concord Plastics, Inc.",Luzerne, 225 Jaycee Dr, West Hazleton,570-453-0803,White Goods ,www.concordplasticsinc.com ,
Humidifier,DMS Shredding Inc.,Luzerne, Rear 9 Fellows Ave, Hanover Twp,570-819-3339,White Goods,http://dmsshreddinginc.com ,
Humidifier,George Orval Sr. Scrap Iron,Luzerne, RD #2 Hunlock Gardens Hunlock Creek, PA ,570-735-7455,White Goods,,
Humidifier,"Hazleton Scrap Recycling, Inc.",Luzerne, Hazleton McAdoo Hwy, Hazleton,570-454-4442,White Goods,,
Humidifier,J L Used Auto Parts Inc.,Luzerne, Rear 658 E Main St, Larksville,570-779-5101,White Goods ,www.jlusedautoparts.com ,
Humidifier,James Tabit & Sons Scrap Metal & Auto Parts,Luzerne, 1151 Washington Ave, Plymouth,570-779-5344,White Goods,http://jamestabitandsons.com ,
Humidifier,"Louis Cohen & Son, Inc.",Luzerne, 9 Fellows Ave, Wilkes Barre,570-823-0113,White Goods,,
Humidifier,"TNT Auto Recycling, Inc.",Luzerne, 7601 Blue Ridge Trail, Wapwallopen,570-868-4030,White Goods,,
Junk Mail,Northeast Cartage and Recycling Solutions,Luzerne, 50 Breaker Rd, Hanover Twp,570-270-0301,"Corrugated Containers, Juice Boxes, Magazines, Newspapers, Junk Mail, Office Paper, Phone Books, Poly-Coated Cartons",www.northeastcartage.com ,
Microwaves,Abe N Solomon Inc.,Luzerne, 701 S Main St, Wilkes Barre,570-822-5182,White Goods (No Fridge or A/C),,
Microwaves,Bielecki's Scrap and Recycling,Luzerne, 640 N Pennsylvania Ave, Wilkes Barre,570-822-2002,White Goods ,,
Microwaves,Brenner Recycling,Luzerne, 282 S Wyoming St, Hazleton,570-454-8706,White Goods ,www.brennerrecycling.com ,
Microwaves,"Concord Plastics, Inc.",Luzerne, 225 Jaycee Dr, West Hazleton,570-453-0803,White Goods ,www.concordplasticsinc.com ,
Microwaves,DMS Shredding Inc.,Luzerne, Rear 9 Fellows Ave, Hanover Twp,570-819-3339,White Goods,http://dmsshreddinginc.com ,
Microwaves,George Orval Sr. Scrap Iron,Luzerne, RD #2 Hunlock Gardens Hunlock Creek, PA ,570-735-7455,White Goods,,
Microwaves,"Hazleton Scrap Recycling, Inc.",Luzerne, Hazleton McAdoo Hwy, Hazleton,570-454-4442,White Goods,,
Microwaves,J L Used Auto Parts Inc.,Luzerne, Rear 658 E Main St, Larksville,570-779-5101,White Goods ,www.jlusedautoparts.com ,
Microwaves,James Tabit & Sons Scrap Metal & Auto Parts,Luzerne, 1151 Washington Ave, Plymouth,570-779-5344,White Goods,http://jamestabitandsons.com ,
Microwaves,"Louis Cohen & Son, Inc.",Luzerne, 9 Fellows Ave, Wilkes Barre,570-823-0113,White Goods,,
