Item,Location Name,County,Address,City,Phone,Details,Website,Website,,,
Scrap & Metal,Cambria County Solid Waste Authority,Cambria, 507 Manor Dr, Ebensburg,814-472-2109,Aluminum and Bi-metal Cans,http://www.cambriarecycles.org/,,,,
Sharps/Syringes,,Cambria,,,,"Sharps are correctly disposed of in the state of PA by placing them into a solid plastic container with a lid. Once full, screw the lid on tightly and add tape for extra security. Write sharps on the container, and dispose with regular waste.",,,,,
Shoes,Donate,Cambria,,,,,,,,,
Smoke Detectors,,Cambria,,,,,,,,,
Solvents,HHW,Cambria,,,,,,,,,
Sporting Goods,Donate,Cambria,,,,,,,,,
Styrofoam/Expanded Polystyrene,See Plastic,Cambria,,,,,,,,,
Syringes,See Sharps/Syringes,Cambria,,,,,,,,,
Tanks,,Cambria,,,,,,,,,
Telephone Books,See Paper,Cambria,,,,,,,,,
Televisions,Cambria County Solid Waste Authority,Cambria, 507 Manor Dr, Ebensburg,814-472-2109,Televisions,http://www.cambriarecycles.org/,,,,
Thermostats,,Cambria,,,,,,,,,
Tires,,Cambria,,,,,,,,,
Toner/Laser Cartridges,,Cambria,,,,,,,,,
Wood,"C. & C. Smith Lumber Company, Inc.",Cambria, 197 Tower Rd, Summerhill,814-495-4712,Sawdust,www.CCSmithlumber.com ,,,,
X-Ray & MRI Film,,Cambria,,,,,,,,,
Yard Waste,,Cambria,,,,,,,,,
