Item,Location Name,County,Address,City,Phone,Details,Website,,,,
Driveway Sealer,Jefferson Twp Fairgrounds,Mercer,7407 Lamor Rd,Mercer,866-815-0016,Sep. 23rd 2017. Call ECS&R at 866-815-0016 (toll free) to Register ,http://co.lawrence.pa.us/wp-content/uploads/2014/09/Special-Collection-Flier-2016-Hard-to-Recycle-Items-Event-Lawrence-County.pdf,,,,
Electronic Equiptment,Jefferson Twp Fairgrounds,Mercer,7407 Lamor Rd,Mercer,866-815-0016,Sep. 23rd 2017. Call ECS&R at 866-815-0016 (toll free) to Register ,http://co.lawrence.pa.us/wp-content/uploads/2014/09/Special-Collection-Flier-2016-Hard-to-Recycle-Items-Event-Lawrence-County.pdf,,,,
Freon,Jefferson Twp Fairgrounds,Mercer,7407 Lamor Rd,Mercer,866-815-0016,Sep. 23rd 2017. Call ECS&R at 866-815-0016 (toll free) to Register ,http://co.lawrence.pa.us/wp-content/uploads/2014/09/Special-Collection-Flier-2016-Hard-to-Recycle-Items-Event-Lawrence-County.pdf,,,,
Fuels/Solvents,Jefferson Twp Fairgrounds,Mercer,7407 Lamor Rd,Mercer,866-815-0016,Sep. 23rd 2017. Call ECS&R at 866-815-0016 (toll free) to Register ,http://co.lawrence.pa.us/wp-content/uploads/2014/09/Special-Collection-Flier-2016-Hard-to-Recycle-Items-Event-Lawrence-County.pdf,,,,
Hazardous Waste,Jefferson Twp Fairgrounds,Mercer,7407 Lamor Rd,Mercer,866-815-0016,Sep. 23rd 2017. Call ECS&R at 866-815-0016 (toll free) to Register ,http://co.lawrence.pa.us/wp-content/uploads/2014/09/Special-Collection-Flier-2016-Hard-to-Recycle-Items-Event-Lawrence-County.pdf,,,,
Helium Tanks,Frank Crash Auto Wrecking,Mercer, 480 Mercer Rd, Greenville,724-588-9392,Ferrous Metal ,www.frankcrashautowrecking.com,,,,
Helium Tanks,Greenville Metals Inc.,Mercer, 99 Crestview Dr Ext, Transfer,724-509-1861,"Ferrous Metal, Nickel, Stainless Steel ",www.pcforgedproducts.com ,,,,
Helium Tanks,Mercer Company,Mercer, 200 Stewart Ave, Sharon,724-347-4534,"Ferrous Metal, Non-Ferrous Metal",www.libertyiron.com ,,,,
Humidifier,Shenango Valley Recycling,Mercer, 329 Dock St, Sharon,724-342-1030,White Goods,www.METALICO.COM,,,,
Kerosene,Jefferson Twp Fairgrounds,Mercer,7407 Lamor Rd,Mercer,866-815-0016,Sep. 23rd 2017. Call ECS&R at 866-815-0016 (toll free) to Register ,http://co.lawrence.pa.us/wp-content/uploads/2014/09/Special-Collection-Flier-2016-Hard-to-Recycle-Items-Event-Lawrence-County.pdf,,,,
Mercury,Jefferson Twp Fairgrounds,Mercer,7407 Lamor Rd,Mercer,866-815-0016,Sep. 23rd 2017. Call ECS&R at 866-815-0016 (toll free) to Register ,http://co.lawrence.pa.us/wp-content/uploads/2014/09/Special-Collection-Flier-2016-Hard-to-Recycle-Items-Event-Lawrence-County.pdf,,,,
Microwaves,Shenango Valley Recycling,Mercer, 329 Dock St, Sharon,724-342-1030,White Goods,www.METALICO.COM,,,,
Mobile Phones,Jefferson Twp Fairgrounds,Mercer,7407 Lamor Rd,Mercer,866-815-0016,Sep. 23rd 2017. Call ECS&R at 866-815-0016 (toll free) to Register ,http://co.lawrence.pa.us/wp-content/uploads/2014/09/Special-Collection-Flier-2016-Hard-to-Recycle-Items-Event-Lawrence-County.pdf,,,,
Motor Oil,Jefferson Twp Fairgrounds,Mercer,7407 Lamor Rd,Mercer,866-815-0016,Sep. 23rd 2017. Call ECS&R at 866-815-0016 (toll free) to Register ,http://co.lawrence.pa.us/wp-content/uploads/2014/09/Special-Collection-Flier-2016-Hard-to-Recycle-Items-Event-Lawrence-County.pdf,,,,
Oil,Jefferson Twp Fairgrounds,Mercer,7407 Lamor Rd,Mercer,866-815-0016,Sep. 23rd 2017. Call ECS&R at 866-815-0016 (toll free) to Register ,http://co.lawrence.pa.us/wp-content/uploads/2014/09/Special-Collection-Flier-2016-Hard-to-Recycle-Items-Event-Lawrence-County.pdf,,,,
Paint (Oil/Solvent Base),Jefferson Twp Fairgrounds,Mercer,7407 Lamor Rd,Mercer,866-815-0016,Sep. 23rd 2017. Call ECS&R at 866-815-0016 (toll free) to Register ,http://co.lawrence.pa.us/wp-content/uploads/2014/09/Special-Collection-Flier-2016-Hard-to-Recycle-Items-Event-Lawrence-County.pdf,,,,
Pesticides,Jefferson Twp Fairgrounds,Mercer,7407 Lamor Rd,Mercer,866-815-0016,Sep. 23rd 2017. Call ECS&R at 866-815-0016 (toll free) to Register ,http://co.lawrence.pa.us/wp-content/uploads/2014/09/Special-Collection-Flier-2016-Hard-to-Recycle-Items-Event-Lawrence-County.pdf,,,,
Phones,Jefferson Twp Fairgrounds,Mercer,7407 Lamor Rd,Mercer,866-815-0016,Sep. 23rd 2017. Call ECS&R at 866-815-0016 (toll free) to Register ,http://co.lawrence.pa.us/wp-content/uploads/2014/09/Special-Collection-Flier-2016-Hard-to-Recycle-Items-Event-Lawrence-County.pdf,,,,
Plastic,Regenex Corp.,Mercer, 1 New St, West Middlesex,724-528-5900,"PVC, Vinyl Siding",WWW.REGENEX.COM ,,,,
Pool Chemicals,Jefferson Twp Fairgrounds,Mercer,7407 Lamor Rd,Mercer,866-815-0016,Sep. 23rd 2017. Call ECS&R at 866-815-0016 (toll free) to Register ,http://co.lawrence.pa.us/wp-content/uploads/2014/09/Special-Collection-Flier-2016-Hard-to-Recycle-Items-Event-Lawrence-County.pdf,,,,
Propane Tanks,Frank Crash Auto Wrecking,Mercer, 480 Mercer Rd, Greenville,724-588-9392,Ferrous Metal ,www.frankcrashautowrecking.com,,,,
Propane Tanks,Greenville Metals Inc.,Mercer, 99 Crestview Dr Ext, Transfer,724-509-1861,"Ferrous Metal, Nickel, Stainless Steel ",www.pcforgedproducts.com ,,,,
Propane Tanks,Mercer Company,Mercer, 200 Stewart Ave, Sharon,724-347-4534,"Ferrous Metal, Non-Ferrous Metal",www.libertyiron.com ,,,,
Refrigerators,Shenango Valley Recycling,Mercer, 329 Dock St, Sharon,724-342-1030,White Goods,www.METALICO.COM,,,,
Scrap & Metal,Frank Crash Auto Wrecking,Mercer, 480 Mercer Rd, Greenville,724-588-9392,Ferrous Metal ,www.frankcrashautowrecking.com,,,,
Scrap & Metal,Greenville Metals Inc.,Mercer, 99 Crestview Dr Ext, Transfer,724-509-1861,"Ferrous Metal, Nickel, Stainless Steel ",www.pcforgedproducts.com ,,,,
Scrap & Metal,"Hadley Recycling, Inc.",Mercer, 1093 Fredonia Rd, Hadley,724-253-2969,Aluminum Scrap,www.metalico.com ,,,,
Scrap & Metal,Mercer Auto Wrecker,Mercer, 748 Wilson Ave, Mercer,724-662-3440,"Brass, Copper",,,,,
Scrap & Metal,Mercer Company,Mercer, 200 Stewart Ave, Sharon,724-347-4534,"Ferrous Metal, Non-Ferrous Metal",www.libertyiron.com ,,,,
Scrap & Metal,Shenango Valley Recycling,Mercer, 329 Dock St, Sharon,724-342-1030,"Aluminum Scrap, Brass",www.METALICO.COM,,,,
Solvents,Lawrence County Fairgrounds,Mercer,464 Midway RD,New Castle,866-815-0016,Sep. 23rd 2017. Call ECS&R at 866-815-0016 (toll free) to Register ,http://co.lawrence.pa.us/wp-content/uploads/2014/09/Special-Collection-Flier-2016-Hard-to-Recycle-Items-Event-Lawrence-County.pdf,,,,
Tanks,Frank Crash Auto Wrecking,Mercer, 480 Mercer Rd, Greenville,724-588-9392,Ferrous Metal ,www.frankcrashautowrecking.com,,,,
Tanks,Greenville Metals Inc.,Mercer, 99 Crestview Dr Ext, Transfer,724-509-1861,"Ferrous Metal, Nickel, Stainless Steel ",www.pcforgedproducts.com ,,,,
Tanks,Mercer Company,Mercer, 200 Stewart Ave, Sharon,724-347-4534,"Ferrous Metal, Non-Ferrous Metal",www.libertyiron.com ,,,,
Televisions,Jefferson Twp Fairgrounds,Mercer,7407 Lamor Rd,Mercer,866-815-0016,Sep. 23rd 2017. Call ECS&R at 866-815-0016 (toll free) to Register ,http://co.lawrence.pa.us/wp-content/uploads/2014/09/Special-Collection-Flier-2016-Hard-to-Recycle-Items-Event-Lawrence-County.pdf,,,,
Thermostats,Jefferson Twp Fairgrounds,Mercer,7407 Lamor Rd,Mercer,866-815-0016,Sep. 23rd 2017. Call ECS&R at 866-815-0016 (toll free) to Register ,http://co.lawrence.pa.us/wp-content/uploads/2014/09/Special-Collection-Flier-2016-Hard-to-Recycle-Items-Event-Lawrence-County.pdf,,,,
Tires,Jefferson Twp Fairgrounds,Mercer,7407 Lamor Rd,Mercer,866-815-0016,Sep. 23rd 2017. Call ECS&R at 866-815-0016 (toll free) to Register ,http://co.lawrence.pa.us/wp-content/uploads/2014/09/Special-Collection-Flier-2016-Hard-to-Recycle-Items-Event-Lawrence-County.pdf,,,,
Wood,CTC Packaging,Mercer, 5264 Lake St, Sandy Lake,724-376-7315,Wooden Pallets ,www.ctcpackaging.com,,,,
