Item,Location Name,County,Address,City,Phone,Details,Website,,,,
Flares,,Fayette,,,,,,,,,
Fluorescent Lights,See Bulbs,Fayette,,,,,,,,,
Foam,See Plastic,Fayette,,,,,,,,,
Food,,Fayette,,,,,,,,,
Freon,HHW,Fayette,,,,,,,,,
Fuels/Solvents,HHW,Fayette,,,,,,,,,
Furniture,Donate,Fayette,,,,,,,,,
Glass,"CAP Glass, Inc.",Fayette, 1005 Modulus Rd, Mt Pleasant,Contact: Shawn Pilla 724-547-4550,"Brown, Clear, Green, Other Glass, Cobalt",www.capglassrecycling.com ,,,,
Glass,Goodwill Industries Recycling Station,Fayette, 105 Romeo Ln, Uniontown,Contact: Gary Gibson 724-437-9878,"Brown, Clear, and Green ",www.goodwillpit.org,,,,
Grease,See Cooking Oil,Fayette,,,,,,,,,
Greeting Cards,See paper,Fayette,,,,,,,,,
Grocery Bags,See Plastic Films,Fayette,,,,,,,,,
Hangers,,Fayette,,,,,,,,,
Hazardous Waste,HHW,Fayette,,,,,,,,,
Helium Tanks,See Scrap & Metal,Fayette,,,,,,,,,
Humidifier,See Appliances,Fayette,,,,,,,,,
Ink Cartridges,See Toner/Laser Cartridges,Fayette,,,,,,,,,
Junk Removal,1800GOTJUNK,Fayette,,,,,,,,,
Junk Mail,See Paper,Fayette,,,,,,,,,
Kerosene,HHW,Fayette,,,,,,,,,
Light Bulbs,See Bulbs,Fayette,,,,,,,,,
Medicine,See Drugs,Fayette,,,,,,,,,
Mercury,HHW,Fayette,,,,,,,,,
Microwaves,See Appliances,Fayette,,,,,,,,,
Milk Cartons & Drink Boxes,See Paper,Fayette,,,,,,,,,
Mobile Phones,See Cell Phones,Fayette,,,,,,,,,
Monofilament (Fishing Line),,Fayette,,,,,,,,,
Motor Oil,"Check Local Mechanic Shops, Auto Zone, Pep Boys, (Check DEP Site for Collection Events, PRC Events)",Fayette,,,"For Large Quantities, Check Safety Kleen Site for Nearby Locations--->",DEP HHW Events by County,Find Safety Kleen Near Me,,,,
Needles,See Sharps/Syringes,Fayette,,,,,,,,,
Oil,"Check Local Mechanic Shops, Auto Zone, Pep Boys, (Check DEP Site for Collection Events, PRC Events)",Fayette,,,"For Large Quantities, Check Safety Kleen Site for Nearby Locations--->",DEP HHW Events by County,Find Safety Kleen Near Me,,,,
Packaging Peanuts,See Plastic,Fayette,,,,,,,,,
Paint (Oil/Solvent Base),HHW,Fayette,,,,,,,,,
Paper,Goodwill Industries Recycling Station,Fayette, 105 Romeo Ln, Uniontown,Contact: Gary Gibson 724-437-9878,"Corrugated Containers, Magazines, Newspapers, Office Paper, White Ledger Paper ",www.goodwillpit.org,,,,
Paper Shredding,,Fayette,,,,,,,,,
Pesticides,HHW,Fayette,,,,,,,,,
Pet Supplies,,Fayette,,,,,,,,,
Phone Books,See Paper,Fayette,,,,,,,,,
Phones,See Cell Phones,Fayette,,,,,,,,,
Plastic,Goodwill Industries Recycling Station,Fayette, 105 Romeo Ln, Uniontown,Contact: Gary Gibson 724-437-9878,"HDPE, PET ",www.goodwillpit.org,,,,
Plastic Bottle Caps,Trash,Fayette,,,,,,,,,
Polystyrene,See Plastic,Fayette,,,,,,,,,
Pool Chemicals,HHW,Fayette,,,,,,,,,
Prom Dresses,Donate,Fayette,,,,,,,,,
Propane Tanks,See Scrap & Metal,Fayette,,,,,,,,,
Railroad Ties,See Yard Waste,Fayette,,,,,,,,,
Rain Barrels,,Fayette,,,,,,,,,
Refrigerators,See Appliances,Fayette,,,,,,,,,
Scrap & Metal,A & J Scrap,Fayette, 235 Water St, Brownsville,724-785-5572 ,Non-Ferrous Metal ,,,,,
Scrap & Metal,"Assad Iron & Metals, Inc.",Fayette, Albany Rd, Brownsville,724-785-6000 ,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel ",WWW.METALICO.COM ,,,,
Scrap & Metal,Delmar Dennis Co.,Fayette, Atlas Rd, Hopwood,724-437-4834 ,"Aluminum Scrap, Ferrous Metal ",,,,,
Scrap & Metal,Goodwill Industries Recycling Station,Fayette, 105 Romeo Ln, Uniontown,Contact: Gary Gibson 724-437-9878,Steel and Tin Cans ,www.goodwillpit.org,,,,
Scrap & Metal,Kubina Metals,Fayette, 672 Braznell Rd, Grindstone,724-785-6190 ,Non-Ferrous Metal ,,,,,
Scrap & Metal,Owensdale Scrap and Recycling Inc.,Fayette, 551 Broadford Rd, Connellsville,724-628-1960,"Ferrous Metal, Non-Ferrous Metal ",,,,,
Scrap & Metal,Platt Recycling,Fayette, 96 Oliver Rd, Uniontown,724-438-2091,"Ferrous Metal, Non-Ferrous Metal, Stainless Steel  ",WWW.METALICO.COM ,,,,
Scrap & Metal,Robert E. Platt Auto Wreckers,Fayette, 213 Foxburg Rd, Normalville,724-455-3878,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal ",,,,,
Scrap & Metal,"RT 51 Iron & Metals, LLC",Fayette, 907 Old RTE 51 Rd, Smock,724-677-2424,"Aluminum Scrap, Ferrous Metal, Brass Copper, Nickel, Cobalt, Titanium, Catalytic Converters, Stainless Steel ",www.RT51metals.com ,,,,
Scrap & Metal,Simyak Scrap Iron and Metal,Fayette, 131 Knob Rd, Brownsville,724-785-8822,"Ferrous Metal, Non-Ferrous Metal, Steel Cans ",,,,,
Scrap & Metal,Toby Brothers Iron and Metals,Fayette, 186 Laurel Hill Rd, Dunbar,724-439-1660,"Ferrous Metal, Non-Ferrous Metal ",,,,,
Scrap & Metal,Upton Auto Wreckers,Fayette, 544 Buchanan Rd, Normalville,724-455-2805,"Aluminum Scrap, Lead ",,,,,
Sharps/Syringes,,Fayette,,,,"Sharps are correctly disposed of in the state of PA by placing them into a solid plastic container with a lid. Once full, screw the lid on tightly and add tape for extra security. Write sharps on the container, and dispose with regular waste.",,,,,
Shoes,Donate,Fayette,,,,,,,,,
Smoke Detectors,,Fayette,,,,,,,,,
Solvents,HHW,Fayette,,,,,,,,,
Sporting Goods,Donate,Fayette,,,,,,,,,
Styrofoam/Expanded Polystyrene,See Plastic,Fayette,,,,,,,,,
Syringes,See Sharps/Syringes,Fayette,,,,,,,,,
Tanks,,Fayette,,,,,,,,,
Telephone Books,See Paper,Fayette,,,,,,,,,
Televisions,See Electronics,Fayette,,,,,,,,,
Thermostats,,Fayette,,,,,,,,,
Tires,,Fayette,,,,,,,,,
Toner/Laser Cartridges,Operation Good Brother,Fayette, 472 Coolspring St, Uniontown,1-800-290-4444,Laser Toner Cartridges ,www.good-brother.org ,,,,
Wood,Tri State Biofuels LLC,Fayette, 141 Thomson Recovery Rd, Lemont Furnace,Contact: Norman Thomson 724-437-3181,"Pole Wood, Wood Chips, Saw Dust",www.tristatebio.com ,,,,
X-Ray & MRI Film,,Fayette,,,,,,,,,
Yard Waste,,Fayette,,,,,,,,,
 Special Collection Programs ,,Fayette,,,,,,,,,
,,,,,,,,,,,
