Item,Location Name,County,Address,City,Phone,Details,Website,,,
Driveway Sealer,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,HHW,http://www.ecsr.net/services/electronic-universal-waste/,,,
Electronic Equiptment,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,All Electronics,http://www.ecsr.net/services/electronic-universal-waste/,,,
Fluorescent Lights,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,CFL Bulbs ,http://www.ecsr.net/services/electronic-universal-waste/,,,
Foam,"Morco, Inc.",Crawford , 125 High St, Cochranton,814-425-7476,"HDPE, PS (Post-Consumer and Post-Industrial Only)",WWW.MORCOLINE.COM ,,,
Freon,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,HHW,http://www.ecsr.net/services/electronic-universal-waste/,,,
Fuels/Solvents,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,HHW,http://www.ecsr.net/services/electronic-universal-waste/,,,
Hazardous Waste,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,HHW,http://www.ecsr.net/services/electronic-universal-waste/,,,
Hazardous Waste,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,HHW,http://www.ecsr.net/services/electronic-universal-waste/,,,
Helium Tanks,Lincoln Recycling Meadville,Crawford , 986 French St, Meadville,814-724-2241,"Ferrous Metal, Non-Ferrous Metal ",www.lincolnrecycling.com ,,,
Helium Tanks,Meadville Metal Co.,Crawford , 986 French St, Meadville,814-724-2241,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Nickel Alloys, Gold, Silver, Stainless Steel ",www.lincolnmetalco.com ,,,
Humidifier,Meadville Metal Co.,Crawford , 986 French St, Meadville,814-724-2241,White Goods,www.lincolnmetalco.com ,,,
Kerosene,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,HHW,http://www.ecsr.net/services/electronic-universal-waste/,,,
Light Bulbs,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,CFL Bulbs ,http://www.ecsr.net/services/electronic-universal-waste/,,,
Mercury,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,HHW,http://www.ecsr.net/services/electronic-universal-waste/,,,
Microwaves,Meadville Metal Co.,Crawford , 986 French St, Meadville,814-724-2241,White Goods,www.lincolnmetalco.com ,,,
Mobile Phones,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,All Electronics,http://www.ecsr.net/services/electronic-universal-waste/,,,
Motor Oil,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,HHW,http://www.ecsr.net/services/electronic-universal-waste/,,,
Motor Oil,R.H. Watkins Motors,Crawford , 18490 US 6 & 19 Saegertown, PA ,814-763-1199,Used Motor Oil,,,,
Oil,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,HHW,http://www.ecsr.net/services/electronic-universal-waste/,,,
Oil,R.H. Watkins Motors,Crawford , 18490 US 6 & 19 Saegertown, PA ,814-763-1199,Used Motor Oil,,,,
Paint (Oil/Solvent Base),ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,HHW,http://www.ecsr.net/services/electronic-universal-waste/,,,
Paper,Environmental Coordination Services & Recycling,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,"Corrugated Containers, Sorted Office Paper (Industrial and Commerical Customers Only) ",WWW.ECSR.NET ,,,
Pesticides,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,HHW,http://www.ecsr.net/services/electronic-universal-waste/,,,
Phones,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,All Electronics,http://www.ecsr.net/services/electronic-universal-waste/,,,
Plastic,Environmental Coordination Services & Recycling,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,Vinyl Siding in Quantities Exceeding 1000lbs. (Industrial and Commercial Customers Only),WWW.ECSR.NET ,,,
Plastic,"Morco, Inc.",Crawford , 125 High St, Cochranton,814-425-7476,"HDPE, PS (Post-Consumer and Post-Industrial Only)",WWW.MORCOLINE.COM ,,,
Polystyrene,"Morco, Inc.",Crawford , 125 High St, Cochranton,814-425-7476,"HDPE, PS (Post-Consumer and Post-Industrial Only)",WWW.MORCOLINE.COM ,,,
Pool Chemicals,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,HHW,http://www.ecsr.net/services/electronic-universal-waste/,,,
Propane Tanks,Lincoln Recycling Meadville,Crawford , 986 French St, Meadville,814-724-2241,"Ferrous Metal, Non-Ferrous Metal ",www.lincolnrecycling.com ,,,
Propane Tanks,Meadville Metal Co.,Crawford , 986 French St, Meadville,814-724-2241,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Nickel Alloys, Gold, Silver, Stainless Steel ",www.lincolnmetalco.com ,,,
Refrigerators,Meadville Metal Co.,Crawford , 986 French St, Meadville,814-724-2241,White Goods,www.lincolnmetalco.com ,,,
Scrap & Metal,Lincoln Recycling Meadville,Crawford , 986 French St, Meadville,814-724-2241,"Ferrous Metal, Non-Ferrous Metal ",www.lincolnrecycling.com ,,,
Scrap & Metal,Meadville Metal Co.,Crawford , 986 French St, Meadville,814-724-2241,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Nickel Alloys, Gold, Silver, Stainless Steel ",www.lincolnmetalco.com ,,,
Solvents,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,HHW,http://www.ecsr.net/services/electronic-universal-waste/,,,
Styrofoam/Expanded Polystyrene,"Morco, Inc.",Crawford , 125 High St, Cochranton,814-425-7476,"HDPE, PS (Post-Consumer and Post-Industrial Only)",WWW.MORCOLINE.COM ,,,
Tanks,Lincoln Recycling Meadville,Crawford , 986 French St, Meadville,814-724-2241,"Ferrous Metal, Non-Ferrous Metal ",www.lincolnrecycling.com ,,,
Tanks,Meadville Metal Co.,Crawford , 986 French St, Meadville,814-724-2241,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Nickel Alloys, Gold, Silver, Stainless Steel ",www.lincolnmetalco.com ,,,
Televisions,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,All Electronics,http://www.ecsr.net/services/electronic-universal-waste/,,,
Thermostats,ECS&R,Crawford , 3237 US HWY 19, Cochranton,814-425-7773,HHW,http://www.ecsr.net/services/electronic-universal-waste/,,,
Tires,Cambridge Springs Tire Co. Inc.,Crawford , 23411 Thomas Rd, Cambridge Springs,814-398-4671,Auto Tires,,,,
Tires,Flynn's Tires,Crawford , 1158 Park Ave, Meadville,814-337-5441,Auto Tires,,,,
