Item,Location Name,County,Street,City ,Phone Number,Fees/Specifics,Website
Appliances (No Freon),Full Circle Recycling Inc.,Lancaster, 965 Lancaster Ave, Quarryville,717-284-2800,White Goods,www.fullcirclerecyclingpa.com
Appliances (No Freon),"Good's Disposal Service, Inc.",Lancaster, 4361 Oregon Pike, Ephrata,717-336-6385,White Goods,www.goodsdisposalservice.com
Appliances (No Freon),"James Groff & Son, Inc.",Lancaster, 17 N Hess St, Quarryville,717-786-3571,White Goods ,www.jamesgroff.com
Appliances (No Freon),Lancaster County Solid Waste Management Authority,Lancaster, 1299 Harrisburg Pike, Lancaster,717-397-9968,White Goods ,www.lcswma.org
Appliances (No Freon),Rubin Steel Company,Lancaster, 1430 Fruitville Pike, Lancaster,717-299-3682,White Goods ,www.rubinsteel.com
Asbestos,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,"Covered devices: desktop computers, laptops, monitors, computer peripherals (keyboard, mouse, printer and speakers), televisions and e-readers. Limit of 10 total covered devices per customer, per day
E-waste: photo cameras, video cameras, cell phones and smart phones, cell phone peripherals (chargers, batteries, Bluetooth earpiece, air cards, clips, cases), DVD and VCR players, MP3 players and iPods, PDA's, portable electronic game players, video game consoles, stereos and stereo peripherals (CD players, turntables, amplifiers, speakers). No wooden speakers. Limit of 10 total e-waste items per customer, per day",http://www.lcswma.org/lcswma_facilities_hhw.cfm
Aseptic Packaging (Drink Boxes/Milk Cartons),"Beartown Recycling, LLC",Lancaster, 6943 Division Hwy, Narvon,717-354-7734,"Corrugated Containers, Magazines, Newspapers, Books, Office Paper ",www.beartownrecycling.com
Aseptic Packaging (Drink Boxes/Milk Cartons),City of Lancaster Recycling Drop Off Center,Lancaster, 850 New Holland Ave, Lancaster,717-291-4744,"Colored Legder, Corrugated Containers, Magazines, Office Paper, Newspaper, Phone Books, White Ledger ",www.cityoflancasterpa.com
Aseptic Packaging (Drink Boxes/Milk Cartons),"Good's Disposal Service, Inc.",Lancaster, 4361 Oregon Pike, Ephrata,717-336-6385,"Corrugated Containers, Magazines, Newspapers, Junk Mail, Phone Books, Office Paper ",www.goodsdisposalservice.com
Aseptic Packaging (Drink Boxes/Milk Cartons),"Gordon Waste Company, Inc.",Lancaster, 199 Bridge St, Columbia,1-888-684-2201,All Grades of Paper ,www.gordonwaste.com
Aseptic Packaging (Drink Boxes/Milk Cartons),Lancaster County Solid Waste Management Authority,Lancaster, 1299 Harrisburg Pike, Lancaster,717-397-9968,Newspaper ,www.lcswma.org
Aseptic Packaging (Drink Boxes/Milk Cartons),Packaging Corp. of America,Lancaster, 1530 Fruitville Pike, Lancaster,717-397-3591,Corrugated Containers ,www.packagingcorp.com
Aseptic Packaging (Drink Boxes/Milk Cartons),R. Davis Enterprises,Lancaster, 1909 Cloveleaf Rd, Mt Joy,717-361-2281,Corrugated Containers ,www.ronthebagman.com
Aseptic Packaging (Drink Boxes/Milk Cartons),Ram Corporation,Lancaster, 15 Lititz Run Rd, Lititz,717-626-2181,"Corrugated Containers, Magazines, Newspapers, Office Paper, White Ledger Paper ",www.ram-corporation.com
Aseptic Packaging (Drink Boxes/Milk Cartons),"Reliable Industries, LLC",Lancaster, 15 Lititz Run Rd, Lititz,717-397-7695,"Corrugated Containers, Fiber Drums, Chipboard ",WWW.RELBOX.COM
"Asphalt, Brick, Concrete, Gravel, & Porcelain","Agri Marketing, Inc.",Lancaster, 1802 Texter Mountain Rd, Reinholds,717-335-0379,Pre-Consumer Drywall ,www.usagypsum.com
"Asphalt, Brick, Concrete, Gravel, & Porcelain",Armstrong World Industries,Lancaster, 2500 Columbia Ave, Lancaster,1-877-276-7876,Acoustical Ceiling Tile ,www.armstrong.com
"Asphalt, Brick, Concrete, Gravel, & Porcelain","B.R. Kreider & Son, Inc.",Lancaster, 63 Kreider Ln, Manheim,717-898-7651,Used Asphalt and Concrete ,www.brkreider.com
"Asphalt, Brick, Concrete, Gravel, & Porcelain",Gypsum AgriCycle Inc.  ,Lancaster,832 Willow Rd, Lancaster,717-426-1990,Large Quantities of Gypsum Drywall ,www.gypsumagri-cycle.com
"Asphalt, Brick, Concrete, Gravel, & Porcelain","Pennsy Supply, East Petersburg",Lancaster, 2742 Lancaster Rd, Manheim,717-236-7023,Pre and Post-Consumer Asphalt Shingles ,www.pennsysupply.com
"Asphalt, Brick, Concrete, Gravel, & Porcelain",Rohrer's Quarry Inc.,Lancaster, 70 Lititz Rd, Lititz,717-626-9760,Used Asphalt and Concrete ,www.rohrersquarry.com
Automotive Parts & Liquids,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,,http://www.lcswma.org/lcswma_facilities_hhw.cfm
Ballast,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,,http://www.lcswma.org/lcswma_facilities_hhw.cfm
Batteries (Alkaline/Zinc Carbon),Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,,http://www.lcswma.org/lcswma_facilities_hhw.cfm
Batteries (Button Cell),Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,,http://www.lcswma.org/lcswma_facilities_hhw.cfm
Batteries (Lead Acid),"A & S Carriers, LLC.",Lancaster, 208 Shellyland Rd, Manheim,717-682-6247,Auto Batteries ,www.ascarriers.com
Batteries (Lead Acid),Batteries Plus,Lancaster, 3023 Columbia Ave, Lancaster,717-393-2200,Auto Batteries ,www.batteriesplus.com
Batteries (Lead Acid),"Beartown Recycling, LLC",Lancaster, 6943 Division Hwy, Narvon,717-354-7734,Auto Batteries ,www.beartownrecycling.com
Batteries (Lead Acid),Ephrata Recycling,Lancaster, 339 E Fulton St, Ephrata,717-733-9300,Auto Batteries ,ephratarecyclingpa.com
Batteries (Lead Acid),Full Circle Recycling #2,Lancaster, 702 S Prince St, Lancaster,717-396-9999,Auto Batteries ,www.fullcirclerecyclingpa.com
Batteries (Lead Acid),Full Circle Recycling Inc.,Lancaster, 965 Lancaster Ave, Quarryville,717-284-2800,Auto Batteries ,www.fullcirclerecyclingpa.com
Batteries (Lead Acid),"Good's Disposal Service, Inc.",Lancaster, 4361 Oregon Pike, Ephrata,717-336-6385,Auto Batteries ,www.goodsdisposalservice.com
Batteries (Lead Acid),Lancaster Salvage Co.,Lancaster, 1058 N Plum St, Lancaster,717-393-6129,Auto Batteries ,
Batteries (Lead Acid),Sahd Metal Recycling,Lancaster, 1045 Lancaster Ave, Columbia,717-684-8506,Auto Batteries ,http://recycleyourmetal.com
Batteries (Rechargable) ,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,,http://www.lcswma.org/lcswma_facilities_hhw.cfm
Biohazardous Waste,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,,http://www.lcswma.org/lcswma_facilities_hhw.cfm
Bricks,"Agri Marketing, Inc.",Lancaster, 1802 Texter Mountain Rd, Reinholds,717-335-0379,Pre-Consumer Drywall ,www.usagypsum.com
Bricks,Armstrong World Industries,Lancaster, 2500 Columbia Ave, Lancaster,1-877-276-7876,Acoustical Ceiling Tile ,www.armstrong.com
Bricks,"B.R. Kreider & Son, Inc.",Lancaster, 63 Kreider Ln, Manheim,717-898-7651,Used Asphalt and Concrete ,www.brkreider.com
Bricks,Gypsum AgriCycle Inc.  ,Lancaster,832 Willow Rd, Lancaster,717-426-1990,Large Quantities of Gypsum Drywall ,www.gypsumagri-cycle.com
Bricks,"Pennsy Supply, East Petersburg",Lancaster, 2742 Lancaster Rd, Manheim,717-236-7023,Pre and Post-Consumer Asphalt Shingles ,www.pennsysupply.com
Bricks,Rohrer's Quarry Inc.,Lancaster, 70 Lititz Rd, Lititz,717-626-9760,Used Asphalt and Concrete ,www.rohrersquarry.com
Building Materials,"Agri Marketing, Inc.",Lancaster, 1802 Texter Mountain Rd, Reinholds,717-335-0379,Pre-Consumer Drywall ,www.usagypsum.com
Building Materials,Armstrong World Industries,Lancaster, 2500 Columbia Ave, Lancaster,1-877-276-7876,Acoustical Ceiling Tile ,www.armstrong.com
Building Materials,"B.R. Kreider & Son, Inc.",Lancaster, 63 Kreider Ln, Manheim,717-898-7651,Used Asphalt and Concrete ,www.brkreider.com
Building Materials,Gypsum AgriCycle Inc.  ,Lancaster,832 Willow Rd, Lancaster,717-426-1990,Large Quantities of Gypsum Drywall ,www.gypsumagri-cycle.com
Building Materials,"Pennsy Supply, East Petersburg",Lancaster, 2742 Lancaster Rd, Manheim,717-236-7023,Pre and Post-Consumer Asphalt Shingles ,www.pennsysupply.com
Building Materials,Rohrer's Quarry Inc.,Lancaster, 70 Lititz Rd, Lititz,717-626-9760,Used Asphalt and Concrete ,www.rohrersquarry.com
Cardboard,"Beartown Recycling, LLC",Lancaster, 6943 Division Hwy, Narvon,717-354-7734,"Corrugated Containers, Magazines, Newspapers, Books, Office Paper ",www.beartownrecycling.com
Cardboard,City of Lancaster Recycling Drop Off Center,Lancaster, 850 New Holland Ave, Lancaster,717-291-4744,"Colored Legder, Corrugated Containers, Magazines, Office Paper, Newspaper, Phone Books, White Ledger ",www.cityoflancasterpa.com
Cardboard,"Good's Disposal Service, Inc.",Lancaster, 4361 Oregon Pike, Ephrata,717-336-6385,"Corrugated Containers, Magazines, Newspapers, Junk Mail, Phone Books, Office Paper ",www.goodsdisposalservice.com
Cardboard,"Gordon Waste Company, Inc.",Lancaster, 199 Bridge St, Columbia,1-888-684-2201,All Grades of Paper ,www.gordonwaste.com
Cardboard,Lancaster County Solid Waste Management Authority,Lancaster, 1299 Harrisburg Pike, Lancaster,717-397-9968,Newspaper ,www.lcswma.org
Cardboard,Packaging Corp. of America,Lancaster, 1530 Fruitville Pike, Lancaster,717-397-3591,Corrugated Containers ,www.packagingcorp.com
Cardboard,R. Davis Enterprises,Lancaster, 1909 Cloveleaf Rd, Mt Joy,717-361-2281,Corrugated Containers ,www.ronthebagman.com
Cardboard,Ram Corporation,Lancaster, 15 Lititz Run Rd, Lititz,717-626-2181,"Corrugated Containers, Magazines, Newspapers, Office Paper, White Ledger Paper ",www.ram-corporation.com
Cardboard,"Reliable Industries, LLC",Lancaster, 15 Lititz Run Rd, Lititz,717-397-7695,"Corrugated Containers, Fiber Drums, Chipboard ",WWW.RELBOX.COM
Cartons,"Beartown Recycling, LLC",Lancaster, 6943 Division Hwy, Narvon,717-354-7734,"Corrugated Containers, Magazines, Newspapers, Books, Office Paper ",www.beartownrecycling.com
Cartons,City of Lancaster Recycling Drop Off Center,Lancaster, 850 New Holland Ave, Lancaster,717-291-4744,"Colored Legder, Corrugated Containers, Magazines, Office Paper, Newspaper, Phone Books, White Ledger ",www.cityoflancasterpa.com
Cartons,"Good's Disposal Service, Inc.",Lancaster, 4361 Oregon Pike, Ephrata,717-336-6385,"Corrugated Containers, Magazines, Newspapers, Junk Mail, Phone Books, Office Paper ",www.goodsdisposalservice.com
Cartons,"Gordon Waste Company, Inc.",Lancaster, 199 Bridge St, Columbia,1-888-684-2201,All Grades of Paper ,www.gordonwaste.com
Cartons,Lancaster County Solid Waste Management Authority,Lancaster, 1299 Harrisburg Pike, Lancaster,717-397-9968,Newspaper ,www.lcswma.org
Cartons,Packaging Corp. of America,Lancaster, 1530 Fruitville Pike, Lancaster,717-397-3591,Corrugated Containers ,www.packagingcorp.com
Cartons,R. Davis Enterprises,Lancaster, 1909 Cloveleaf Rd, Mt Joy,717-361-2281,Corrugated Containers ,www.ronthebagman.com
Cartons,Ram Corporation,Lancaster, 15 Lititz Run Rd, Lititz,717-626-2181,"Corrugated Containers, Magazines, Newspapers, Office Paper, White Ledger Paper ",www.ram-corporation.com
Cartons,"Reliable Industries, LLC",Lancaster, 15 Lititz Run Rd, Lititz,717-397-7695,"Corrugated Containers, Fiber Drums, Chipboard ",WWW.RELBOX.COM
Cell Phones,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,"Covered devices: desktop computers, laptops, monitors, computer peripherals (keyboard, mouse, printer and speakers), televisions and e-readers. Limit of 10 total covered devices per customer, per day
E-waste: photo cameras, video cameras, cell phones and smart phones, cell phone peripherals (chargers, batteries, Bluetooth earpiece, air cards, clips, cases), DVD and VCR players, MP3 players and iPods, PDA's, portable electronic game players, video game consoles, stereos and stereo peripherals (CD players, turntables, amplifiers, speakers). No wooden speakers. Limit of 10 total e-waste items per customer, per day",http://www.lcswma.org/lcswma_facilities_hhw.cfm
Clothing/Textiles,"Reliable Industries, LLC",Lancaster, 15 Lititz Run Rd, Lititz,717-397-7695,Unfinished Textiles ,WWW.RELBOX.COM
CFL Bulbs,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,"Covered devices: desktop computers, laptops, monitors, computer peripherals (keyboard, mouse, printer and speakers), televisions and e-readers. Limit of 10 total covered devices per customer, per day
E-waste: photo cameras, video cameras, cell phones and smart phones, cell phone peripherals (chargers, batteries, Bluetooth earpiece, air cards, clips, cases), DVD and VCR players, MP3 players and iPods, PDA's, portable electronic game players, video game consoles, stereos and stereo peripherals (CD players, turntables, amplifiers, speakers). No wooden speakers. Limit of 10 total e-waste items per customer, per day",http://www.lcswma.org/lcswma_facilities_hhw.cfm
Computers,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,"Covered devices: desktop computers, laptops, monitors, computer peripherals (keyboard, mouse, printer and speakers), televisions and e-readers. Limit of 10 total covered devices per customer, per day
E-waste: photo cameras, video cameras, cell phones and smart phones, cell phone peripherals (chargers, batteries, Bluetooth earpiece, air cards, clips, cases), DVD and VCR players, MP3 players and iPods, PDA's, portable electronic game players, video game consoles, stereos and stereo peripherals (CD players, turntables, amplifiers, speakers). No wooden speakers. Limit of 10 total e-waste items per customer, per day",http://www.lcswma.org/lcswma_facilities_hhw.cfm
Concrete,"Agri Marketing, Inc.",Lancaster, 1802 Texter Mountain Rd, Reinholds,717-335-0379,Pre-Consumer Drywall ,www.usagypsum.com
Concrete,Armstrong World Industries,Lancaster, 2500 Columbia Ave, Lancaster,1-877-276-7876,Acoustical Ceiling Tile ,www.armstrong.com
Concrete,"B.R. Kreider & Son, Inc.",Lancaster, 63 Kreider Ln, Manheim,717-898-7651,Used Asphalt and Concrete ,www.brkreider.com
Concrete,Gypsum AgriCycle Inc.  ,Lancaster,832 Willow Rd, Lancaster,717-426-1990,Large Quantities of Gypsum Drywall ,www.gypsumagri-cycle.com
Concrete,"Pennsy Supply, East Petersburg",Lancaster, 2742 Lancaster Rd, Manheim,717-236-7023,Pre and Post-Consumer Asphalt Shingles ,www.pennsysupply.com
Concrete,Rohrer's Quarry Inc.,Lancaster, 70 Lititz Rd, Lititz,717-626-9760,Used Asphalt and Concrete ,www.rohrersquarry.com
Construction/Demolition Materials,"Agri Marketing, Inc.",Lancaster, 1802 Texter Mountain Rd, Reinholds,717-335-0379,Pre-Consumer Drywall ,www.usagypsum.com
Construction/Demolition Materials,Armstrong World Industries,Lancaster, 2500 Columbia Ave, Lancaster,1-877-276-7876,Acoustical Ceiling Tile ,www.armstrong.com
Construction/Demolition Materials,"B.R. Kreider & Son, Inc.",Lancaster, 63 Kreider Ln, Manheim,717-898-7651,Used Asphalt and Concrete ,www.brkreider.com
Construction/Demolition Materials,Gypsum AgriCycle Inc.  ,Lancaster,832 Willow Rd, Lancaster,717-426-1990,Large Quantities of Gypsum Drywall ,www.gypsumagri-cycle.com
Construction/Demolition Materials,"Pennsy Supply, East Petersburg",Lancaster, 2742 Lancaster Rd, Manheim,717-236-7023,Pre and Post-Consumer Asphalt Shingles ,www.pennsysupply.com
Construction/Demolition Materials,Rohrer's Quarry Inc.,Lancaster, 70 Lititz Rd, Lititz,717-626-9760,Used Asphalt and Concrete ,www.rohrersquarry.com
Cooking Oil,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,"Covered devices: desktop computers, laptops, monitors, computer peripherals (keyboard, mouse, printer and speakers), televisions and e-readers. Limit of 10 total covered devices per customer, per day
E-waste: photo cameras, video cameras, cell phones and smart phones, cell phone peripherals (chargers, batteries, Bluetooth earpiece, air cards, clips, cases), DVD and VCR players, MP3 players and iPods, PDA's, portable electronic game players, video game consoles, stereos and stereo peripherals (CD players, turntables, amplifiers, speakers). No wooden speakers. Limit of 10 total e-waste items per customer, per day",http://www.lcswma.org/lcswma_facilities_hhw.cfm
Cylinders,"A & S Carriers, LLC.",Lancaster, 208 Shellyland Rd, Manheim,717-682-6247,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel ",www.ascarriers.com
Cylinders,"Beartown Recycling, LLC",Lancaster, 6943 Division Hwy, Narvon,717-354-7734,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Brass, Copper, Stainless Steel, Steel Cans ",www.beartownrecycling.com
Cylinders,Colonial Metals Co.,Lancaster, 217 Linden St, Columbia,717-684-2311,"Brass, Bronze, Copper, Tin, Nickel ",www.colonialmetalsco.com
Cylinders,Ephrata Recycling,Lancaster, 339 E Fulton St, Ephrata,717-733-9300,"Aluminum Scrap, Steel Drums, Ferrous Metal, Lead, Copper, Brass, Stainless Steel ",ephratarecyclingpa.com
Cylinders,Full Circle Recycling #2,Lancaster, 702 S Prince St, Lancaster,717-396-9999,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal ",www.fullcirclerecyclingpa.com
Cylinders,Full Circle Recycling Inc.,Lancaster, 965 Lancaster Ave, Quarryville,717-284-2800,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Copper, Brass ",www.fullcirclerecyclingpa.com
Cylinders,"Good's Disposal Service, Inc.",Lancaster, 4361 Oregon Pike, Ephrata,717-336-6385,"Non-Ferrous Metal, Steel and Tin Cans ",www.goodsdisposalservice.com
Cylinders,"James Groff & Son, Inc.",Lancaster, 17 N Hess St, Quarryville,717-786-3571,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel ",www.jamesgroff.com
Cylinders,Lancaster Salvage Co.,Lancaster, 1058 N Plum St, Lancaster,717-393-6129,"Aluminum Scrap, Iron, Copper, Brass, High Temp Alloys, Specialty Metals, Precious Metals ",
Cylinders,"Pequea Home Salvage, LLC",Lancaster, 360 Radcliff Rd, Willow Street,717-464-4461,"Aluminum Scrap, Ferrous Metal, Copper ",
Cylinders,"Reliable Industries, LLC",Lancaster, 15 Lititz Run Rd, Lititz,717-397-7695,Steel Drums ,WWW.RELBOX.COM
Cylinders,Rubin Steel Company,Lancaster, 1430 Fruitville Pike, Lancaster,717-299-3682,"Ferrous Metal, Non-Ferrous Metal, Stainless Steel",www.rubinsteel.com
Cylinders,Sahd Metal Recycling,Lancaster, 1045 Lancaster Ave, Columbia,717-684-8506,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel, Steel Cans ",http://recycleyourmetal.com
Cylinders,Tranzact Corporation,Lancaster, 350 N Marshall St, Lancaster,717-290-2891,"High Temp Metals (Molybdenum, Tungsten, Chromium)",www.tranzactinc.com
Dehumidifier,"A & S Carriers, LLC.",Lancaster, 208 Shellyland Rd, Manheim,717-682-6247,White Goods,www.ascarriers.com
Dehumidifier,"Beartown Recycling, LLC",Lancaster, 6943 Division Hwy, Narvon,717-354-7734,White Goods,www.beartownrecycling.com
Dehumidifier,Full Circle Recycling #2,Lancaster, 702 S Prince St, Lancaster,717-396-9999,White Goods,www.fullcirclerecyclingpa.com
Dehumidifier,Full Circle Recycling Inc.,Lancaster, 965 Lancaster Ave, Quarryville,717-284-2800,White Goods,www.fullcirclerecyclingpa.com
Dehumidifier,"Good's Disposal Service, Inc.",Lancaster, 4361 Oregon Pike, Ephrata,717-336-6385,White Goods,www.goodsdisposalservice.com
Dehumidifier,"James Groff & Son, Inc.",Lancaster, 17 N Hess St, Quarryville,717-786-3571,White Goods,www.jamesgroff.com
Dehumidifier,Lancaster County Solid Waste Management Authority,Lancaster, 1299 Harrisburg Pike, Lancaster,717-397-9968,White Goods,www.lcswma.org
Dehumidifier,Rubin Steel Company,Lancaster, 1430 Fruitville Pike, Lancaster,717-299-3682,White Goods,www.rubinsteel.com
Drugs,Check the DEA Website for Nearby Drop Off Sites ,Lancaster,,,,,https://apps.ddap.pa.gov/GetHelpNow/PillDrop.aspx
Driveway Sealer,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,,http://www.lcswma.org/lcswma_facilities_hhw.cfm
Drywall,"Agri Marketing, Inc.",Lancaster, 1802 Texter Mountain Rd, Reinholds,717-335-0379,Pre-Consumer Drywall ,www.usagypsum.com
Drywall,Armstrong World Industries,Lancaster, 2500 Columbia Ave, Lancaster,1-877-276-7876,Acoustical Ceiling Tile ,www.armstrong.com
Drywall,"B.R. Kreider & Son, Inc.",Lancaster, 63 Kreider Ln, Manheim,717-898-7651,Used Asphalt and Concrete ,www.brkreider.com
Drywall,Gypsum AgriCycle Inc.  ,Lancaster,832 Willow Rd, Lancaster,717-426-1990,Large Quantities of Gypsum Drywall ,www.gypsumagri-cycle.com
Drywall,"Pennsy Supply, East Petersburg",Lancaster, 2742 Lancaster Rd, Manheim,717-236-7023,Pre and Post-Consumer Asphalt Shingles ,www.pennsysupply.com
Drywall,Rohrer's Quarry Inc.,Lancaster, 70 Lititz Rd, Lititz,717-626-9760,Used Asphalt and Concrete ,www.rohrersquarry.com
Electronic Equiptment,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,"Covered devices: desktop computers, laptops, monitors, computer peripherals (keyboard, mouse, printer and speakers), televisions and e-readers. Limit of 10 total covered devices per customer, per day
E-waste: photo cameras, video cameras, cell phones and smart phones, cell phone peripherals (chargers, batteries, Bluetooth earpiece, air cards, clips, cases), DVD and VCR players, MP3 players and iPods, PDA's, portable electronic game players, video game consoles, stereos and stereo peripherals (CD players, turntables, amplifiers, speakers). No wooden speakers. Limit of 10 total e-waste items per customer, per day",http://www.lcswma.org/lcswma_facilities_hhw.cfm
Flares,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,,http://www.lcswma.org/lcswma_facilities_hhw.cfm
Fluorescent Lights,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,,http://www.lcswma.org/lcswma_facilities_hhw.cfm
Freon,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,,http://www.lcswma.org/lcswma_facilities_hhw.cfm
Fuels/Solvents,Household Hazardous Waste Facility,Lancaster,1299 Harrisburg Pike, Lancaster,717-397-9968,,http://www.lcswma.org/lcswma_facilities_hhw.cfm
Furniture,"Reliable Industries, LLC",Lancaster, 15 Lititz Run Rd, Lititz,717-397-7695,Reusable Furniture ,WWW.RELBOX.COM
