Item,Location Name,County,Address,City,Phone,Details,Website,,
"Asphalt, Brick, Concrete, Gravel, & Porcelain","Crushcrete, Inc.",Northampton, 1965 Silvex Rd, Bethlehem,610-865-1898,"Concrete, Brick, Slate, Asphalt Shingles",www.crushcrete.com ,,
Automotive Parts & Liquids,Northampton HHW Event @ Northampton Community College,Northampton,3835 Green Pond Rd,Bethleham,610-829-6313,"May 20th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Automotive Parts & Liquids,Northampton HHW Event @ Northampton Community College,,3836 Green Pond Rd,Bethleham,610-829-6313,"October 14th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Ballast,GER Solutions ,Northampton,795 Roble Road, Allentown,(610) 443-1776,Some fees may apply please call in for pricing,http://www.GERsolutions.net/items/,,
Batteries (Alkaline/Zinc Carbon),GER Solutions ,Northampton,795 Roble Road, Allentown,(610) 443-1776,Some fees may apply please call in for pricing,http://www.GERsolutions.net/items/,,
Batteries (Button Cell),GER Solutions ,Northampton,795 Roble Road, Allentown,(610) 443-1776,Some fees may apply please call in for pricing,http://www.GERsolutions.net/items/,,
Batteries (Lead Acid),Einfalt Recycling & Salvage Inc.,Northampton, 221 Bushkill St, Stockertown,610-759-7998,Auto Batteries,www.einfaltinc.com ,,
Batteries (Lead Acid),"H. Blinderman & Son, Inc.",Northampton, 1320 Whitaker St, Hellertown,610-838-9221,Auto Batteries,http://hblindermanscrap.com ,,
Batteries (Lead Acid),"J.F.R. Salvage, Inc.",Northampton, 6500 Sullivan Trail, Wind Gap,610-863-6071,Auto Batteries,www.jfrsalvage.com ,,
Biohazardous Waste,Northampton HHW Event @ Northampton Community College,Northampton,3835 Green Pond Rd,Bethleham,610-829-6313,"May 20th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Biohazardous Waste,Northampton HHW Event @ Northampton Community College,,3836 Green Pond Rd,Bethleham,610-829-6313,"October 14th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Bricks,"Crushcrete, Inc.",Northampton, 1965 Silvex Rd, Bethlehem,610-865-1898,"Concrete, Brick, Slate, Asphalt Shingles",www.crushcrete.com ,,
Building Materials,"Crushcrete, Inc.",Northampton, 1965 Silvex Rd, Bethlehem,610-865-1898,"Concrete, Brick, Slate, Asphalt Shingles",www.crushcrete.com ,,
Bulbs,GER Solutions ,Northampton,795 Roble Road, Allentown,(610) 443-1776,Some fees may apply please call in for pricing,http://www.GERsolutions.net/items/,,
Cardboard,Chrin Recycling Center,Northampton, Industrial Dr, Easton,610-253-6146,"Corrugated Containers, Office Paper, Newspapers",www.chrin.org ,,
Cardboard,"M.S. Reilly, Inc.",Northampton, 934 Bushkill Dr, Easton,610-253-6166,"Corrugated Containers, Magazines, Newspapers, Paperboard ",,,
Cardboard,Waste Management Greenstar Recycling,Northampton, 799 Smith Ln, Northampton,610-262-6988,"Boxboard, Paper Bags, Corrugated Containers, Juice Boxes, Magazines, Newspapers, Catalogs, Junk Mail, Wrapping Paper, Folders, Phone Books, Poly-Coated Cartons",www.wm.com ,,
Cartons,Waste Management Greenstar Recycling,Northampton, 799 Smith Ln, Northampton,610-262-6988,"Boxboard, Paper Bags, Corrugated Containers, Juice Boxes, Magazines, Newspapers, Catalogs, Junk Mail, Wrapping Paper, Folders, Phone Books, Poly-Coated Cartons",www.wm.com ,,
Cell Phones,GER Solutions ,Northampton,795 Roble Road, Allentown,(610) 443-1776,Some fees may apply please call in for pricing,http://www.GERsolutions.net/items/,,
Clothing/Textiles,M S Perlman & Co.,Northampton, 343 S Dauphin St, Allentown,610-776-6681,"Textiles, Rags ",www.msperlman.com ,,
CFL Bulbs,GER Solutions ,Northampton,795 Roble Road, Allentown,(610) 443-1776,Some fees may apply please call in for pricing,http://www.GERsolutions.net/items/,,
Computers,GER Solutions ,Northampton,795 Roble Road, Allentown,(610) 443-1776,Some fees may apply please call in for pricing,http://www.GERsolutions.net/items/,,
Concrete,"Crushcrete, Inc.",Northampton, 1965 Silvex Rd, Bethlehem,610-865-1898,"Concrete, Brick, Slate, Asphalt Shingles",www.crushcrete.com ,,
Construction/Demolition Materials,"Crushcrete, Inc.",Northampton, 1965 Silvex Rd, Bethlehem,610-865-1898,"Concrete, Brick, Slate, Asphalt Shingles",www.crushcrete.com ,,
Data Destruction,GER Solutions ,Northampton,795 Roble Road, Allentown,(610) 443-1776,Some fees may apply please call in for pricing,http://www.GERsolutions.net/items/,,
Dehumidifier,RPM Metals,Northampton, 701 N, Broadway Wind Gap,610-863-1000,White Goods,www.rpmmetals.com ,,
Dehumidifier,"Swint Hauling & Disposal Service, LLC",Northampton, 602 Folk St, Easton,610-253-8535,White Goods,www.swinthauling.com ,,
Driveway Sealer,Northampton HHW Event @ Northampton Community College,Northampton,3835 Green Pond Rd,Bethleham,610-829-6313,"May 20th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Driveway Sealer,Northampton HHW Event @ Northampton Community College,,3836 Green Pond Rd,Bethleham,610-829-6313,"October 14th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Drywall,"Crushcrete, Inc.",Northampton, 1965 Silvex Rd, Bethlehem,610-865-1898,"Concrete, Brick, Slate, Asphalt Shingles",www.crushcrete.com ,,
Electronic Equiptment,GER Solutions ,Northampton,795 Roble Road, Allentown,(610) 443-1776,Some fees may apply please call in for pricing,http://www.GERsolutions.net/items/,,
Fire Extinguisher,Northampton HHW Event @ Northampton Community College,Northampton,3835 Green Pond Rd,Bethleham,610-829-6313,"May 20th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Fire Extinguisher,Northampton HHW Event @ Northampton Community College,,3836 Green Pond Rd,Bethleham,610-829-6313,"October 14th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Flares,Northampton HHW Event @ Northampton Community College,Northampton,3835 Green Pond Rd,Bethleham,610-829-6313,"May 20th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Flares,Northampton HHW Event @ Northampton Community College,,3836 Green Pond Rd,Bethleham,610-829-6313,"October 14th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Fluorescent Lights,GER Solutions ,Northampton,795 Roble Road, Allentown,(610) 443-1776,Some fees may apply please call in for pricing,http://www.GERsolutions.net/items/,,
Freon,Northampton HHW Event @ Northampton Community College,Northampton,3835 Green Pond Rd,Bethleham,610-829-6313,"May 20th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Freon,Northampton HHW Event @ Northampton Community College,,3836 Green Pond Rd,Bethleham,610-829-6313,"October 14th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Fuels/Solvents,Northampton HHW Event @ Northampton Community College,Northampton,3835 Green Pond Rd,Bethleham,610-829-6313,"May 20th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Fuels/Solvents,Northampton HHW Event @ Northampton Community College,,3836 Green Pond Rd,Bethleham,610-829-6313,"October 14th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Glass,"CAP Glass Allentown, LLC",Northampton, 799 Smith St, Northampton,724-547-4550,"Brown, Clear, Green, Mixed, Auto Plate Glass, Auto Windshield Glass",www.capglassrecycling.com ,,
Glass,Chrin Recycling Center,Northampton, Industrial Dr, Easton,610-253-6146,"Brown, Clear, and Green ",www.chrin.org ,,
Glass,Waste Management Greenstar Recycling,Northampton, 799 Smith Ln, Northampton,610-262-6988,"Brown, Clear, Green, and Mixed ",www.wm.com ,,
Grocery Bags,Ultra Poly Corporation,Northampton, 102 Demi Rd, Portland,570-897-7500,"HDPE, LDPE, PET, LLDPE, PP, Plastic Films, ABS, Nylon, PVC ",WWW.ULTRA-POLY.COM,,
Hazardous Waste,Northampton HHW Event @ Northampton Community College,Northampton,3835 Green Pond Rd,Bethleham,610-829-6313,"May 20th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Hazardous Waste,Northampton HHW Event @ Northampton Community College,,3836 Green Pond Rd,Bethleham,610-829-6313,"October 14th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Helium Tanks,Chrin Recycling Center,Northampton, Industrial Dr, Easton,610-253-6146,Aluminum Scrap ,www.chrin.org ,,
Helium Tanks,Easton Area Metal Recycling,Northampton, 525 Cedarville Rd, Easton,610-435-3527,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal ",www.eschneiderscrap.com ,,
Helium Tanks,Easton Iron & Metal Co.,Northampton, 1100 Bushkill Dr, Easton,610-250-6300,"Aluminum Scrap, Ferrous Metal, Copper, Brass, Stainless Steel ",www.eastonironandmetal.com ,,
Helium Tanks,Einfalt Recycling & Salvage Inc.,Northampton, 221 Bushkill St, Stockertown,610-759-7998,"Aluminum Scrap, Ferrous Metal, Lead, Brass, Copper, Radiators, Catalytic Converters, Stainless Steel ",www.einfaltinc.com ,,
Helium Tanks,"H. Blinderman & Son, Inc.",Northampton, 1320 Whitaker St, Hellertown,610-838-9221,"Aluminum Scrap, Ferrous Metal, Lead, Brass, Copper, Nickel, Zinc, Catalytic Converters, Stainless Steel ",http://hblindermanscrap.com ,,
Helium Tanks,"J.F.R. Salvage, Inc.",Northampton, 6500 Sullivan Trail, Wind Gap,610-863-6071,"Aluminum Scrap, Ferrous Metal, Lead, Brass, Copper, Catalytic Converters, Stainless Steel, Steel Cans ",www.jfrsalvage.com ,,
Helium Tanks,RPM Metals,Northampton, 701 N, Broadway Wind Gap,610-863-1000,Ferrous Metals,www.rpmmetals.com ,,
Helium Tanks,"Swint Hauling & Disposal Service, LLC",Northampton, 602 Folk St, Easton,610-253-8535,"Ferrous Metal, Non-Ferrous Metal, Steel Cans ",www.swinthauling.com ,,
Helium Tanks,Waste Management Greenstar Recycling,Northampton, 799 Smith Ln, Northampton,610-262-6988,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Stainless Steel, Steel Cans, Aerosol/Paint Cans",www.wm.com ,,
Humidifier,RPM Metals,Northampton, 701 N, Broadway Wind Gap,610-863-1000,White Goods,www.rpmmetals.com ,,
Humidifier,"Swint Hauling & Disposal Service, LLC",Northampton, 602 Folk St, Easton,610-253-8535,White Goods,www.swinthauling.com ,,
Humidifier,Waste Management Greenstar Recycling,Northampton, 799 Smith Ln, Northampton,610-262-6988,White Goods,www.wm.com ,,
Ink Cartridges,GER Solutions ,Northampton,795 Roble Road, Allentown,(610) 443-1776,Some fees may apply please call in for pricing,http://www.GERsolutions.net/items/,,
Kerosene,Northampton HHW Event @ Northampton Community College,Northampton,3835 Green Pond Rd,Bethleham,610-829-6313,"May 20th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Kerosene,Northampton HHW Event @ Northampton Community College,,3836 Green Pond Rd,Bethleham,610-829-6313,"October 14th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Light Bulbs,GER Solutions ,Northampton,795 Roble Road, Allentown,(610) 443-1776,Some fees may apply please call in for pricing,http://www.GERsolutions.net/items/,,
Mercury,Northampton HHW Event @ Northampton Community College,Northampton,3835 Green Pond Rd,Bethleham,610-829-6313,"May 20th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Mercury,Northampton HHW Event @ Northampton Community College,,3836 Green Pond Rd,Bethleham,610-829-6313,"October 14th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Microwaves,RPM Metals,Northampton, 701 N, Broadway Wind Gap,610-863-1000,White Goods,www.rpmmetals.com ,,
Microwaves,"Swint Hauling & Disposal Service, LLC",Northampton, 602 Folk St, Easton,610-253-8535,White Goods,www.swinthauling.com ,,
Microwaves,Waste Management Greenstar Recycling,Northampton, 799 Smith Ln, Northampton,610-262-6988,White Goods,www.wm.com ,,
Milk Cartons & Drink Boxes,Waste Management Greenstar Recycling,Northampton, 799 Smith Ln, Northampton,610-262-6988,"Boxboard, Paper Bags, Corrugated Containers, Juice Boxes, Magazines, Newspapers, Catalogs, Junk Mail, Wrapping Paper, Folders, Phone Books, Poly-Coated Cartons",www.wm.com ,,
Mobile Phones,GER Solutions ,Northampton,795 Roble Road, Allentown,(610) 443-1776,Some fees may apply please call in for pricing,http://www.GERsolutions.net/items/,,
Motor Oil,Northampton HHW Event @ Northampton Community College,Northampton,3835 Green Pond Rd,Bethleham,610-829-6313,"May 20th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Motor Oil,Northampton HHW Event @ Northampton Community College,,3836 Green Pond Rd,Bethleham,610-829-6313,"October 14th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Oil,Northampton HHW Event @ Northampton Community College,Northampton,3835 Green Pond Rd,Bethleham,610-829-6313,"May 20th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Oil,Northampton HHW Event @ Northampton Community College,,3836 Green Pond Rd,Bethleham,610-829-6313,"October 14th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Paint (Oil/Solvent Base),Northampton HHW Event @ Northampton Community College,Northampton,3835 Green Pond Rd,Bethleham,610-829-6313,"May 20th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Paint (Oil/Solvent Base),Northampton HHW Event @ Northampton Community College,,3836 Green Pond Rd,Bethleham,610-829-6313,"October 14th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Paper,Chrin Recycling Center,Northampton, Industrial Dr, Easton,610-253-6146,"Corrugated Containers, Office Paper, Newspapers",www.chrin.org ,,
Paper,"M.S. Reilly, Inc.",Northampton, 934 Bushkill Dr, Easton,610-253-6166,"Corrugated Containers, Magazines, Newspapers, Paperboard ",,,
Paper,Waste Management Greenstar Recycling,Northampton, 799 Smith Ln, Northampton,610-262-6988,"Boxboard, Paper Bags, Corrugated Containers, Juice Boxes, Magazines, Newspapers, Catalogs, Junk Mail, Wrapping Paper, Folders, Phone Books, Poly-Coated Cartons",www.wm.com ,,
Pesticides,Northampton HHW Event @ Northampton Community College,Northampton,3835 Green Pond Rd,Bethleham,610-829-6313,"May 20th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Pesticides,Northampton HHW Event @ Northampton Community College,,3836 Green Pond Rd,Bethleham,610-829-6313,"October 14th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Pet Supplies,,Northampton,,,,,,,
Phone Books,Waste Management Greenstar Recycling,Northampton, 799 Smith Ln, Northampton,610-262-6988,"Boxboard, Paper Bags, Corrugated Containers, Juice Boxes, Magazines, Newspapers, Catalogs, Junk Mail, Wrapping Paper, Folders, Phone Books, Poly-Coated Cartons",www.wm.com ,,
Phones,GER Solutions ,Northampton,795 Roble Road, Allentown,(610) 443-1776,Some fees may apply please call in for pricing,http://www.GERsolutions.net/items/,,
Plastic,"Good Works Reprocessing, LLC",Northampton, 9 McFadden Rd, Easton,610-923-3607,"HDPE, LDPE, PET, Plastic Film, ABS, PETG, Nylon, PP, PS, PVC ",www.goodworksreprocessing.com,,
Plastic,"IHC Trading Company, Inc.",Northampton, 842 Line St, Easton,610-861-7328,"HDPE, LDPE, PET, ABS, PP, PS, PVC",www.IHCTRADING.COM ,,
Plastic,MCS Industries,Northampton, 2280 Newlins Mill Rd, Easton,610-253-6268,PS,www.mcsframes.com ,,
Plastic,"Palmer Plastics, Inc.",Northampton, 2906 William Penn Hwy STE 505, Easton,610-330-9900,"HDPE, LDPE, Polyethylene, Flourpolymers, POM, PP, PS (Large Quantities Only)",,,
Plastic,"QRH Polymers, LLC",Northampton, 400 Island Park Rd BLDG 28, Easton,484-894-7493,"HDPE, LDPE, PET, HIPS, GIPPS, COPP, HOMO, ABS, PETG, PP, PVC",www.QRHPolymers.com ,,
Plastic,Ultra Poly Corporation,Northampton, 102 Demi Rd, Portland,570-897-7500,"HDPE, LDPE, PET, LLDPE, PP, Plastic Films, ABS, Nylon, PVC ",WWW.ULTRA-POLY.COM,,
Plastic,Waste Management Greenstar Recycling,Northampton, 799 Smith Ln, Northampton,610-262-6988,"HDPE, LDPE, PET, Plastic Bottles, #7 Bottles, PP, PVC",www.wm.com ,,
Polystyrene,"Good Works Reprocessing, LLC",Northampton, 9 McFadden Rd, Easton,610-923-3607,"HDPE, LDPE, PET, Plastic Film, ABS, PETG, Nylon, PP, PS, PVC ",www.goodworksreprocessing.com,,
Polystyrene,"IHC Trading Company, Inc.",Northampton, 842 Line St, Easton,610-861-7328,"HDPE, LDPE, PET, ABS, PP, PS, PVC",www.IHCTRADING.COM ,,
Polystyrene,MCS Industries,Northampton, 2280 Newlins Mill Rd, Easton,610-253-6268,PS,www.mcsframes.com ,,
Polystyrene,"Palmer Plastics, Inc.",Northampton, 2906 William Penn Hwy STE 505, Easton,610-330-9900,"HDPE, LDPE, Polyethylene, Flourpolymers, POM, PP, PS (Large Quantities Only)",,,
Pool Chemicals,Northampton HHW Event @ Northampton Community College,Northampton,3835 Green Pond Rd,Bethleham,610-829-6313,"May 20th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Pool Chemicals,Northampton HHW Event @ Northampton Community College,,3836 Green Pond Rd,Bethleham,610-829-6313,"October 14th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Propane Tanks,Chrin Recycling Center,Northampton, Industrial Dr, Easton,610-253-6146,Aluminum Scrap ,www.chrin.org ,,
Propane Tanks,Easton Area Metal Recycling,Northampton, 525 Cedarville Rd, Easton,610-435-3527,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal ",www.eschneiderscrap.com ,,
Propane Tanks,Easton Iron & Metal Co.,Northampton, 1100 Bushkill Dr, Easton,610-250-6300,"Aluminum Scrap, Ferrous Metal, Copper, Brass, Stainless Steel ",www.eastonironandmetal.com ,,
Propane Tanks,Einfalt Recycling & Salvage Inc.,Northampton, 221 Bushkill St, Stockertown,610-759-7998,"Aluminum Scrap, Ferrous Metal, Lead, Brass, Copper, Radiators, Catalytic Converters, Stainless Steel ",www.einfaltinc.com ,,
Propane Tanks,"H. Blinderman & Son, Inc.",Northampton, 1320 Whitaker St, Hellertown,610-838-9221,"Aluminum Scrap, Ferrous Metal, Lead, Brass, Copper, Nickel, Zinc, Catalytic Converters, Stainless Steel ",http://hblindermanscrap.com ,,
Propane Tanks,"J.F.R. Salvage, Inc.",Northampton, 6500 Sullivan Trail, Wind Gap,610-863-6071,"Aluminum Scrap, Ferrous Metal, Lead, Brass, Copper, Catalytic Converters, Stainless Steel, Steel Cans ",www.jfrsalvage.com ,,
Propane Tanks,RPM Metals,Northampton, 701 N, Broadway Wind Gap,610-863-1000,Ferrous Metals,www.rpmmetals.com ,,
Propane Tanks,"Swint Hauling & Disposal Service, LLC",Northampton, 602 Folk St, Easton,610-253-8535,"Ferrous Metal, Non-Ferrous Metal, Steel Cans ",www.swinthauling.com ,,
Propane Tanks,Waste Management Greenstar Recycling,Northampton, 799 Smith Ln, Northampton,610-262-6988,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Stainless Steel, Steel Cans, Aerosol/Paint Cans",www.wm.com ,,
Refrigerators,RPM Metals,Northampton, 701 N, Broadway Wind Gap,610-863-1000,White Goods,www.rpmmetals.com ,,
Refrigerators,"Swint Hauling & Disposal Service, LLC",Northampton, 602 Folk St, Easton,610-253-8535,White Goods,www.swinthauling.com ,,
Scrap & Metal,Chrin Recycling Center,Northampton, Industrial Dr, Easton,610-253-6146,Aluminum Scrap ,www.chrin.org ,,
Scrap & Metal,Easton Area Metal Recycling,Northampton, 525 Cedarville Rd, Easton,610-435-3527,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal ",www.eschneiderscrap.com ,,
Scrap & Metal,Easton Iron & Metal Co.,Northampton, 1100 Bushkill Dr, Easton,610-250-6300,"Aluminum Scrap, Ferrous Metal, Copper, Brass, Stainless Steel ",www.eastonironandmetal.com ,,
Scrap & Metal,Einfalt Recycling & Salvage Inc.,Northampton, 221 Bushkill St, Stockertown,610-759-7998,"Aluminum Scrap, Ferrous Metal, Lead, Brass, Copper, Radiators, Catalytic Converters, Stainless Steel ",www.einfaltinc.com ,,
Scrap & Metal,"H. Blinderman & Son, Inc.",Northampton, 1320 Whitaker St, Hellertown,610-838-9221,"Aluminum Scrap, Ferrous Metal, Lead, Brass, Copper, Nickel, Zinc, Catalytic Converters, Stainless Steel ",http://hblindermanscrap.com ,,
Scrap & Metal,"J.F.R. Salvage, Inc.",Northampton, 6500 Sullivan Trail, Wind Gap,610-863-6071,"Aluminum Scrap, Ferrous Metal, Lead, Brass, Copper, Catalytic Converters, Stainless Steel, Steel Cans ",www.jfrsalvage.com ,,
Scrap & Metal,RPM Metals,Northampton, 701 N, Broadway Wind Gap,610-863-1000,Ferrous Metals,www.rpmmetals.com ,,
Scrap & Metal,"Swint Hauling & Disposal Service, LLC",Northampton, 602 Folk St, Easton,610-253-8535,"Ferrous Metal, Non-Ferrous Metal, Steel Cans ",www.swinthauling.com ,,
Scrap & Metal,Waste Management Greenstar Recycling,Northampton, 799 Smith Ln, Northampton,610-262-6988,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Stainless Steel, Steel Cans, Aerosol/Paint Cans",www.wm.com ,,
Solvents,Northampton HHW Event @ Northampton Community College,Northampton,3835 Green Pond Rd,Bethleham,610-829-6313,"May 20th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Solvents,Northampton HHW Event @ Northampton Community College,,3836 Green Pond Rd,Bethleham,610-829-6313,"October 14th, 2017, click link for accepted materials",http://ncem-pa.org/wp-content/uploads/2016/04/2017-HHW-Flyer-final.pdf,,
Styrofoam/Expanded Polystyrene,"Good Works Reprocessing, LLC",Northampton, 9 McFadden Rd, Easton,610-923-3607,"HDPE, LDPE, PET, Plastic Film, ABS, PETG, Nylon, PP, PS, PVC ",www.goodworksreprocessing.com,,
Styrofoam/Expanded Polystyrene,"IHC Trading Company, Inc.",Northampton, 842 Line St, Easton,610-861-7328,"HDPE, LDPE, PET, ABS, PP, PS, PVC",www.IHCTRADING.COM ,,
Styrofoam/Expanded Polystyrene,MCS Industries,Northampton, 2280 Newlins Mill Rd, Easton,610-253-6268,PS,www.mcsframes.com ,,
Styrofoam/Expanded Polystyrene,"Palmer Plastics, Inc.",Northampton, 2906 William Penn Hwy STE 505, Easton,610-330-9900,"HDPE, LDPE, Polyethylene, Flourpolymers, POM, PP, PS (Large Quantities Only)",,,
Tanks,Chrin Recycling Center,Northampton, Industrial Dr, Easton,610-253-6146,Aluminum Scrap ,www.chrin.org ,,
Tanks,Easton Area Metal Recycling,Northampton, 525 Cedarville Rd, Easton,610-435-3527,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal ",www.eschneiderscrap.com ,,
Tanks,Easton Iron & Metal Co.,Northampton, 1100 Bushkill Dr, Easton,610-250-6300,"Aluminum Scrap, Ferrous Metal, Copper, Brass, Stainless Steel ",www.eastonironandmetal.com ,,
Tanks,Einfalt Recycling & Salvage Inc.,Northampton, 221 Bushkill St, Stockertown,610-759-7998,"Aluminum Scrap, Ferrous Metal, Lead, Brass, Copper, Radiators, Catalytic Converters, Stainless Steel ",www.einfaltinc.com ,,
