Item,Location Name,County,Address,City,Phone,Details,Website,Website,,,
Drugs,Check the DEA Website for Nearby Drop Off Sites ,Centre,,,,,https://apps.ddap.pa.gov/GetHelpNow/PillDrop.aspx,,,,
Driveway Sealer,HHW,Centre,,,,,,,,,
Drywall,See Construction/Demolition Materials,Centre,,,,,,,,,
Electronic Equiptment,Centre County Recycling & Refuse Authority,Centre, 253 Transfer Rd, Bellefonte,814-238-6649,"e-Loop Drop Off Location Accepts: TVs, Computers, Laptops, Monitors, Coffee Makers, Toasters, Stereos, EtcÉ",www.centrecountyrecycles.com ,,,,
Eyeglasses,,Centre,,,,,,,,,
Filters,,Centre,,,,,,,,,
Fire Extinguishers,,Centre,,,,,,,,,
Fishing Lines,,Centre,,,,,,,,,
Flares,,Centre,,,,,,,,,
Fluorescent Lights,See Bulbs,Centre,,,,,,,,,
Foam,See Plastic,Centre,,,,,,,,,
Food,,Centre,,,,,,,,,
Freon,HHW,Centre,,,,,,,,,
Fuels/Solvents,HHW,Centre,,,,,,,,,
Furniture,Donate,Centre,,,,,,,,,
Glass,Centre County Recycling & Refuse Authority,Centre, 253 Transfer Rd, Bellefonte,814-238-6649,"Brown, Clear, Green, and Other",www.centrecountyrecycles.com ,,,,
Glass,Seprish's Recycling Center,Centre, 1103 W Sycamore Rd, Snow Shoe,814-387-6650,"Brown, Clear, and Green",,,,,
Grease,See Cooking Oil,Centre,,,,,,,,,
Greeting Cards,See Paper,Centre,,,,,,,,,
Grocery Bags,See Plastic Films,Centre,,,,,,,,,
Hangers,,Centre,,,,,,,,,
Hazardous Waste,HHW,Centre,,,,,,,,,
Helium Tanks,See Scrap & Metal,Centre,,,,,,,,,
Humidifier,See Appliances,Centre,,,,,,,,,
Ink Cartridges,See Toner/Laser Cartridges,Centre,,,,,,,,,
Junk Removal,1800GOTJUNK,Centre,,,,,,,,,
Junk Mail,See Paper,Centre,,,,,,,,,
Kerosene,HHW,Centre,,,,,,,,,
Light Bulbs,See Bulbs,Centre,,,,,,,,,
Medicine,See Drugs,Centre,,,,,,,,,
Mercury,HHW,Centre,,,,,,,,,
Microwaves,See Appliances,Centre,,,,,,,,,
Milk Cartons & Drink Boxes,See Paper,Centre,,,,,,,,,
Mobile Phones,See Cell Phones,Centre,,,,,,,,,
Monofilament (Fishing Line),,Centre,,,,,,,,,
Motor Oil,"Check Local Mechanic Shops, Auto Zone, Pep Boys, (Check DEP Site for Collection Events, PRC Events)",Centre,,,"For Large Quantities, Check Safety Kleen Site for Nearby Locations--->",DEP HHW Events by County,Find Safety Kleen Near Me,,,,
,List of Locations Accepting Used Motor Oil,Centre,,,,,,,,,
Needles,See Sharps/Syringes,Centre,,,,,,,,,
Oil,"Check Local Mechanic Shops, Auto Zone, Pep Boys, (Check DEP Site for Collection Events, PRC Events)",Centre,,,"For Large Quantities, Check Safety Kleen Site for Nearby Locations--->",DEP HHW Events by County,Find Safety Kleen Near Me,,,,
,List of Locations Accepting Used Motor Oil,Centre,,,,,,,,,
Packaging Peanuts,See Plastic,Centre,,,,,,,,,
Paint (Oil/Solvent Base),HHW,Centre,,,,,,,,,
Paper,Centre County Recycling & Refuse Authority,Centre, 253 Transfer Rd, Bellefonte,814-238-6649,"Newspapers, Boxboard, Corrugated Containers, Magazines, Catalogs, Mix Office Paper, Phone Books, Paperboard, White Office Paper",www.centrecountyrecycles.com ,,,,
Paper,Sam Esh,Centre, 257 Rockville Rd, Rebersburg,814-349-8646,Flattened/Bundled Corrugated Containers,,,,,
Paper,Seprish's Recycling Center,Centre, 1103 W Sycamore Rd, Snow Shoe,814-387-6650,White Ledger Paper,,,,,
Paper Shredding,,Centre,,,,,,,,,
Pesticides,HHW,Centre,,,,,,,,,
Pet Supplies,,Centre,,,,,,,,,
Phone Books,,Centre,,,,,,,,,
Phones,See Cell Phones,Centre,,,,,,,,,
Plastic,Centre County Recycling & Refuse Authority,Centre, 253 Transfer Rd, Bellefonte,814-238-6649,"HDPE, Plastic #7, PET, PP, PVC (Bottles Only)",www.centrecountyrecycles.com ,,,,
Plastic,Knutes,Centre, 701 Berry St, Lemont,1-888-340-6543,PET Bottles Only,WWW.KNUETES.COM ,,,,
Plastic,Sam Esh,Centre, 257 Rockville Rd, Rebersburg,814-349-8646,"HDPE (Pots/Trays Only), LDPE, Plastic Film, Plastic Twine, Feed Bags, PS (Horticultural Only)",,,,,
Plastic Bottle Caps,Trash,Centre,,,,,,,,,
Polystyrene,See Plastic,Centre,,,,,,,,,
Pool Chemicals,HHW,Centre,,,,,,,,,
Prom Dresses,Donate,Centre,,,,,,,,,
Propane Tanks,See Scrap & Metal,Centre,,,,,,,,,
Railroad Ties,See Yard Waste,Centre,,,,,,,,,
Rain Barrels,,Centre,,,,,,,,,
Refrigerators,See Appliances,Centre,,,,,,,,,
Scrap & Metal,Centre County Recycling & Refuse Authority,Centre, 253 Transfer Rd, Bellefonte,814-238-6649,"Steel and Tin Cans, Empty Paint Cans, Empty Aerosol Cans",www.centrecountyrecycles.com ,,,,
Scrap & Metal,"Hodes Industries, Inc.",Centre, 153 Tressler St, Pleasant Gap,814-359-2742,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal ",,,,,
Scrap & Metal,Lyons Salvage,Centre, 1806 Zion Rd, Bellefonte,814-355-3974,"Ferrous Metal, Non-Ferrous Metal ",,,,,
Scrap & Metal,Seprish's Recycling Center,Centre, 1103 W Sycamore Rd, Snow Shoe,814-387-6650,"Aluminum Scrap, Non-Ferrous Metal",,,,,
Sharps/Syringes,,Centre,,,,,"Sharps are correctly disposed of in the state of PA by placing them into a solid plastic container with a lid. Once full, screw the lid on tightly and add tape for extra security. Write sharps on the container, and dispose with regular waste.",,,,
Shoes,Donate,Centre,,,,,,,,,
Smoke Detectors,,Centre,,,,,,,,,
Solvents,HHW,Centre,,,,,,,,,
Sporting Goods,Donate,Centre,,,,,,,,,
Styrofoam/Expanded Polystyrene,See Plastic,Centre,,,,,,,,,
Syringes,See Sharps/Syringes,Centre,,,,,,,,,
Tanks,,Centre,,,,,,,,,
Telephone Books,See Paper,Centre,,,,,,,,,
Televisions,Centre County Recycling & Refuse Authority,Centre, 253 Transfer Rd, Bellefonte,814-238-6649,eLoop Drop-Off Location,www.centrecountyrecycles.com ,,,,
Thermostats,,Centre,,,,,,,,,
Tires,Centre County Recycling & Refuse Authority,Centre, 253 Transfer Rd, Bellefonte,814-238-6649,Tires On or Off Rims,www.centrecountyrecycles.com ,,,,
Toner/Laser Cartridges,,Centre,,,,,,,,,
Wood,Glenn O. Hawbaker Recycling Center,Centre, 110 Hawbaker Industrial Drive St, State College,814-272-0008,Clean Wood,www.goh-inc.com/services/recycle-center-state-college,,,,
Wood,Pennwood Corp.,Centre, 294 West College Ave, Pleasant Gap,814-359-2761,Wood Pallets Only,www.penwoodhomeandhearth.com ,,,,
X-Ray & MRI Film,,Centre,,,,,,,,,
Yard Waste,,Centre,,,,,,,,,
