Item,Location Name,County,Address,City,Phone,Details,Website,,,,
Aseptic Packaging (Drink Boxes/Milk Cartons),Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,"Paper, Cardboard",https://www.ccrcyber.com/services/e-waste-management/,,,,
"Asphalt, Brick, Concrete, Gravel, & Porcelain",Accurate Recycling Corp.,Delaware, 508 E Baltimore Ave, Lansdowne,610-623-7772,"Gypsum Drywall/Wallboard, Vinyl Siding, Asphalt Shingles, Tar Paper",www.accuraterecycling.com ,,,,
Automotive Parts & Liquids,Delaware County HHW ,Delaware,1521 N. Providence Road,Media,610-892-9627 ,Click link for list of events and accepted items,http://www.co.delaware.pa.us/recycle/pdf/2017SERegionalHHWasteEventFlyer.pdf,,,,
Batteries (Alkaline/Zinc Carbon),Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,All Batteries,https://www.ccrcyber.com/services/e-waste-management/,,,,
Batteries (Button Cell),Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,All Batteries,https://www.ccrcyber.com/services/e-waste-management/,,,,
Batteries (Lead Acid),Accurate Recycling Corp.,Delaware, 508 E Baltimore Ave, Lansdowne,610-623-7772,Auto Batteries,www.accuraterecycling.com ,,,,
Batteries (Lead Acid),Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,All Batteries,https://www.ccrcyber.com/services/e-waste-management/,,,,
Batteries (Rechargable) ,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,All Batteries,https://www.ccrcyber.com/services/e-waste-management/,,,,
Biohazardous Waste,Delaware County HHW ,Delaware,1521 N. Providence Road,Media,610-892-9627 ,Click link for list of events and accepted items,http://www.co.delaware.pa.us/recycle/pdf/2017SERegionalHHWasteEventFlyer.pdf,,,,
Bricks,Accurate Recycling Corp.,Delaware, 508 E Baltimore Ave, Lansdowne,610-623-7772,"Gypsum Drywall/Wallboard, Vinyl Siding, Asphalt Shingles, Tar Paper",www.accuraterecycling.com ,,,,
Building Materials,Accurate Recycling Corp.,Delaware, 508 E Baltimore Ave, Lansdowne,610-623-7772,"Gypsum Drywall/Wallboard, Vinyl Siding, Asphalt Shingles, Tar Paper",www.accuraterecycling.com ,,,,
Bulbs,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,CFL Bulbs,https://www.ccrcyber.com/services/e-waste-management/,,,,
Bulbs,Delaware County Solid Waste Authority,Delaware, 1521 N Providence Rd, Media,610-892-9643,CFL Bulbs,http://www.co.delaware.pa.us/recycle/,,,,
Cardboard,Accurate Recycling Corp.,Delaware, 508 E Baltimore Ave, Lansdowne,610-623-7772,"Corrugated Containers, Magazines, Mix Office Paper, Newspaper, Hardbound Books, White Ledger Paper, Boxboard",www.accuraterecycling.com ,,,,
Cardboard,"Atlas Traders, LLC",Delaware, 3 Industrial Dr, Sharon Hill,1-800-727-2748,"Colored Ledger, Corrugated Containers, Computer Paper, White Ledger, ",,,,,
Cardboard,Mccuster & Ogborne,Delaware, 10 Reaney St, Chester,610-532-6300,"Corrugated Containers, Mix Office Paper, Newspaper",www.republicservices.com ,,,,
Cardboard,Recall Secure Destruction Services,Delaware, 1408 W Baltimore Pike, Media,610-558-2400,Mix and Sorted Office Paper,,,,,
Cardboard,Waste Management,Delaware, 408 S Oak St, Primos,610-626-7500,"Corrugated Containers, Mix Office Paper ",www.wm.com,,,,
Cardboard,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,"Paper, Cardboard",https://www.ccrcyber.com/services/e-waste-management/,,,,
Cartons,Accurate Recycling Corp.,Delaware, 508 E Baltimore Ave, Lansdowne,610-623-7772,"Corrugated Containers, Magazines, Mix Office Paper, Newspaper, Hardbound Books, White Ledger Paper, Boxboard",www.accuraterecycling.com ,,,,
Cartons,"Atlas Traders, LLC",Delaware, 3 Industrial Dr, Sharon Hill,1-800-727-2748,"Colored Ledger, Corrugated Containers, Computer Paper, White Ledger, ",,,,,
Cartons,Mccuster & Ogborne,Delaware, 10 Reaney St, Chester,610-532-6300,"Corrugated Containers, Mix Office Paper, Newspaper",www.republicservices.com ,,,,
Cartons,Recall Secure Destruction Services,Delaware, 1408 W Baltimore Pike, Media,610-558-2400,Mix and Sorted Office Paper,,,,,
Cartons,Waste Management,Delaware, 408 S Oak St, Primos,610-626-7500,"Corrugated Containers, Mix Office Paper ",www.wm.com,,,,
Cartons,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,"Paper, Cardboard",https://www.ccrcyber.com/services/e-waste-management/,,,,
Cell Phones,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,"All Electronics **Holds Events for Television Collections, Call for Details",https://www.ccrcyber.com/services/e-waste-management/,"**Holds Events for Television Collections, Call for Details",,,
Cell Phones,Delaware County Solid Waste Authority,Delaware, 1521 N Providence Rd, Media,610-892-9643,Cell Phones,http://www.co.delaware.pa.us/recycle/,,,,
CFL Bulbs,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,CFL Bulbs,https://www.ccrcyber.com/services/e-waste-management/,,,,
CFL Bulbs,Delaware County Solid Waste Authority,Delaware, 1521 N Providence Rd, Media,610-892-9643,CFL Bulbs,http://www.co.delaware.pa.us/recycle/,,,,
Computers,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,"All Electronics **Holds Events for Television Collections, Call for Details",https://www.ccrcyber.com/services/e-waste-management/,"**Holds Events for Television Collections, Call for Details",,,
Computers,Delaware County Solid Waste Authority,Delaware, 1521 N Providence Rd, Media,610-892-9643,Cell Phones,http://www.co.delaware.pa.us/recycle/,,,,
Concrete,Accurate Recycling Corp.,Delaware, 508 E Baltimore Ave, Lansdowne,610-623-7772,"Gypsum Drywall/Wallboard, Vinyl Siding, Asphalt Shingles, Tar Paper",www.accuraterecycling.com ,,,,
Construction/Demolition Materials,Accurate Recycling Corp.,Delaware, 508 E Baltimore Ave, Lansdowne,610-623-7772,"Gypsum Drywall/Wallboard, Vinyl Siding, Asphalt Shingles, Tar Paper",www.accuraterecycling.com ,,,,
Data Destruction,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,Certified Data Destruction,https://www.ccrcyber.com/services/e-waste-management/,,,,
Dehumidifier,International Non-Ferrous Metals,Delaware,2918 W 2nd St,Chester,610-494-0200,White Goods,,,,,
Dehumidifier,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,Appliances Containing Freon,https://www.ccrcyber.com/services/e-waste-management/,,,,
Driveway Sealer,Delaware County HHW ,Delaware,1521 N. Providence Road,Media,610-892-9627 ,Click link for list of events and accepted items,http://www.co.delaware.pa.us/recycle/pdf/2017SERegionalHHWasteEventFlyer.pdf,,,,
Drywall,Accurate Recycling Corp.,Delaware, 508 E Baltimore Ave, Lansdowne,610-623-7772,"Gypsum Drywall/Wallboard, Vinyl Siding, Asphalt Shingles, Tar Paper",www.accuraterecycling.com ,,,,
Electronic Equiptment,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,"All Electronics **Holds Events for Television Collections, Call for Details",https://www.ccrcyber.com/services/e-waste-management/,"**Holds Events for Television Collections, Call for Details",,,
Electronic Equiptment,Delaware County Solid Waste Authority,Delaware, 1521 N Providence Rd, Media,610-892-9643,Cell Phones,http://www.co.delaware.pa.us/recycle/,,,,
Flares,Delaware County HHW ,Delaware,1521 N. Providence Road,Media,610-892-9627 ,Click link for list of events and accepted items,http://www.co.delaware.pa.us/recycle/pdf/2017SERegionalHHWasteEventFlyer.pdf,,,,
Fluorescent Lights,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,CFL Bulbs,https://www.ccrcyber.com/services/e-waste-management/,,,,
Fluorescent Lights,Delaware County Solid Waste Authority,Delaware, 1521 N Providence Rd, Media,610-892-9643,CFL Bulbs,http://www.co.delaware.pa.us/recycle/,,,,
Freon,Delaware County HHW ,Delaware,1521 N. Providence Road,Media,610-892-9627 ,Click link for list of events and accepted items,http://www.co.delaware.pa.us/recycle/pdf/2017SERegionalHHWasteEventFlyer.pdf,,,,
Fuels/Solvents,Delaware County HHW ,Delaware,1521 N. Providence Road,Media,610-892-9627 ,Click link for list of events and accepted items,http://www.co.delaware.pa.us/recycle/pdf/2017SERegionalHHWasteEventFlyer.pdf,,,,
Fuels/Solvents,Delaware County HHW ,Delaware,1521 N. Providence Road,Media,610-892-9627 ,Click link for list of events and accepted items,http://www.co.delaware.pa.us/recycle/pdf/2017SERegionalHHWasteEventFlyer.pdf,,,,
Furniture,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,Furniture,https://www.ccrcyber.com/services/e-waste-management/,,,,
Glass,Mccuster & Ogborne,Delaware, 10 Reaney St, Chester,610-532-6300,"Brown, Clear, and Green ",www.republicservices.com ,,,,
Greeting Cards,Accurate Recycling Corp.,Delaware, 508 E Baltimore Ave, Lansdowne,610-623-7772,"Corrugated Containers, Magazines, Mix Office Paper, Newspaper, Hardbound Books, White Ledger Paper, Boxboard",www.accuraterecycling.com ,,,,
Greeting Cards,"Atlas Traders, LLC",Delaware, 3 Industrial Dr, Sharon Hill,1-800-727-2748,"Colored Ledger, Corrugated Containers, Computer Paper, White Ledger, ",,,,,
Greeting Cards,Mccuster & Ogborne,Delaware, 10 Reaney St, Chester,610-532-6300,"Corrugated Containers, Mix Office Paper, Newspaper",www.republicservices.com ,,,,
Greeting Cards,Recall Secure Destruction Services,Delaware, 1408 W Baltimore Pike, Media,610-558-2400,Mix and Sorted Office Paper,,,,,
Greeting Cards,Waste Management,Delaware, 408 S Oak St, Primos,610-626-7500,"Corrugated Containers, Mix Office Paper ",www.wm.com,,,,
Greeting Cards,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,"Paper, Cardboard",https://www.ccrcyber.com/services/e-waste-management/,,,,
Hazardous Waste,Delaware County HHW ,Delaware,1521 N. Providence Road,Media,610-892-9627 ,Click link for list of events and accepted items,http://www.co.delaware.pa.us/recycle/pdf/2017SERegionalHHWasteEventFlyer.pdf,,,,
Helium Tanks,Accurate Metals LLC,Delaware, 29 N 5th St, Darby,610-583-7177,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Stainless Steel ",www.accuraterecycling.com ,,,,
Helium Tanks,Ben & Sam's Scrap Yard,Delaware, 101 Yarnall St, Chester,610-497-2533,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Stainless Steel ",,,,,
Helium Tanks,International Non-Ferrous Metals,Delaware, 3415 W 2nd St, Trainer,610-494-0200,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Stainless Steel ",,,,,
Helium Tanks,Pyromet,Delaware, 5 Commerce Dr, Aston,610-497-1743,"Film, X-Ray Film, Litho Film, Photographic Film, Other Silver Bearing Materials",www.pyromet999.com ,,,,
Helium Tanks,Salem Iron & Metal Co.,Delaware, 1 Townsend St, Chester,610-494-3900,"Aluminum Scrap, Lead, Non-Ferrous Metal, Stainless Steel ",,,,,
Helium Tanks,The David J. Joseph Co.,Delaware, 500 E Swedesford Rd STE 102, Wayne,610-902-8808,"Ferrous Metal, Non-Ferrous Metal",WWW.DJJ.COM ,,,,
HHW,Delaware County HHW ,Delaware,1521 N. Providence Road,Media,610-892-9627 ,Click link for list of events and accepted items,http://www.co.delaware.pa.us/recycle/pdf/2017SERegionalHHWasteEventFlyer.pdf,,,,
Humidifier,International Non-Ferrous Metals,Delaware,2918 W 2nd St, Chester,610-494-0200,White Goods,,,,,
Humidifier,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,Appliances,https://www.ccrcyber.com/services/e-waste-management/,,,,
Junk Mail,Accurate Recycling Corp.,Delaware, 508 E Baltimore Ave, Lansdowne,610-623-7772,"Corrugated Containers, Magazines, Mix Office Paper, Newspaper, Hardbound Books, White Ledger Paper, Boxboard",www.accuraterecycling.com ,,,,
Junk Mail,"Atlas Traders, LLC",Delaware, 3 Industrial Dr, Sharon Hill,1-800-727-2748,"Colored Ledger, Corrugated Containers, Computer Paper, White Ledger, ",,,,,
Junk Mail,Mccuster & Ogborne,Delaware, 10 Reaney St, Chester,610-532-6300,"Corrugated Containers, Mix Office Paper, Newspaper",www.republicservices.com ,,,,
Junk Mail,Recall Secure Destruction Services,Delaware, 1408 W Baltimore Pike, Media,610-558-2400,Mix and Sorted Office Paper,,,,,
Junk Mail,Waste Management,Delaware, 408 S Oak St, Primos,610-626-7500,"Corrugated Containers, Mix Office Paper ",www.wm.com,,,,
Junk Mail,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,"Paper, Cardboard",https://www.ccrcyber.com/services/e-waste-management/,,,,
Kerosene,Delaware County HHW ,Delaware,1521 N. Providence Road,Media,610-892-9627 ,Click link for list of events and accepted items,http://www.co.delaware.pa.us/recycle/pdf/2017SERegionalHHWasteEventFlyer.pdf,,,,
Light Bulbs,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,CFL Bulbs,https://www.ccrcyber.com/services/e-waste-management/,,,,
Light Bulbs,Delaware County Solid Waste Authority,Delaware, 1521 N Providence Rd, Media,610-892-9643,CFL Bulbs,http://www.co.delaware.pa.us/recycle/,,,,
Mercury,Delaware County HHW ,Delaware,1521 N. Providence Road,Media,610-892-9627 ,Click link for list of events and accepted items,http://www.co.delaware.pa.us/recycle/pdf/2017SERegionalHHWasteEventFlyer.pdf,,,,
Mercury,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,Mercury Containing Materials,https://www.ccrcyber.com/services/e-waste-management/,,,,
Microwaves,International Non-Ferrous Metals,Delaware,2918 W 2nd St, Chester,610-494-0200,White Goods,,,,,
Microwaves,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,Appliances,https://www.ccrcyber.com/services/e-waste-management/,,,,
Milk Cartons & Drink Boxes,Accurate Recycling Corp.,Delaware, 508 E Baltimore Ave, Lansdowne,610-623-7772,"Corrugated Containers, Magazines, Mix Office Paper, Newspaper, Hardbound Books, White Ledger Paper, Boxboard",www.accuraterecycling.com ,,,,
Milk Cartons & Drink Boxes,"Atlas Traders, LLC",Delaware, 3 Industrial Dr, Sharon Hill,1-800-727-2748,"Colored Ledger, Corrugated Containers, Computer Paper, White Ledger, ",,,,,
Milk Cartons & Drink Boxes,Mccuster & Ogborne,Delaware, 10 Reaney St, Chester,610-532-6300,"Corrugated Containers, Mix Office Paper, Newspaper",www.republicservices.com ,,,,
Milk Cartons & Drink Boxes,Recall Secure Destruction Services,Delaware, 1408 W Baltimore Pike, Media,610-558-2400,Mix and Sorted Office Paper,,,,,
Milk Cartons & Drink Boxes,Waste Management,Delaware, 408 S Oak St, Primos,610-626-7500,"Corrugated Containers, Mix Office Paper ",www.wm.com,,,,
Milk Cartons & Drink Boxes,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,"Paper, Cardboard",https://www.ccrcyber.com/services/e-waste-management/,,,,
Mobile Phones,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,"All Electronics **Holds Events for Television Collections, Call for Details",https://www.ccrcyber.com/services/e-waste-management/,,,,
Mobile Phones,Delaware County Solid Waste Authority,Delaware, 1521 N Providence Rd, Media,610-892-9643,Cell Phones,http://www.co.delaware.pa.us/recycle/,,,,
Paint (Oil/Solvent Base),Delaware County HHW ,Delaware,1521 N. Providence Road,Media,610-892-9627 ,Click link for list of events and accepted items,http://www.co.delaware.pa.us/recycle/pdf/2017SERegionalHHWasteEventFlyer.pdf,,,,
Paper,Accurate Recycling Corp.,Delaware, 508 E Baltimore Ave, Lansdowne,610-623-7772,"Corrugated Containers, Magazines, Mix Office Paper, Newspaper, Hardbound Books, White Ledger Paper, Boxboard",www.accuraterecycling.com ,,,,
Paper,"Atlas Traders, LLC",Delaware, 3 Industrial Dr, Sharon Hill,1-800-727-2748,"Colored Ledger, Corrugated Containers, Computer Paper, White Ledger, ",,,,,
Paper,Mccuster & Ogborne,Delaware, 10 Reaney St, Chester,610-532-6300,"Corrugated Containers, Mix Office Paper, Newspaper",www.republicservices.com ,,,,
Paper,Recall Secure Destruction Services,Delaware, 1408 W Baltimore Pike, Media,610-558-2400,Mix and Sorted Office Paper,,,,,
Paper,Waste Management,Delaware, 408 S Oak St, Primos,610-626-7500,"Corrugated Containers, Mix Office Paper ",www.wm.com,,,,
Paper,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,"Paper, Cardboard",https://www.ccrcyber.com/services/e-waste-management/,,,,
Pesticides,Delaware County HHW ,Delaware,1521 N. Providence Road,Media,610-892-9627 ,Click link for list of events and accepted items,http://www.co.delaware.pa.us/recycle/pdf/2017SERegionalHHWasteEventFlyer.pdf,,,,
Phone Books,Accurate Recycling Corp.,Delaware, 508 E Baltimore Ave, Lansdowne,610-623-7772,"Corrugated Containers, Magazines, Mix Office Paper, Newspaper, Hardbound Books, White Ledger Paper, Boxboard",www.accuraterecycling.com ,,,,
Phone Books,"Atlas Traders, LLC",Delaware, 3 Industrial Dr, Sharon Hill,1-800-727-2748,"Colored Ledger, Corrugated Containers, Computer Paper, White Ledger, ",,,,,
Phone Books,Mccuster & Ogborne,Delaware, 10 Reaney St, Chester,610-532-6300,"Corrugated Containers, Mix Office Paper, Newspaper",www.republicservices.com ,,,,
Phone Books,Recall Secure Destruction Services,Delaware, 1408 W Baltimore Pike, Media,610-558-2400,Mix and Sorted Office Paper,,,,,
Phone Books,Waste Management,Delaware, 408 S Oak St, Primos,610-626-7500,"Corrugated Containers, Mix Office Paper ",www.wm.com,,,,
Phone Books,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,"Paper, Cardboard",https://www.ccrcyber.com/services/e-waste-management/,,,,
Phones,Delaware County Solid Waste Authority,Delaware, 1521 N Providence Rd, Media,610-892-9643,Cell Phones,http://www.co.delaware.pa.us/recycle/,,,,
Plastic,Accurate Recycling Corp.,Delaware, 508 E Baltimore Ave, Lansdowne,610-623-7772,"HDPE, PET, Plastic Film",www.accuraterecycling.com ,,,,
Plastic,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,Styrofoam,https://www.ccrcyber.com/services/e-waste-management/,,,,
Pool Chemicals,Delaware County HHW ,Delaware,1521 N. Providence Road,Media,610-892-9627 ,Click link for list of events and accepted items,http://www.co.delaware.pa.us/recycle/pdf/2017SERegionalHHWasteEventFlyer.pdf,,,,
Propane Tanks,Accurate Metals LLC,Delaware, 29 N 5th St, Darby,610-583-7177,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Stainless Steel ",www.accuraterecycling.com ,,,,
Propane Tanks,Ben & Sam's Scrap Yard,Delaware, 101 Yarnall St, Chester,610-497-2533,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Stainless Steel ",,,,,
Propane Tanks,International Non-Ferrous Metals,Delaware, 3415 W 2nd St, Trainer,610-494-0200,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Stainless Steel ",,,,,
Propane Tanks,Pyromet,Delaware, 5 Commerce Dr, Aston,610-497-1743,"Film, X-Ray Film, Litho Film, Photographic Film, Other Silver Bearing Materials",www.pyromet999.com ,,,,
Propane Tanks,Salem Iron & Metal Co.,Delaware, 1 Townsend St, Chester,610-494-3900,"Aluminum Scrap, Lead, Non-Ferrous Metal, Stainless Steel ",,,,,
Propane Tanks,The David J. Joseph Co.,Delaware, 500 E Swedesford Rd STE 102, Wayne,610-902-8808,"Ferrous Metal, Non-Ferrous Metal",WWW.DJJ.COM ,,,,
Refrigerators,International Non-Ferrous Metals,Delaware,2918 W 2nd St, Chester,610-494-0200,White Goods,,,,,
Refrigerators,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,Appliances Containing Freon,https://www.ccrcyber.com/services/e-waste-management/,,,,
Scrap & Metal,Accurate Metals LLC,Delaware, 29 N 5th St, Darby,610-583-7177,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Stainless Steel ",www.accuraterecycling.com ,,,,
Scrap & Metal,Ben & Sam's Scrap Yard,Delaware, 101 Yarnall St, Chester,610-497-2533,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Stainless Steel ",,,,,
Scrap & Metal,International Non-Ferrous Metals,Delaware, 3415 W 2nd St, Trainer,610-494-0200,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Stainless Steel ",,,,,
Scrap & Metal,Pyromet,Delaware, 5 Commerce Dr, Aston,610-497-1743,"Film, X-Ray Film, Litho Film, Photographic Film, Other Silver Bearing Materials",www.pyromet999.com ,,,,
Scrap & Metal,Salem Iron & Metal Co.,Delaware, 1 Townsend St, Chester,610-494-3900,"Aluminum Scrap, Lead, Non-Ferrous Metal, Stainless Steel ",,,,,
Scrap & Metal,The David J. Joseph Co.,Delaware, 500 E Swedesford Rd STE 102, Wayne,610-902-8808,"Ferrous Metal, Non-Ferrous Metal",WWW.DJJ.COM ,,,,
Smoke Detectors,Delaware County HHW ,Delaware,1521 N. Providence Road,Media,610-892-9627 ,Click link for list of events and accepted items,http://www.co.delaware.pa.us/recycle/pdf/2017SERegionalHHWasteEventFlyer.pdf,,,,
Solvents,Delaware County HHW ,Delaware,1521 N. Providence Road,Media,610-892-9627 ,Click link for list of events and accepted items,http://www.co.delaware.pa.us/recycle/pdf/2017SERegionalHHWasteEventFlyer.pdf,,,,
Telephone Books,Accurate Recycling Corp.,Delaware, 508 E Baltimore Ave, Lansdowne,610-623-7772,"Corrugated Containers, Magazines, Mix Office Paper, Newspaper, Hardbound Books, White Ledger Paper, Boxboard",www.accuraterecycling.com ,,,,
Telephone Books,"Atlas Traders, LLC",Delaware, 3 Industrial Dr, Sharon Hill,1-800-727-2748,"Colored Ledger, Corrugated Containers, Computer Paper, White Ledger, ",,,,,
Telephone Books,Mccuster & Ogborne,Delaware, 10 Reaney St, Chester,610-532-6300,"Corrugated Containers, Mix Office Paper, Newspaper",www.republicservices.com ,,,,
Telephone Books,Recall Secure Destruction Services,Delaware, 1408 W Baltimore Pike, Media,610-558-2400,Mix and Sorted Office Paper,,,,,
Telephone Books,Waste Management,Delaware, 408 S Oak St, Primos,610-626-7500,"Corrugated Containers, Mix Office Paper ",www.wm.com,,,,
Telephone Books,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,"Paper, Cardboard",https://www.ccrcyber.com/services/e-waste-management/,,,,
Televisions,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,"All Electronics **Holds Events for Television Collections, Call for Details",https://www.ccrcyber.com/services/e-waste-management/,"**Holds Events for Television Collections, Call for Details",,,
Televisions,Delaware County Solid Waste Authority,Delaware, 1521 N Providence Rd, Media,610-892-9643,Cell Phones,http://www.co.delaware.pa.us/recycle/,,,,
Thermostats,Commonwealth Computer Recycling,Delaware, 1 Judy Way, Aston,215-527-4353,Thermostats/Thermometers,https://www.ccrcyber.com/services/e-waste-management/,,,,
Toner/Laser Cartridges,Axis International Trade LLC,Delaware, 520 Pusey Ave, Collingdale,484-494-8982,Laser Toner Cartridges,www.pay4cartridge.com ,,,,
Wood,Deckstool.com,Delaware, 100 Mill Rd Unit 4, Clifton Heights,610-544-2629,Broken Wooden Skateboards,www.deckstool.com ,,,,
Wood,HAK Clearing & Recycling Corp.,Delaware, 806 Coventry Ln, Glen Mills,610-459-8050,"Wood Pallets, Clean Wood Chips, Saw Dust",,,,,
X-Ray & MRI Film,Pyromet,Delaware, 5 Commerce Dr, Aston,610-497-1743,"Film, X-Ray Film, Litho Film, Photographic Film, Other Silver Bearing Materials",www.pyromet999.com ,,,,
,,,,,,,,,,,
