Item,Location Name,County,Address,City,Phone,Details,Website,Website,,,
Junk Mail,Chestnuthill Township Recycling Center,Monroe, 3223 Hillcrest Dr, Effort,570-992-4654,"Corrugated Containers, Magazines, Newspapers, Catalogs, Books, Junk Mail, Office Paper",www.chestnuthilltwp-pa.gov ,,,,
Kerosene,Safety Kleen,Monroe,600 Stewart Road,WILKES-BARRE,(570) 825-8134,,,,,,
Mercury,Safety Kleen,Monroe,600 Stewart Road,WILKES-BARRE,(570) 825-8134,,,,,,
Microwaves,Chestnuthill Township Recycling Center,Monroe, 3223 Hillcrest Dr, Effort,570-992-4654,White Goods,www.chestnuthilltwp-pa.gov ,,,,
Mobile Phones,Monroe County Municipal Waste Authority  The New Ventures Facility ,Monroe,Lot 6 Rt. 115,Blakeslee,570-643-6100,"Free of charge, Proof of residency required ",http://thewasteauthority.com/electronic-recycling-program/,,,,
Motor Oil,Safety Kleen,Monroe,600 Stewart Road,WILKES-BARRE,(570) 825-8134,,,,,,
Oil,Safety Kleen,Monroe,600 Stewart Road,WILKES-BARRE,(570) 825-8134,,,,,,
Paint (Oil/Solvent Base),Safety Kleen,Monroe,600 Stewart Road,WILKES-BARRE,(570) 825-8134,,,,,,
Paper,Chestnuthill Township Recycling Center,Monroe, 3223 Hillcrest Dr, Effort,570-992-4654,"Corrugated Containers, Magazines, Newspapers, Catalogs, Books, Junk Mail, Office Paper",www.chestnuthilltwp-pa.gov ,,,,
Paper,Recycle Logistics,Monroe, 2213 Shafer Rd, Stroudsburg,570-629-2583,"Corrugated Containers, Newspapers ",,,,,
Paper,Twin Boroughs,Monroe, 365 Lincoln Ave, East Stroudsburg,570-424-5170,"Corrugated Containers, Newspapers ",,,,,
Paper,WestRock,Monroe, Paper Mill Rd, Delaware Water Gap,570-476-0120,"Corrugated Containers, Newspapers, White Ledger Paper",WWW.WestRock.com ,,,,
Pesticides,Safety Kleen,Monroe,600 Stewart Road,WILKES-BARRE,(570) 825-8134,,,,,,
Phone Books,Chestnuthill Township Recycling Center,Monroe, 3223 Hillcrest Dr, Effort,570-992-4654,"Corrugated Containers, Magazines, Newspapers, Catalogs, Books, Junk Mail, Office Paper",www.chestnuthilltwp-pa.gov ,,,,
Phones,"Roth & Son Recycling, Inc.",Monroe, RR 1 Box 211B, Canadensis,570-595-9573,Cell Phones,http://rothandsonintl.tripod.com ,,,,
Plastic,Chestnuthill Township Recycling Center,Monroe, 3223 Hillcrest Dr, Effort,570-992-4654,"HDPE, PET, PS, Other Plastics ",www.chestnuthilltwp-pa.gov ,,,,
Plastic,Polk Township Recycling,Monroe, 165 Polk Township Rd, Kresgeville,610-681-5376,"HDPE, PET",,,,,
Plastic,Recycle Logistics,Monroe, 2213 Shafer Rd, Stroudsburg,570-629-2583,"HDPE, PET ",,,,,
Plastic,Twin Boroughs,Monroe, 365 Lincoln Ave, East Stroudsburg,570-424-5170,"HDPE, PET",,,,,
Plastic,"Waste Not Technologies, LLC.",Monroe, 2189 Kunkletown Rd, Saylorsburg,570-629-8414,"Plastic Drums, HDPE, Plastic Pallets, Cat Litter Containers, PP",www.plasticfencing.us ,,,,
Pool Chemicals,Safety Kleen,Monroe,600 Stewart Road,WILKES-BARRE,(570) 825-8134,,,,,,
Propane Tanks,J.F.R. Salvage Inc.,Monroe, 860 Crowe Rd, East Stroudsburg,484-553-7008,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel, Steel Cans ",http://www.JFRSalvage.com ,,,,
Propane Tanks,Polk Township Recycling,Monroe, 165 Polk Township Rd, Kresgeville,610-681-5376,"Tin Foil, Scrap Iron, Tin Cans, Steel Cans ",,,,,
Refrigerators,Chestnuthill Township Recycling Center,Monroe, 3223 Hillcrest Dr, Effort,570-992-4654,White Goods,www.chestnuthilltwp-pa.gov ,,,,
Scrap & Metal,J.F.R. Salvage Inc.,Monroe, 860 Crowe Rd, East Stroudsburg,484-553-7008,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel, Steel Cans ",http://www.JFRSalvage.com ,,,,
Scrap & Metal,Polk Township Recycling,Monroe, 165 Polk Township Rd, Kresgeville,610-681-5376,"Tin Foil, Scrap Iron, Tin Cans, Steel Cans ",,,,,
Solvents,Safety Kleen,Monroe,600 Stewart Road,WILKES-BARRE,(570) 825-8134,,,,,,
Tanks,J.F.R. Salvage Inc.,Monroe, 860 Crowe Rd, East Stroudsburg,484-553-7008,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel, Steel Cans ",http://www.JFRSalvage.com ,,,,
Tanks,Polk Township Recycling,Monroe, 165 Polk Township Rd, Kresgeville,610-681-5376,"Tin Foil, Scrap Iron, Tin Cans, Steel Cans ",,,,,
Telephone Books,Chestnuthill Township Recycling Center,Monroe, 3223 Hillcrest Dr, Effort,570-992-4654,"Corrugated Containers, Magazines, Newspapers, Catalogs, Books, Junk Mail, Office Paper",www.chestnuthilltwp-pa.gov ,,,,
Televisions,Monroe County Municipal Waste Authority  The New Ventures Facility ,Monroe,Lot 6 Rt. 115,Blakeslee,570-643-6100,"Free of charge, Proof of residency required ",http://thewasteauthority.com/electronic-recycling-program/,,,,
Thermostats,Safety Kleen,Monroe,600 Stewart Road,WILKES-BARRE,(570) 825-8134,,,,,,
Toner/Laser Cartridges,"Roth & Son Recycling, Inc.",Monroe, RR 1 Box 211B, Canadensis,570-595-9573,Ink Jet and Laser Jet Cartridges,http://rothandsonintl.tripod.com ,,,,
