Item,Location Name,County,Address,City,Phone,Details,Website,,
Phone Books,"Diamond K, Inc.",Lackawanna, 900 Battle St, Scranton,570-346-4684,"Corrugated Containers, Cardboard Cores, Magazines, Newspapers, Books, Catalogs, Phone Books, Office Paper",www.diamondkinc.com,,
Phone Books,Lackawanna County Recycling Center,Lackawanna, 3400 Boulevard Ave, Scranton,570-963-6868,"Brown Bags and Sacks, Magazines, Office Paper, Newspaper, Phone Books ",http://recycling.lackawannacounty.org ,,
Phones,Lackawanna County Recycling Center,Lackawanna, 3400 Boulevard Ave, Scranton,570-963-6868,,,,
Plastic,A.L.S. Services Inc.,Lackawanna, 1115 Midway Dr, Olyphant,570-383-9500,"HDPE, PET, Plastic Film, Polycarbonate, Vinyl, PP, PS, PVC",,,
Plastic,Anthracite Recycling,Lackawanna, 501 W Locust St, Scranton,570-342-0666,"Plastic Film, Plastic Bags, PP Strapping, PS",www.anthraciteauto.net ,,
Plastic,Celtic Trading Co.,Lackawanna, 206 E Grant St, Mcadoo,570-929-1434,PVC,,,
Plastic,Lackawanna County Recycling Center,Lackawanna, 3400 Boulevard Ave, Scranton,570-963-6868,"HDPE, PET, PP, PVC ",http://recycling.lackawannacounty.org ,,
Plastic,Waste Management,Lackawanna, 13 Peggy Pkwy, Dunmore,570-344-7812,"HDPE, PET",www.wm.com ,,
Plastic Bottle Caps,Trash,Lackawanna,,,,,,,
Polystyrene,A.L.S. Services Inc.,Lackawanna, 1115 Midway Dr, Olyphant,570-383-9500,"HDPE, PET, Plastic Film, Polycarbonate, Vinyl, PP, PS, PVC",,,
Polystyrene,Anthracite Recycling,Lackawanna, 501 W Locust St, Scranton,570-342-0666,"Plastic Film, Plastic Bags, PP Strapping, PS",www.anthraciteauto.net ,,
Propane Tanks,Anthracite Recycling,Lackawanna, 501 W Locust St, Scranton,570-342-0666,"Aluminum Scrap, Stainless Steel ",www.anthraciteauto.net ,,
Propane Tanks,Archbald Wrecking Co.,Lackawanna, 90 Main St, Archbald,570-876-1180,"Ferrous Metal, Stainless Steel ",,,
Propane Tanks,Booth & Sons Scrap Yard Inc.,Lackawanna, 125 Railroad St, Moosic,570-961-5883,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal ",,,
Propane Tanks,DMS Shredding Inc.,Lackawanna, 1212 Wheeler Ave, Dunmore,570-819-3339,"Ferrous Metal, Lead, Non-Ferrous Metal ",www.dmsshreddinginc.com ,,
Propane Tanks,Fiegleman's Metal Supply,Lackawanna, 350 Morgan Hwy, Scranton,570-342-5242,"Aluminum Scrap, Lead, Non-Ferrous Metal, Stainless Steel, Steel Cans ",www.fieglemanrecycling.com ,,
Propane Tanks,Harry Letzic Co. Inc.,Lackawanna, 1 Fallbrook St, Carbondale,570-282-2092,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Stainless Steel ",,,
Propane Tanks,Lackawanna County Recycling Center,Lackawanna, 3400 Boulevard Ave, Scranton,570-963-6868,Steel and Tin Cans ,http://recycling.lackawannacounty.org ,,
Propane Tanks,Mike's Scrap Recycling,Lackawanna, 3001 Boulevard Ave, Scranton,570-346-8124,"Aluminum Scrap, Ferrous Metal, Brass, Copper, Stainless Steel ",http://mikesscraprecycling.com ,,
Propane Tanks,Upstate Shredding,Lackawanna, 1500 N Keyser Ave, Scranton,570-342-7444,"Ferrous Metal, Non-Ferrous Metal ",www.upstateshredding.com ,,
Propane Tanks,Waste Management,Lackawanna, 13 Peggy Pkwy, Dunmore,570-344-7812,"Aluminum Scrap, Steel Cans ",www.wm.com ,,
Refrigerators,Fiegleman's Metal Supply,Lackawanna, 350 Morgan Hwy, Scranton,570-342-5242,White Goods,www.fieglemanrecycling.com ,,
Refrigerators,Mike's Scrap Recycling,Lackawanna, 3001 Boulevard Ave, Scranton,570-346-8124,White Goods,http://mikesscraprecycling.com ,,
Scrap & Metal,Anthracite Recycling,Lackawanna, 501 W Locust St, Scranton,570-342-0666,"Aluminum Scrap, Stainless Steel ",www.anthraciteauto.net ,,
Scrap & Metal,Archbald Wrecking Co.,Lackawanna, 90 Main St, Archbald,570-876-1180,"Ferrous Metal, Stainless Steel ",,,
Scrap & Metal,Booth & Sons Scrap Yard Inc.,Lackawanna, 125 Railroad St, Moosic,570-961-5883,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal ",,,
Scrap & Metal,DMS Shredding Inc.,Lackawanna, 1212 Wheeler Ave, Dunmore,570-819-3339,"Ferrous Metal, Lead, Non-Ferrous Metal ",www.dmsshreddinginc.com ,,
Scrap & Metal,Fiegleman's Metal Supply,Lackawanna, 350 Morgan Hwy, Scranton,570-342-5242,"Aluminum Scrap, Lead, Non-Ferrous Metal, Stainless Steel, Steel Cans ",www.fieglemanrecycling.com ,,
Scrap & Metal,Harry Letzic Co. Inc.,Lackawanna, 1 Fallbrook St, Carbondale,570-282-2092,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Stainless Steel ",,,
Scrap & Metal,Lackawanna County Recycling Center,Lackawanna, 3400 Boulevard Ave, Scranton,570-963-6868,Steel and Tin Cans ,http://recycling.lackawannacounty.org ,,
Scrap & Metal,Mike's Scrap Recycling,Lackawanna, 3001 Boulevard Ave, Scranton,570-346-8124,"Aluminum Scrap, Ferrous Metal, Brass, Copper, Stainless Steel ",http://mikesscraprecycling.com ,,
Scrap & Metal,Upstate Shredding,Lackawanna, 1500 N Keyser Ave, Scranton,570-342-7444,"Ferrous Metal, Non-Ferrous Metal ",www.upstateshredding.com ,,
Scrap & Metal,Waste Management,Lackawanna, 13 Peggy Pkwy, Dunmore,570-344-7812,"Aluminum Scrap, Steel Cans ",www.wm.com ,,
Sporting Goods,Donate,Lackawanna,,,,,,,
Styrofoam/Expanded Polystyrene,A.L.S. Services Inc.,Lackawanna, 1115 Midway Dr, Olyphant,570-383-9500,"HDPE, PET, Plastic Film, Polycarbonate, Vinyl, PP, PS, PVC",,,
Styrofoam/Expanded Polystyrene,Anthracite Recycling,Lackawanna, 501 W Locust St, Scranton,570-342-0666,"Plastic Film, Plastic Bags, PP Strapping, PS",www.anthraciteauto.net ,,
Tanks,Anthracite Recycling,Lackawanna, 501 W Locust St, Scranton,570-342-0666,"Aluminum Scrap, Stainless Steel ",www.anthraciteauto.net ,,
Tanks,Archbald Wrecking Co.,Lackawanna, 90 Main St, Archbald,570-876-1180,"Ferrous Metal, Stainless Steel ",,,
Tanks,Booth & Sons Scrap Yard Inc.,Lackawanna, 125 Railroad St, Moosic,570-961-5883,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal ",,,
Tanks,DMS Shredding Inc.,Lackawanna, 1212 Wheeler Ave, Dunmore,570-819-3339,"Ferrous Metal, Lead, Non-Ferrous Metal ",www.dmsshreddinginc.com ,,
Tanks,Fiegleman's Metal Supply,Lackawanna, 350 Morgan Hwy, Scranton,570-342-5242,"Aluminum Scrap, Lead, Non-Ferrous Metal, Stainless Steel, Steel Cans ",www.fieglemanrecycling.com ,,
Tanks,Harry Letzic Co. Inc.,Lackawanna, 1 Fallbrook St, Carbondale,570-282-2092,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal, Stainless Steel ",,,
Tanks,Lackawanna County Recycling Center,Lackawanna, 3400 Boulevard Ave, Scranton,570-963-6868,Steel and Tin Cans ,http://recycling.lackawannacounty.org ,,
Tanks,Mike's Scrap Recycling,Lackawanna, 3001 Boulevard Ave, Scranton,570-346-8124,"Aluminum Scrap, Ferrous Metal, Brass, Copper, Stainless Steel ",http://mikesscraprecycling.com ,,
Tanks,Upstate Shredding,Lackawanna, 1500 N Keyser Ave, Scranton,570-342-7444,"Ferrous Metal, Non-Ferrous Metal ",www.upstateshredding.com ,,
Tanks,Waste Management,Lackawanna, 13 Peggy Pkwy, Dunmore,570-344-7812,"Aluminum Scrap, Steel Cans ",www.wm.com ,,
Telephone Books,"Diamond K, Inc.",Lackawanna, 900 Battle St, Scranton,570-346-4684,"Corrugated Containers, Cardboard Cores, Magazines, Newspapers, Books, Catalogs, Phone Books, Office Paper",www.diamondkinc.com,,
Telephone Books,Lackawanna County Recycling Center,Lackawanna, 3400 Boulevard Ave, Scranton,570-963-6868,"Brown Bags and Sacks, Magazines, Office Paper, Newspaper, Phone Books ",http://recycling.lackawannacounty.org ,,
Televisions,Lackawanna County Recycling Center,Lackawanna, 3400 Boulevard Ave, Scranton,570-963-6868,Ext #5 $1/lb fee,,,
Wood,J & J Pallet Co.,Lackawanna, 1000 Marshwood Rd, Throop,570-489-7705,Clean Wood Only ,www.jandjpallet.com ,,
Wood,Lackawanna County Recycling Center,Lackawanna, 3400 Boulevard Ave, Scranton,570-963-6868,Clean Wood ,http://recycling.lackawannacounty.org ,,
Wood,Waste Management,Lackawanna, 13 Peggy Pkwy, Dunmore,570-344-7812,Clean Wood Waste ,www.wm.com ,,
Wood,A.L.S. Services Inc.,Lackawanna, 1115 Midway Dr, Olyphant,570-383-9500,Pallets,,,
Wood,Celtic Trading Co.,Lackawanna, 206 E Grant St, Mcadoo,570-929-1434,Pallets ,,,
Wood,J & J Pallet Co.,Lackawanna, 1000 Marshwood Rd, Throop,570-489-7705,Pallets,www.jandjpallet.com ,,
