Item,Location Name,County,Address,City,Phone,Details,Website,,
Helium Tanks,Lincoln Recycling, Erie, 1602 Selinger Ave, Erie,814-838-7628 ,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Nickel Alloys, Silver, Gold, Stainless Steel ",www.lincolnrecycling.com,,
Humidifier,Liberty Iron and Metal Holdings LLC, Erie, 1515 East Ave, Erie,814-452-4549 ,White Goods,www.libertyiron.com ,,
Humidifier,Lincoln Recycling, Erie, 1602 Selinger Ave, Erie,814-838-7628 ,White Goods,www.lincolnrecycling.com,,
Ink Cartridges,ERS LLC, Erie, 380 E Bayfront Parkway ,Erie,1-800-842-9923,Ink Jet and Toner Cartridges ,www.ERSUSA.com ,,
Junk Mail,Erie Energy Products, Erie, 1400 Irwin Dr, Erie,814-454-2828,"Boxboard, Chipboard, Corrugated Containers, Magazines, Office Paper, Newspaper, Phone Books",www.erieenergyproducts.com ,,
Kerosene,ECS&R, Erie, 1624 Filmore Ave, Erie,866-815-0016,"$0.35/lb for all Household Hazardous Waste, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Light Bulbs,ECS&R, Erie, 1624 Filmore Ave, Erie,814-315-0446,"CFL Bulbs, $0.20/lb for all Electronics, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Mercury,ECS&R, Erie, 1624 Filmore Ave, Erie,866-815-0016,"$0.35/lb for all Household Hazardous Waste, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Mercury,ECS&R, Erie, 1624 Filmore Ave, Erie,814-315-0446,Mercury Containing Devices,http://www.ecsr.net/services/electronic-universal-waste/,,
Microwaves,Liberty Iron and Metal Holdings LLC, Erie, 1515 East Ave, Erie,814-452-4549 ,White Goods,www.libertyiron.com ,,
Microwaves,Lincoln Recycling, Erie, 1602 Selinger Ave, Erie,814-838-7628 ,White Goods,www.lincolnrecycling.com,,
Mobile Phones,ECS&R, Erie, 1624 Filmore Ave, Erie,814-315-0446,"All Electronics, $0.20/lb for all Electronics, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Motor Oil,ECS&R, Erie, 1624 Filmore Ave, Erie,866-815-0016,"$0.35/lb for all Household Hazardous Waste, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Oil,ECS&R, Erie, 1624 Filmore Ave, Erie,866-815-0016,"$0.35/lb for all Household Hazardous Waste, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Packaging Peanuts,"Engineered Plastics, Inc.", Erie, 1040 Maple Ave, Lake City,814-774-2970,"HDPE, LDPE, PET, PP, PS, PVC, Boat Wrap, Campaign Election Signs, Plastic Shopping Bags ",www.engineeredplastics.com ,,
Packaging Peanuts,EPI Recycling Solutions, Erie, 1367 W 12th St, Erie,814-453-7970,"HDPE, LDPE, PET, PP, PS, PVC, Boat Wrap, Campaign Election Signs, Plastic Shopping Bags ",www.engineeredplastics.com,,
Packaging Peanuts,Foam Fabricators LTD, Erie, 6550 W Ridge Rd, Erie,814-838-4538,"PET, PS (Must be Clean, Not from Food Service Industry) ",WWW.FOAMFABRICATORSINC.COM ,,
Packaging Peanuts,"Insul Board, Inc.", Erie, 2120 Colonial Ave, Erie,814-833-7400,PS (Expanded Polystyrene) ,www.insulboard.com ,,
Paint (Oil/Solvent Base),ECS&R, Erie, 1624 Filmore Ave, Erie,866-815-0016,"$0.35/lb for all Household Hazardous Waste, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Paper,EPI Recycling Solutions, Erie, 1367 W 12th St, Erie,814-453-7970,"Corrugated Containers, Office Paper",www.engineeredplastics.com,,
Paper,Erie Energy Products, Erie, 1400 Irwin Dr, Erie,814-454-2828,"Boxboard, Chipboard, Corrugated Containers, Magazines, Office Paper, Newspaper, Phone Books",www.erieenergyproducts.com ,,
Pesticides,ECS&R, Erie, 1624 Filmore Ave, Erie,866-815-0016,"$0.35/lb for all Household Hazardous Waste, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Phone Books,Erie Energy Products, Erie, 1400 Irwin Dr, Erie,814-454-2828,"Boxboard, Chipboard, Corrugated Containers, Magazines, Office Paper, Newspaper, Phone Books",www.erieenergyproducts.com ,,
Phones,ECS&R, Erie, 1624 Filmore Ave, Erie,814-315-0446,"All Electronics, $0.20/lb for all Electronics, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Plastic,"Engineered Plastics, Inc.", Erie, 1040 Maple Ave, Lake City,814-774-2970,"HDPE, LDPE, PET, PP, PS, PVC, Boat Wrap, Campaign Election Signs, Plastic Shopping Bags ",www.engineeredplastics.com ,,
Plastic,EPI Recycling Solutions, Erie, 1367 W 12th St, Erie,814-453-7970,"HDPE, LDPE, PET, PP, PS, PVC, Boat Wrap, Campaign Election Signs, Plastic Shopping Bags ",www.engineeredplastics.com,,
Plastic,Foam Fabricators LTD, Erie, 6550 W Ridge Rd, Erie,814-838-4538,"PET, PS (Must be Clean, Not from Food Service Industry) ",WWW.FOAMFABRICATORSINC.COM ,,
Plastic,"Insul Board, Inc.", Erie, 2120 Colonial Ave, Erie,814-833-7400,PS (Expanded Polystyrene) ,www.insulboard.com ,,
Polystyrene,"Engineered Plastics, Inc.", Erie, 1040 Maple Ave, Lake City,814-774-2970,"HDPE, LDPE, PET, PP, PS, PVC, Boat Wrap, Campaign Election Signs, Plastic Shopping Bags ",www.engineeredplastics.com ,,
Polystyrene,EPI Recycling Solutions, Erie, 1367 W 12th St, Erie,814-453-7970,"HDPE, LDPE, PET, PP, PS, PVC, Boat Wrap, Campaign Election Signs, Plastic Shopping Bags ",www.engineeredplastics.com,,
Polystyrene,Foam Fabricators LTD, Erie, 6550 W Ridge Rd, Erie,814-838-4538,"PET, PS (Must be Clean, Not from Food Service Industry) ",WWW.FOAMFABRICATORSINC.COM ,,
Polystyrene,"Insul Board, Inc.", Erie, 2120 Colonial Ave, Erie,814-833-7400,PS (Expanded Polystyrene) ,www.insulboard.com ,,
Pool Chemicals,ECS&R, Erie, 1624 Filmore Ave, Erie,866-815-0016,"$0.35/lb for all Household Hazardous Waste, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Propane Tanks,Amsource Incorporated, Erie, 1515 East Ave, Erie,814-453-6758,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal ",,,
Propane Tanks,Edward Verdecchia Co., Erie, 449 Vermont Ave, Erie,814-461-0941,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel ",,,
Propane Tanks,Jay's Auto Wrecking Inc., Erie, 11610 Hamilton Rd, Edinboro,814-734-4022 ,Ferrous Metal ,www.jaysauto.com,,
Propane Tanks,Liberty Iron and Metal Holdings LLC, Erie, 1515 East Ave, Erie,814-452-4549 ,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Stainless Steel ",www.libertyiron.com ,,
Propane Tanks,Lincoln Recycling, Erie, 1602 Selinger Ave, Erie,814-838-7628 ,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Nickel Alloys, Silver, Gold, Stainless Steel ",www.lincolnrecycling.com,,
Refrigerators,Liberty Iron and Metal Holdings LLC, Erie, 1515 East Ave, Erie,814-452-4549 ,White Goods,www.libertyiron.com ,,
Refrigerators,Lincoln Recycling, Erie, 1602 Selinger Ave, Erie,814-838-7628 ,White Goods,www.lincolnrecycling.com,,
Scrap & Metal,Amsource Incorporated, Erie, 1515 East Ave, Erie,814-453-6758,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal ",,,
Scrap & Metal,Edward Verdecchia Co., Erie, 449 Vermont Ave, Erie,814-461-0941,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel ",,,
Scrap & Metal,Jay's Auto Wrecking Inc., Erie, 11610 Hamilton Rd, Edinboro,814-734-4022 ,Ferrous Metal ,www.jaysauto.com,,
Scrap & Metal,Liberty Iron and Metal Holdings LLC, Erie, 1515 East Ave, Erie,814-452-4549 ,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Stainless Steel ",www.libertyiron.com ,,
Scrap & Metal,Lincoln Recycling, Erie, 1602 Selinger Ave, Erie,814-838-7628 ,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Nickel Alloys, Silver, Gold, Stainless Steel ",www.lincolnrecycling.com,,
Solvents,ECS&R, Erie, 1624 Filmore Ave, Erie,866-815-0016,"$0.35/lb for all Household Hazardous Waste, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Styrofoam/Expanded Polystyrene,"Engineered Plastics, Inc.", Erie, 1040 Maple Ave, Lake City,814-774-2970,"HDPE, LDPE, PET, PP, PS, PVC, Boat Wrap, Campaign Election Signs, Plastic Shopping Bags ",www.engineeredplastics.com ,,
Styrofoam/Expanded Polystyrene,EPI Recycling Solutions, Erie, 1367 W 12th St, Erie,814-453-7970,"HDPE, LDPE, PET, PP, PS, PVC, Boat Wrap, Campaign Election Signs, Plastic Shopping Bags ",www.engineeredplastics.com,,
Styrofoam/Expanded Polystyrene,Foam Fabricators LTD, Erie, 6550 W Ridge Rd, Erie,814-838-4538,"PET, PS (Must be Clean, Not from Food Service Industry) ",WWW.FOAMFABRICATORSINC.COM ,,
Styrofoam/Expanded Polystyrene,"Insul Board, Inc.", Erie, 2120 Colonial Ave, Erie,814-833-7400,PS (Expanded Polystyrene) ,www.insulboard.com ,,
Tanks,Amsource Incorporated, Erie, 1515 East Ave, Erie,814-453-6758,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal ",,,
Tanks,Edward Verdecchia Co., Erie, 449 Vermont Ave, Erie,814-461-0941,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel ",,,
Tanks,Jay's Auto Wrecking Inc., Erie, 11610 Hamilton Rd, Edinboro,814-734-4022 ,Ferrous Metal ,www.jaysauto.com,,
Tanks,Liberty Iron and Metal Holdings LLC, Erie, 1515 East Ave, Erie,814-452-4549 ,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Stainless Steel ",www.libertyiron.com ,,
Tanks,Lincoln Recycling, Erie, 1602 Selinger Ave, Erie,814-838-7628 ,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Nickel Alloys, Silver, Gold, Stainless Steel ",www.lincolnrecycling.com,,
Telephone Books,Erie Energy Products, Erie, 1400 Irwin Dr, Erie,814-454-2828,"Boxboard, Chipboard, Corrugated Containers, Magazines, Office Paper, Newspaper, Phone Books",www.erieenergyproducts.com ,,
Televisions,ECS&R, Erie, 1624 Filmore Ave, Erie,814-315-0446,"All Electronics, $0.20/lb for all Electronics, 
Registration is required!",http://www.ecsr.net/services/electronic-universal-waste/,,
Thermostats,ECS&R, Erie, 1624 Filmore Ave, Erie,814-315-0446,Thermostats/Thermometers,http://www.ecsr.net/services/electronic-universal-waste/,,
Toner/Laser Cartridges,ERS LLC, Erie, 380 E Bayfront Parkway ,Erie,1-800-842-9923,Ink Jet and Toner Cartridges ,www.ERSUSA.com ,,
Wood,EPI Recycling Solutions, Erie, 1367 W 12th St, Erie,814-453-7970,Wood Pallets ,www.engineeredplastics.com,,
Wood,Kriscam Pallets, Erie, 1311 Chestnut St, Erie,814-455-6999 ,Wood Pallets ,,,
