Item,Location Name,County,Address,City,Phone,Details,Website,Website,,,
Cell Phones,Vertigo Systems ,Schuylkill,912 Schuylkill Mall,Frackville,570-874-3358,MUST Call for appointment-Accepts All Office & Household Electronics & Computers -ALL TVs including Flat Screen $45 -NO Large Projection TVs/ Wooden Console -CRT Computer Monitors $10 -Printers $10,,,,,
Cell Phones,Responsible Recycling Services,Schuylkill,805 Tomahawk Drive,Kutztown,484-641-5156,"FEES DO APPLY: Televisions, Large Copiers & Large Machines Computer Monitors (CRT & LCDs), Large Appliances, Air Conditioners / Dehumidifiers, Car Batteries, Smart Boards",,,,,
Cell Phones,Bloomsburg Recycling Center,Schuylkill,901 Patterson Dr,Bloomsburg,570-784-4532 ,"Accepts various types of electronics
-$10 per TV",,,,,
Computers,Vertigo Systems ,Schuylkill,376 Centre Avenue,Schuylkill Haven,570-385-3358,MUST Call for appointment-Accepts All Office & Household Electronics & Computers -ALL TVs including Flat Screen $45 -NO Large Projection TVs/ Wooden Console -CRT Computer Monitors $10 -Printers $10,,,,,
Computers,Vertigo Systems ,Schuylkill,912 Schuylkill Mall,Frackville,570-874-3358,MUST Call for appointment-Accepts All Office & Household Electronics & Computers -ALL TVs including Flat Screen $45 -NO Large Projection TVs/ Wooden Console -CRT Computer Monitors $10 -Printers $10,,,,,
Computers,Responsible Recycling Services,Schuylkill,805 Tomahawk Drive,Kutztown,484-641-5156,"FEES DO APPLY: Televisions, Large Copiers & Large Machines Computer Monitors (CRT & LCDs), Large Appliances, Air Conditioners / Dehumidifiers, Car Batteries, Smart Boards",,,,,
Computers,Bloomsburg Recycling Center,Schuylkill,901 Patterson Dr,Bloomsburg,570-784-4532 ,"Accepts various types of electronics
-$10 per TV",,,,,
Construction/Demolition Materials,"Paradigm Solutions, LLC",Schuylkill, 123 Industrial Park Rd, St Clair,570-429-0900,Vinyl Siding ,,,,,
Electronic Equiptment,Vertigo Systems ,Schuylkill,376 Centre Avenue,Schuylkill Haven,570-385-3358,MUST Call for appointment-Accepts All Office & Household Electronics & Computers -ALL TVs including Flat Screen $45 -NO Large Projection TVs/ Wooden Console -CRT Computer Monitors $10 -Printers $10,,,,,
Electronic Equiptment,Vertigo Systems ,Schuylkill,912 Schuylkill Mall,Frackville,570-874-3358,MUST Call for appointment-Accepts All Office & Household Electronics & Computers -ALL TVs including Flat Screen $45 -NO Large Projection TVs/ Wooden Console -CRT Computer Monitors $10 -Printers $10,,,,,
Electronic Equiptment,Responsible Recycling Services,Schuylkill,805 Tomahawk Drive,Kutztown,484-641-5156,"FEES DO APPLY: Televisions, Large Copiers & Large Machines Computer Monitors (CRT & LCDs), Large Appliances, Air Conditioners / Dehumidifiers, Car Batteries, Smart Boards",,,,,
Electronic Equiptment,Bloomsburg Recycling Center,Schuylkill,901 Patterson Dr,Bloomsburg,570-784-4532 ,"Accepts various types of electronics
-$10 per TV",,,,,
Glass,Harsco Minerals International,Schuylkill, 49 Pinedale Industrial Rd, Orwigsburg,570-366-0950,"Brown, Clear, Green, Mixed, and Plate ",www.blackbeautyabrasives.com ,,,,
Helium Tanks,J W Zaprazny Inc.,Schuylkill, 2401 Summer Valley Rd, New Ringgold,570-943-2860,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel ",www.joesusedautoparts.com/zaprazny.html ,,,,
Helium Tanks,"Rubbermiad Commerical Products, LLC",Schuylkill, 14th & Laurel St, Pottsville,1-800-347-9800,"Ferrous Metal, Steel Cans ",www.rubbermaidcommercial.com ,,,,
Helium Tanks,U.S.S. Achey Inc.,Schuylkill, 355 E 2nd Mt Rd RTE 443, Schuylkill Haven,570-366-0781,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Zinc, Catalytic Converters, Stainless Steel ",www.ussachey.com ,,,,
Helium Tanks,Weiner Iron & Metal Corp.,Schuylkill, 1056 RTE 61 Hwy S, Pottsville,570-622-6543,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Stainless Steel ",WWW.WEINERMETALS.COM ,,,,
Humidifier,U.S.S. Achey Inc.,Schuylkill, 355 E 2nd Mt Rd RTE 443, Schuylkill Haven,570-366-0781,White Goods ,www.ussachey.com ,,,,
Humidifier,Weiner Iron & Metal Corp.,Schuylkill, 1056 RTE 61 Hwy S ,Pottsville,570-622-6543,White Goods ,WWW.WEINERMETALS.COM ,,,,
Ink Cartridges,Schuylkill Cartridge King,Schuylkill, 1 S 2nd St (Lover Level), Pottsville,570-622-6741,Empty Cartridges ,www.yourgoodwill.org ,,,,
Microwaves,U.S.S. Achey Inc.,Schuylkill, 355 E 2nd Mt Rd RTE 443, Schuylkill Haven,570-366-0781,White Goods ,www.ussachey.com ,,,,
Microwaves,Weiner Iron & Metal Corp.,Schuylkill, 1056 RTE 61 Hwy S ,Pottsville,570-622-6543,White Goods ,WWW.WEINERMETALS.COM ,,,,
Mobile Phones,Vertigo Systems ,Schuylkill,376 Centre Avenue,Schuylkill Haven,570-385-3358,MUST Call for appointment-Accepts All Office & Household Electronics & Computers -ALL TVs including Flat Screen $45 -NO Large Projection TVs/ Wooden Console -CRT Computer Monitors $10 -Printers $10,,,,,
Mobile Phones,Vertigo Systems ,Schuylkill,912 Schuylkill Mall,Frackville,570-874-3358,MUST Call for appointment-Accepts All Office & Household Electronics & Computers -ALL TVs including Flat Screen $45 -NO Large Projection TVs/ Wooden Console -CRT Computer Monitors $10 -Printers $10,,,,,
Mobile Phones,Responsible Recycling Services,Schuylkill,805 Tomahawk Drive,Kutztown,484-641-5156,"FEES DO APPLY: Televisions, Large Copiers & Large Machines Computer Monitors (CRT & LCDs), Large Appliances, Air Conditioners / Dehumidifiers, Car Batteries, Smart Boards",,,,,
Packaging Peanuts,"Paradigm Solutions, LLC",Schuylkill, 123 Industrial Park Rd, St Clair,570-429-0900,"HDPE, LDPE, PET, Plastic Film, PVA, Nylon, Vinyl, ABS, Polycarbonate, PP, PS, PVC ",,,,,
Packaging Peanuts,"Pottsville Moving & Storage, Inc.",Schuylkill, 762 Water St, Pottsville,570-622-3323,PS,,,,,
Paper,Weiner Iron & Metal Corp.,Schuylkill, 1056 RTE 61 Hwy S ,Pottsville,570-622-6543,"Corrugated Containers, Newspapers, Office Papers, Computer Papers",WWW.WEINERMETALS.COM ,,,,
Phones,Vertigo Systems ,Schuylkill,376 Centre Avenue,Schuylkill Haven,570-385-3358,MUST Call for appointment-Accepts All Office & Household Electronics & Computers -ALL TVs including Flat Screen $45 -NO Large Projection TVs/ Wooden Console -CRT Computer Monitors $10 -Printers $10,,,,,
Phones,Vertigo Systems ,Schuylkill,912 Schuylkill Mall,Frackville,570-874-3358,MUST Call for appointment-Accepts All Office & Household Electronics & Computers -ALL TVs including Flat Screen $45 -NO Large Projection TVs/ Wooden Console -CRT Computer Monitors $10 -Printers $10,,,,,
Phones,Responsible Recycling Services,Schuylkill,805 Tomahawk Drive,Kutztown,484-641-5156,"FEES DO APPLY: Televisions, Large Copiers & Large Machines Computer Monitors (CRT & LCDs), Large Appliances, Air Conditioners / Dehumidifiers, Car Batteries, Smart Boards",,,,,
Phones,Bloomsburg Recycling Center,Schuylkill,901 Patterson Dr,Bloomsburg,570-784-4532 ,"Accepts various types of electronics
-$10 per TV",,,,,
Plastic,"Cougle's Recycling, inc.",Schuylkill, 800 W Market St, Auburn,570-754-7440,HDPE ,www.couglesrecycling.com ,,,,
Plastic,"Meridan Precision, Inc.",Schuylkill, 80 Roberts Rd, Pine Grove,570-345-6600,"HDPE, LDPE, PET, PVC, ABS, C.A.B, Nylon, PET-G, Polycarbonate, PPSU, Polyolefins",www.meridianprecision.com ,,,,
Plastic,"Paradigm Solutions, LLC",Schuylkill, 123 Industrial Park Rd, St Clair,570-429-0900,"HDPE, LDPE, PET, Plastic Film, PVA, Nylon, Vinyl, ABS, Polycarbonate, PP, PS, PVC ",,,,,
Plastic,"Pottsville Moving & Storage, Inc.",Schuylkill, 762 Water St, Pottsville,570-622-3323,PS,,,,,
Plastic,"Rubbermiad Commerical Products, LLC",Schuylkill, 14th & Laurel St, Pottsville,1-800-347-9800,HDPE,www.rubbermaidcommercial.com ,,,,
Polystyrene,"Paradigm Solutions, LLC",Schuylkill, 123 Industrial Park Rd, St Clair,570-429-0900,"HDPE, LDPE, PET, Plastic Film, PVA, Nylon, Vinyl, ABS, Polycarbonate, PP, PS, PVC ",,,,,
Polystyrene,"Pottsville Moving & Storage, Inc.",Schuylkill, 762 Water St, Pottsville,570-622-3323,PS,,,,,
Propane Tanks,J W Zaprazny Inc.,Schuylkill, 2401 Summer Valley Rd, New Ringgold,570-943-2860,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel ",www.joesusedautoparts.com/zaprazny.html ,,,,
Propane Tanks,"Rubbermiad Commerical Products, LLC",Schuylkill, 14th & Laurel St, Pottsville,1-800-347-9800,"Ferrous Metal, Steel Cans ",www.rubbermaidcommercial.com ,,,,
Propane Tanks,U.S.S. Achey Inc.,Schuylkill, 355 E 2nd Mt Rd RTE 443, Schuylkill Haven,570-366-0781,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Zinc, Catalytic Converters, Stainless Steel ",www.ussachey.com ,,,,
Propane Tanks,Weiner Iron & Metal Corp.,Schuylkill, 1056 RTE 61 Hwy S, Pottsville,570-622-6543,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Stainless Steel ",WWW.WEINERMETALS.COM ,,,,
Scrap & Metal,J W Zaprazny Inc.,Schuylkill, 2401 Summer Valley Rd, New Ringgold,570-943-2860,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel ",www.joesusedautoparts.com/zaprazny.html ,,,,
Scrap & Metal,"Rubbermiad Commerical Products, LLC",Schuylkill, 14th & Laurel St, Pottsville,1-800-347-9800,"Ferrous Metal, Steel Cans ",www.rubbermaidcommercial.com ,,,,
Scrap & Metal,U.S.S. Achey Inc.,Schuylkill, 355 E 2nd Mt Rd RTE 443, Schuylkill Haven,570-366-0781,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Zinc, Catalytic Converters, Stainless Steel ",www.ussachey.com ,,,,
Scrap & Metal,Weiner Iron & Metal Corp.,Schuylkill, 1056 RTE 61 Hwy S, Pottsville,570-622-6543,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Stainless Steel ",WWW.WEINERMETALS.COM ,,,,
Tanks,J W Zaprazny Inc.,Schuylkill, 2401 Summer Valley Rd, New Ringgold,570-943-2860,"Aluminum Scrap, Ferrous Metal, Lead, Non-Ferrous Metal, Stainless Steel ",www.joesusedautoparts.com/zaprazny.html ,,,,
Tanks,"Rubbermiad Commerical Products, LLC",Schuylkill, 14th & Laurel St, Pottsville,1-800-347-9800,"Ferrous Metal, Steel Cans ",www.rubbermaidcommercial.com ,,,,
Tanks,U.S.S. Achey Inc.,Schuylkill, 355 E 2nd Mt Rd RTE 443, Schuylkill Haven,570-366-0781,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Zinc, Catalytic Converters, Stainless Steel ",www.ussachey.com ,,,,
Tanks,Weiner Iron & Metal Corp.,Schuylkill, 1056 RTE 61 Hwy S, Pottsville,570-622-6543,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Stainless Steel ",WWW.WEINERMETALS.COM ,,,,
Televisions,Vertigo Systems ,Schuylkill,376 Centre Avenue,Schuylkill Haven,570-385-3358,MUST Call for appointment-Accepts All Office & Household Electronics & Computers -ALL TVs including Flat Screen $45 -NO Large Projection TVs/ Wooden Console -CRT Computer Monitors $10 -Printers $10,,,,,
Televisions,Vertigo Systems ,Schuylkill,912 Schuylkill Mall,Frackville,570-874-3358,MUST Call for appointment-Accepts All Office & Household Electronics & Computers -ALL TVs including Flat Screen $45 -NO Large Projection TVs/ Wooden Console -CRT Computer Monitors $10 -Printers $10,,,,,
Televisions,Responsible Recycling Services,Schuylkill,805 Tomahawk Drive,Kutztown,484-641-5156,"FEES DO APPLY: Televisions, Large Copiers & Large Machines Computer Monitors (CRT & LCDs), Large Appliances, Air Conditioners / Dehumidifiers, Car Batteries, Smart Boards",,,,,
Televisions,Bloomsburg Recycling Center,Schuylkill,901 Patterson Dr,Bloomsburg,570-784-4532 ,"Accepts various types of electronics
-$10 per TV",,,,,
Toner/Laser Cartridges,Schuylkill Cartridge King,Schuylkill, 1 S 2nd St (Lover Level), Pottsville,570-622-6741,Empty Cartridges ,www.yourgoodwill.org ,,,,
