Item,Location Name,County,Address,City,Phone,Details,Website
Computers,Evolution E Cycling,Allegheny, 2235 Mary St, Pittsburgh,412-390-3450,Computers and Peripherals ,http://www.evolutionecycling.com/
Construction/Demolition Materials,H Cartiff & Bros Scrap Metal,Allegheny, 3232 Penn Ave, Pittsburgh,412-261-0336,Roofing Materials,
Construction/Demolition Materials,"AgRecycle, Inc.",Allegheny, 335 N Braddock Ave, Pittsburgh,412-767-7645,"Contact: Carla Castagnero, Pre-Industrial Gypsum Wallboard ",http://www.agrecycle.com/index.php
Construction/Demolition Materials,"Boyd Roll Off Services, Inc.",Allegheny, 1200 Railroad Pl, Mckees Rocks,412-331-6830,"NO Hazardous, Residual, Explosive, Radioactive, Liquid, or Special Handling Waste",http://boydrolloff.com/
Construction/Demolition Materials,Collier Stone Company,Allegheny, 80 Noblestown Rd, Carnegie,412-276-7300,"Concrete, Asphalt, Brick, Block",http://www.collierstonepa.com/index2.html
Construction/Demolition Materials,J.A. Rutter Co.,Allegheny, 4917 Old William Penn Hwy, Monroeville,724-327-1101,"Contact: James Rutter, Wood Pallets and Crates (Must be Unpainted/Untreated)",http://www.jarutter.com/
Construction/Demolition Materials,"Lindy Paving, Inc.",Allegheny, 2340 2nd Ave, Pittsburgh,412-281-4389,"Contact: Paul Reiner, Accept Asphalt Shingles @ Neville Island Plant (Pre- and Post-Consumer)",http://www.pjdick.com/tpjwebsite.nsf/web/Home?opendocument
Construction/Demolition Materials,Penn Waste Systems,Allegheny, 149 Nichol Ave, Mckees Rocks,412-771-1000,"Cement, Metal, Drywall, Brick, Stone ",http://www.pennwastesystems.com/
Construction/Demolition Materials,"Recycle Source, LLC",Allegheny, 50 Vespucius St, Pittsburgh,412-420-6000,"Contact: Russell Holby, Post-Industrial Gypsum Board, Brick, Block, Concrete, Untreated/Unpainted Wood ",
Electronic Equiptment,"eLoop, LLC",Allegheny, 625 Plum Industrial Ct, Pittsburgh,724-519-7646,Accepts Most Electronics,http://eloopllc.com/
Electronic Equiptment,Evolution E Cycling,Allegheny, 2235 Mary St, Pittsburgh,412-390-3450,"TVs. Cell Phones, Monitors, Computers, Microwaves, Cables, Printers",http://www.evolutionecycling.com/
Fluorescent Lights,Dlubak Glass,Allegheny, 1600 Saxonbug Rd, Natrona Heights,724-224-6611,"Contact: James Dlubak, Fluorescent Light Bulbs",http://www.dlubak.com/
Fluorescent Lights,"eLoop, LLC",Allegheny, 625 Plum Industrial Ct, Pittsburgh,724-519-7646,"Fluorescent, CFL, HID, Incandescent, UV/ARC, Halogen, Neon",http://eloopllc.com/
Furniture,Goodwill of Southwestern PA,Allegheny, 2600 E Carson St, Pittsburgh,412-431-1539,Various,http://www.goodwillswpa.org/
Glass,Dlubak Glass,Allegheny, 1600 Saxonbug Rd, Natrona Heights,724-224-6611,"Contact: James Dlubak, Green, Brown, and Clear Glass, Car Windshields, Pre-Consumer Plate Glass",http://www.dlubak.com/
Glass,Kelman Bottles LLC,Allegheny, 1101 William Flynn Hwy, Glenshaw,412-486-9100,"Contact: William Kelman, Brown, Clear, and Green Glass",http://www.americanglasscontainers.com/
Light Bulbs,"eLoop, LLC",Allegheny, 625 Plum Industrial Ct, Pittsburgh,724-519-7646,"Fluorescent, CFL, HID, Incandescent, UV/ARC, Halogen, Neon",http://eloopllc.com/
Paper,"AgRecycle, Inc.",Allegheny, 335 N Braddock Ave, Pittsburgh,412-767-7645,"Contact: Carla Castagnero, Wax Cardboard",http://www.agrecycle.com/index.php
Paper,Atlas Materials Recycling Corp.,Allegheny, 2329 Wharton St, Pittsburgh,412-431-5329,"Colored/White Ledgers, Corrugated Containers, Newspapers, Catalogs, Sorted Office Paper",http://atlasrecycles.com/what.php
Paper,Cintas Document Management,Allegheny, 611 E Pittsburgh Mckeesport Blvd, North Versailles,412-347-5967,"Brown Bags & Sacks, Corrugated Containers, Magazines, Office Paper, Nespapers, Phone Books, White Ledger",http://www.cintas.com/
Paper,Largent's Pallets and Recycling,Allegheny,Ê934 RT 910 ,Cheswick,412-377-9021,Corrugated Containers,
Paper,"Recycle Source, LLC",Allegheny, 50 Vespucius St, Pittsburgh,412-420-6000,"Contact: Russell Holby , Corrugated Containers, Magazines, Catalogs, Newspapers, Hardback Books, Phone Books, Office Paper",
Paper,Royal Oak Recycling,Allegheny, 4830 Grand Ave, Pittsburgh,412-329-2590,"Corrugated Containers, Magazines, Newspapers, Junk Mail, Sorted Office Paper",www.royaloakrecycling.com 
Paper,"Stanson Paper Processing, LLC",Allegheny, 876 R I Lampus Ave, Springdale,724-275-7285,"Corrugated Containers, Magazines, Newspapers, Sorted Office Paper",www.stansonpaper.com 
Paper,"TC Recycling, LLC",Allegheny, 121 Brickyard Rd, Mars,724-625-9000,Corrugated Containers,www.tcrecycling.com 
Paper,"Waste Management GREENSTAR Pittsburgh, LLC",Allegheny, 4100 Grand Ave, Pittsburgh,412-250-0275,"Contact: Bob Johns , Corrugated Containers, Magazines, Newspapers, Poly-Coated Cartons, Sorted Office Paper",www.wm.com 
Paper Shredding,Belleview Business Center,Allegheny, 512 Lincoln Ave, Bellevue,412-766-1725,Document Shredding,http://bellevuebusinesscenter.com/services/
Plastics,Appliance Warehouse,Allegheny, 523 Bingham St, Pittsburgh,412-381-8800,"Polystyrene Foam Packaging, ",http://www.appliancewarehouse.com/
Plastics,Atlas Materials Recycling Corp.,Allegheny, 2329 Wharton St, Pittsburgh,412-431-5329,"*Commercial/Industrial Sources Only* HDPE and LDPE, PET, PP, PS, Rigid Plastic, Polycarbonate",http://atlasrecycles.com/what.php
Plastics,Bayer Corp. Plastics Business Group,Allegheny, 100 Bayer Rd, #4 Pittsburgh,412-777-2000,"Contact: Patricia Etta, Recycled Sheets with Plastic Polyurethane Foam",http://www.bayer.us/
Plastics,"Black Rhino Recycling, Inc.",Allegheny, 4503 Lebanon Church Rd, West Mifflin,1-800-974-4669,"Contact: Keith Brody, HDPE (High Density Polyethylene)",http://www.blackrhinoproducts.com/
Plastics,Largent's Pallets and Recycling,Allegheny, 934 RT 910 , Cheswick,412-377-9021,Plastic Pallets,
Plastics,"Recycle Source, LLC",Allegheny, 50 Vespucius St, Pittsburgh,412-420-6000,"Contact: Russell Holby , HDPE, PET, Some Industrial Plastics ",
Plastics,"Thread, LLC",Allegheny, 6014 Penn Ave, Pittsburgh,814-876-9999,PET is recycled into fabrics,www.threadinternational.com 
Plastics,"Waste Management GREENSTAR Pittsburgh, LLC",Allegheny, 4100 Grand Ave, Pittsburgh, 412-250-0275,"Contact: Bob Johns, HDPE, PET",www.wm.com 
Oil Heaters,ECS & R ,Allegheny, 129 Ash Stop Rd, Evans City,1-866-815-006,"$0.68/pound,  (Intersection of Route 68 and Ash Stop Road across from the Forward Township Building)",
Scrap & Metal,AAA Scrap Iron and Metal,Allegheny, 3315 Penn Ave, Pittsburgh,412-621-3405,"Copper, Brass, Aluminum, Stainless Steel, Radiators, Auto Scrap, Tin, Alloy, Wire, Electronic Scrap",http://www.aaascrapmetal.com/
Scrap & Metal,"AJ Warhola Recycling, Inc.",Allegheny, 203 Chesboro St, Pittsburgh,412-321-1820,"Aluminum, Ferrous Metal, Lead, Stainless Steel",
Scrap & Metal,ALCOA,Allegheny, 100 Technical Center, New Kensington,724-337-5300,Aluminum Scrap,http://www.alcoa.com/recycling/en/info_page/home.asp
Scrap & Metal,AMG Resources Corp.,Allegheny,ÊTwo Robinson Plaza Suite 350 ,ÊPAÊPittsburgh,412-777-7300,"Ferrous Metal, Tin, Steel Cans, Aluminum, Copper",https://www.amgresources.com/
Scrap & Metal,Atlantic Precious Metal Refining,Allegheny,Ê920 Riverside Pl, Leetsdale,1-800-289-9293,"Contact: Donald Mappin, Gold, Silver, Platinum, Palladium",https://www.apmr.com/
Scrap & Metal,Atwater Steel Trading Corp #1,Allegheny, 1910 Cochran Rd, STE 940 Pittsburgh,412-341-2274,Ferrous and Non-ferrous Metal,
Scrap & Metal,Bethel Metal & Recycling,Allegheny, 448 S 2nd Ave, Elizabeth,412-384-6090,Stainless Steel ,
Scrap & Metal,"Boyd Roll Off Services, Inc.",Allegheny, 1200 Railroad Pl, Mckees Rocks,412-331-6830,"Aluminum Scrap, Brass, Copper, Stainless Steel ",http://boydrolloff.com/
Scrap & Metal,"Bristal Metal Products, Inc.",Allegheny, 3000 Lebanon Church Rd, West Mifflin,412-469-1315,"Aluminum Scrap, Ferrous Metal, Nickel Alloys, Stainless Steel ",http://www.bristalmetalproducts.com/
Scrap & Metal,Castriota Metals and Recycling,Allegheny, 1200 Saw Mill Road Blvd, Pittsburgh,412-431-1832,"Aluminum Scrap, Ferrous Metal, Copper, Brass, Catalytic Converters, Stainless Steel, Steel Cans ",http://www.castriotametals.com/
Scrap & Metal,Casturo Iron & Metal Co.,Allegheny, 750 W 5th Ave, Mckeesport,412-672-1407,"Aluminum, Copper, Brass, Stainless Steel, Ferrous Metal ",
Scrap & Metal,D & D Auto Salvage,Allegheny,Ê6375 Allegheny Valley Railroad ,Pittsburgh,412-781-9840,"Aluminum Scrap, Ferrous Metal, Copper, Brass, Stainless Steel",http://www.danddsalvagepittsburgh.com/
Scrap & Metal,ELG Metals Inc.,Allegheny, 369 River Rd, Mckeesport,412-672-9200,"Non-Ferrous Metals, Stainless Steel, Special Alloys",http://www.elg.de/en/products.html
Scrap & Metal,"Fitzsimmons Metal Co., Inc.",Allegheny, 1654 Butler Plank Rd, Glenshaw,412-486-8587,"Aluminum Scrap, Non-Ferrous Metal, Copper, Brass",http://www.fitzsimmonsmetal.com/
Scrap & Metal,Gipson and Company,Allegheny,Ê5194 State RTE 51, Belle Vernon,724-379-4722,"Aluminum Scrap, Ferrous Metal, Non-Ferrous Metal",
Scrap & Metal,HARSCO Metals & Minerals,Allegheny, 300 Seven Fields Blvd, Seven Fields,724-741-6600,"Aluminum Scrap, Ferrous Metal ",http://harsco-m.com/
Scrap & Metal,Josh Steel Co.,Allegheny, 46 Sixth St, Braddock,412-351-3500,"Aluminum, Copper, Brass, Stainless Steel, Ferrous Metal, Lead, Zinc",http://www.joshsteel.biz/
Scrap & Metal,"Keystone Iron & Metal Co., Inc.",Allegheny, 4903 E Carson St, Pittsburgh,412-462-1520,"Contact: Mike Kaufman, Aluminum, Ferrous Metal, Lead, Stainless Steel",**Accepts Propane tanks
Scrap & Metal,"Keywell Metals, LLC",Allegheny, 890 Noble Dr, West Mifflin,412-462-5555,"Non-Ferrous Metal, Stainless Steel, Nickel, Chrome, Cobalt, Titanium, Alloys, Tungsten",http://www.keywell.com/products.php
Scrap & Metal,Latrobe Recycling Inc.,Allegheny, 3100 Walnut St,ÊMckeesport,412-664-0666,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Stainless Steel",
Scrap & Metal,Neville Metals,Allegheny, 3100 Grand Ave, Pittsburgh,412-771-7000,"Aluminum Scrap, Ferrous Metal, Copper, Brass, Nickel, Stainless Steel ",http://www.metalico.com/
Scrap & Metal,"Northside Scrap Metals, Inc.",Allegheny, 825 Pennsylvania Ave, Pittsburgh,412-321-2058,"Copper, Aluminum, Steel, Radiators, Alloys, Motors, Transmissions, Carbide, Die Cast, Rims",http://www.northsidescrapmetals.com/services.php
Scrap & Metal,PJ Greco Son's Inc.,Allegheny, 1450 Freeport Rd, Tarentum,724-224-2424,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Stainless Steel, Catalytic Converters",http://pjgreco.com/
Scrap & Metal,The David J. Joseph Company #2,Allegheny,ÊPenn Center West #2 ÊSTE 301 ,Pittsburgh,412-788-6791,"Ferrous Metal, Non-Ferrous Metal",www.DJJ.COM 
Scrap & Metal,The Lenick Company,Allegheny, 1910 Cochran Rd Manor Oak One STE 540, Pittsburgh,412-341-3441,"Ferrous Metal, Non-Ferrous Metal",
Scrap & Metal,"Three Rivers Scrap Metals, Inc.",Allegheny, 825 Behan St, Pittsburgh,412-322-1155,"Aluminum Scrap, Ferrous Metal, Lead, Brass, Copper, Nickel, Zinc, Stainless Steel",www.threeriversscrapmetal.com 
Scrap & Metal,TNT Metals,Allegheny, 6 30th St, Pittsburgh,412-391-7655,"Aluminum Scrap, Ferrous Metal, Lead, Brass, Copper, Nickel, Zinc, Stainless Steel, Platinum, Alloys, Precious Metals",http://tntmetals.org/ 
Scrap & Metal,Tomson Scrap Metal,Allegheny, 1100 Sixth Ave, Brackenridge,724-224-0387,"Aluminum Scrap, Ferrous Metal, Lead, Brass, Copper, Nickel, Zinc, Stainless Steel, Platinum, Alloys, Precious Metals",www.tomsonscrapmetal.com 
Scrap & Metal,Tube City IMS,Allegheny, 516 Delwar Rd, West Mifflin,412-675-7105,Ferrous and Non-ferrous Metal,www.TUBECITYIMS.COM
Scrap & Metal,U.S. Steel Corporation Edgar Thomson Plant,Allegheny, 13th St  Braddock Ave, Braddock,412-273-7000,"Ferrous Metal, Steel Cans",www.ussteel.com 
Scrap & Metal,Verona Iron & Metal,Allegheny, 718 Plum St, Verona,412-828-3440,Ferrous and Non-ferrous Metal,
Televisions,"eLoop, LLC",Allegheny, 625 Plum Industrial Ct, Pittsburgh,724-519-7646,Televisions ,http://eloopllc.com/
Televisions,Evolution  E Cycling,Allegheny, 2235 Mary St, Pittsburgh,412-390-3450,Televisions ,http://www.evolutionecycling.com/
Toner/Laser Cartridges,Evolution  E Cycling,Allegheny, 2235 Mary St, Pittsburgh,412-390-3450,Toner/Laser Cartridges,http://www.evolutionecycling.com/
Wood,"AgRecycle, Inc.",Allegheny, 335 N Braddock Ave, Pittsburgh,412-767-7645,"Contact: Carla Castagnero , Clean Lumber with No Nails/Metal, Wood Chips",http://www.agrecycle.com/index.php
Wood,Allegheny Recycled Products,Allegheny, 4201 Grand Ave, Pittsburgh,412-331-6704,"Wood Pallets, Clean Wood",http://www.arpallet.com/default.aspx
Wood,"Boyd Roll Off Services, Inc.",Allegheny, 1200 Railroad Pl, Mckees Rocks,412-331-6830,Wood Waste,http://boydrolloff.com/
Wood,"Diamond Mulch, Inc. #2",Allegheny, 1 Hershey Rd, Indianola,412-767-8834,"Clean Wood Pallets, Clean Wood Crates, Tree Stumps, No Painted/Treated Wood",http://www.diamondmulch.com/Default.aspx
Wood,Largent's Pallets and Recycling,Allegheny, 934 RT 910, Cheswick,412-377-9021,"Wood Pallets, Wood Reels",
Wood,Penn Waste Systems,Allegheny, 149 Nichol Ave, Mckees Rocks,412-771-1000,Wood Materials,http://www.pennwastesystems.com/
Wood,Rich's Bianco Pallet Recycling,Allegheny, 1319 Washington Blvd, Pittsburgh,412-362-1336,Wood Pallets,
Aluminum,"Cumberland Recycling, Inc.",Cumberland, 121 Stover Dr, Carlisle,717-243-8781,Aluminum Cans,www.weinermetals.com 
Appliances (with Freon),Appliance Service Company,Cumberland, 114 Front St, Enola,717-608-4924,Appliances,http://harnerapplianceservice.com/
Appliances (with Freon),Barlups,Cumberland, 301 N Enola Rd, Enola,717-732-5338,Appliances,http://barlupsappliance.com/
Appliances (with Freon),Wolfgang Appliance,Cumberland, 5 W Locust St, Mechanicsburg,717-697-8526,Appliances,http://wolfgangappliance.com/
Appliances (with Freon),Marvin's Repair,Cumberland, 9917 Sporting Hill Rd, Orrstown,717-530-1858,Appliances,
Appliances (No Freon),Appliance Service Company,Cumberland, 114 Front St, Enola,717-608-4924,Appliances,http://harnerapplianceservice.com/
Appliances (No Freon),Barlups,Cumberland, 301 N Enola Rd, Enola,717-732-5338,Appliances,http://barlupsappliance.com/
Appliances (No Freon),Wolfgang Appliance,Cumberland, 5 W Locust St, Mechanicsburg,717-697-8526,Appliances,http://wolfgangappliance.com/
Appliances (No Freon),Marvin's Repair,Cumberland, 9917 Sporting Hill Rd, Orrstown,717-530-1858,Appliances,
Batteries (Lead Acid),Batteries + Bulbs,Cumberland, 2501 Gettysburg Rd, Camp Hill,717-730-7472,"Auto Batteries, NiCad Batteries, Lithium Ion, Lithium Polymer",www.batteriesplus.com 
Batteries (Lead Acid),Battery Warehouse Mechanicsburg,Cumberland, 5233 Simpson Ferry Rd, Mechanicsburg,717-697-4414,Auto Batteries,
Batteries (Lead Acid),Batteries + Bulbs,Cumberland, 2501 Gettysburg Rd, Camp Hill,717-730-7472,"Auto Batteries, NiCad Batteries, Lithium Ion, Lithium Polymer",www.batteriesplus.com 
Batteries (Lead Acid),Battery Warehouse Mechanicsburg,Cumberland, 5233 Simpson Ferry Rd, Mechanicsburg,717-697-4414,Auto Batteries,
Clothing/Textiles,Project Share,Cumberland, 5 N Orange St STE 4, Carlisle,717-249-7773,Textiles,www.projectshare.net
Construction/Demolition Materials,"Pennsy Supply, Penn Township",Cumberland, 200 Pennsy Rd, Newville,717-236-7023,"Contact: John Rice, Pre and Post-Consumer Shingles",www.pennsysupply.com 
Electronic Equiptment,The Computer Barn,Cumberland, 1460 Newville Rd, Carlisle,717-258-9663,"All Electronics, NO TV's",http://www.thecomputerbarn.com/
Electronic Equiptment,The Computer Ministry,Cumberland, 5 Pleasant View Dr, Mechanicsburg,717-766-6373,"Computers, Printers, Laptops, Peripherals, Software, Tablets, Gaming Systems, Cell Phones",http://compministry.org/
Paper,"Cumberland Recycling, Inc.",Cumberland, 121 Stover Dr, Carlisle,717-243-8781,"Corrugated Containers, Sorted Office Paper",www.weinermetals.com 
Paper,Project Share,Cumberland, 5 N Orange St STE 4, Carlisle,717-249-7773,Textiles,www.projectshare.net
Scrap & Metal,"Cumberland Recycling, Inc.",Cumberland, 121 Stover Dr, Carlisle,717-243-8781,"Aluminum Scrap, Ferrous Metal, Lead, Copper, Brass, Stainless Steel ",www.weinermetals.com 
Scrap & Metal,Agway Carlisle Country Living,Cumberland, 520 E North St, Carlisle,717-243-4312,Propane Tanks,http://carlislecountryliving.com/
Scrap & Metal,Agway Davis Country Living,Cumberland, 45 W Allen St, Mechanicsburg,717-766-4726,Propane Tanks,http://www.agway.com/
Thermostats,"R.E. Michel Company, Inc.",Cumberland, 1524 Commerce Ave, Carlisle,717-240-0008,Mercury Thermostats,https://www.remichel.com/WebServices/
Thermostats,"Peirce Phelps, Inc.",Cumberland, 490 S St John's Church Rd,  Camp Hill,717-761-0240,Mercury Thermostats,http://www.peirce.com/
Toner/Laser Cartridges,Cartridge World,Cumberland, 200 S Spring Garden St, Carlisle,717-249-8900,"Toner, Laser, and Inkjet Cartridges (Also Offers Cartridge Refills)",www.cartridgeworld.com 
