zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2014
15728,STANDARD,0,Clymer,,,PA,"Indiana County",America/New_York,724,NA,US,40.66,-79.01,3110
15729,STANDARD,0,Commodore,,,PA,"Indiana County",America/New_York,,NA,US,40.69,-78.9,1220
15730,STANDARD,0,Coolspring,,,PA,"Jefferson County",America/New_York,814,NA,US,41.06,-79.09,139
15731,"PO BOX",0,Coral,,,PA,"Indiana County",America/New_York,,NA,US,40.5,-79.18,332
15732,STANDARD,0,Creekside,,,PA,"Indiana County",America/New_York,"412,724",NA,US,40.68,-79.19,1560
15733,"PO BOX",0,"De Lancey",,,PA,"Jefferson County",America/New_York,814,NA,US,40.99,-78.96,105
15734,"PO BOX",0,Dixonville,,,PA,"Indiana County",America/New_York,814,NA,US,40.72,-79,308
15736,"PO BOX",0,Elderton,,,PA,"Armstrong County",America/New_York,724,NA,US,40.69,-79.34,643
15737,"PO BOX",0,Elmora,,,PA,"Cambria County",America/New_York,814,NA,US,40.6,-78.76,561
15738,"PO BOX",0,Emeigh,,,PA,"Cambria County",America/New_York,814,NA,US,40.69,-78.76,225
15739,"PO BOX",0,Ernest,,,PA,"Indiana County",America/New_York,,NA,US,40.67,-79.17,440
15740,STANDARD,1,Frostburg,,,PA,"Jefferson County",America/New_York,814,NA,US,40.96,-79.03,0
15741,"PO BOX",0,Gipsy,,,PA,"Indiana County",America/New_York,814,NA,US,40.8,-78.89,74
15742,STANDARD,0,"Glen Campbell",,,PA,"Indiana County",America/New_York,814,NA,US,40.81,-78.83,810
15744,STANDARD,0,Hamilton,,,PA,"Jefferson County",America/New_York,814,NA,US,40.92,-79.08,107
15745,"PO BOX",0,Heilwood,,,PA,"Indiana County",America/New_York,724,NA,US,40.62,-78.92,352
15746,"PO BOX",0,Hillsdale,,,PA,"Indiana County",America/New_York,814,NA,US,40.76,-78.89,211
15747,STANDARD,0,Home,,,PA,"Indiana County",America/New_York,724,NA,US,40.78,-79.15,1750
15748,STANDARD,0,"Homer City","Graceton, Waterman",,PA,"Indiana County",America/New_York,"724,412,878",NA,US,40.53,-79.15,6260
15750,STANDARD,0,Josephine,,,PA,"Indiana County",America/New_York,,NA,US,40.48,-79.18,154
15752,"PO BOX",0,Kent,,,PA,"Indiana County",America/New_York,,NA,US,40.54,-79.28,108
15753,STANDARD,0,"La Jose",,,PA,"Clearfield County",America/New_York,814,NA,US,40.81,-78.62,420
15754,"PO BOX",0,Lucernemines,,,PA,"Indiana County",America/New_York,,NA,US,40.56,-79.15,515
15756,"PO BOX",0,"Mc Intyre",,Mcintyre,PA,"Indiana County",America/New_York,724,NA,US,40.57,-79.3,184
15757,STANDARD,0,Mahaffey,"Mcgees Mills","Mc Gees Mills",PA,"Clearfield County",America/New_York,814,NA,US,40.87,-78.72,1410
15758,STANDARD,0,Marchand,,,PA,"Indiana County",America/New_York,814,NA,US,40.87,-79.04,17
15759,STANDARD,0,"Marion Center",,,PA,"Indiana County",America/New_York,724,NA,US,40.77,-79.04,2520
15760,STANDARD,0,Marsteller,,,PA,"Cambria County",America/New_York,814,NA,US,40.64,-78.81,104
15761,STANDARD,0,Mentcle,,,PA,"Indiana County",America/New_York,724,NA,US,40.63,-78.89,70
15762,STANDARD,0,Nicktown,,,PA,"Cambria County",America/New_York,814,NA,US,40.59,-78.83,900
15763,STANDARD,0,Northpoint,,,PA,"Indiana County",America/New_York,,NA,US,40.9,-79.12,29
15764,STANDARD,0,Oliveburg,,,PA,"Jefferson County",America/New_York,814,NA,US,40.99,-79.03,102
15765,STANDARD,0,"Penn Run",,,PA,"Indiana County",America/New_York,,NA,US,40.6,-78.99,1450
15767,STANDARD,0,Punxsutawney,"Frostburg, Juneau",,PA,"Jefferson County",America/New_York,814,NA,US,40.94,-78.97,12590
15770,STANDARD,0,Ringgold,,,PA,"Jefferson County",America/New_York,814,NA,US,41.01,-79.14,170
15771,STANDARD,0,"Rochester Mills","Rochester Mls",,PA,"Indiana County",America/New_York,724,NA,US,40.82,-79,840
15772,STANDARD,0,Rossiter,,,PA,"Indiana County",America/New_York,"724,814",NA,US,40.86,-78.94,1330
15773,STANDARD,0,"Saint Benedict","St Benedict",,PA,"Cambria County",America/New_York,814,NA,US,40.63,-78.74,380
15774,STANDARD,0,Shelocta,,,PA,"Indiana County",America/New_York,724,NA,US,40.65,-79.3,2890
15775,STANDARD,0,Spangler,,,PA,"Cambria County",America/New_York,814,NA,US,40.63,-78.79,0
15776,STANDARD,0,"Sprankle Mills","Sprankle Mls",,PA,"Jefferson County",America/New_York,814,NA,US,41.01,-79.11,50
15777,STANDARD,0,Starford,,,PA,"Indiana County",America/New_York,,NA,US,40.69,-78.97,151
15778,STANDARD,0,Timblin,,,PA,"Jefferson County",America/New_York,814,NA,US,40.97,-79.2,155
15779,"PO BOX",0,Torrance,,,PA,"Westmoreland County",America/New_York,724,NA,US,40.39,-79.22,191
15780,STANDARD,0,Valier,,,PA,"Jefferson County",America/New_York,724,NA,US,40.91,-79.07,138
15781,"PO BOX",0,Walston,,,PA,"Jefferson County",America/New_York,814,NA,US,40.96,-78.99,144
15783,"PO BOX",0,"West Lebanon",,,PA,"Indiana County",America/New_York,724,NA,US,40.6,-79.35,126
15784,STANDARD,0,Worthville,,,PA,"Jefferson County",America/New_York,814,NA,US,41.02,-79.14,125
15801,STANDARD,0,"Du Bois",Dubois,,PA,"Clearfield County",America/New_York,814,NA,US,41.14,-78.73,17240
15821,STANDARD,0,Benezett,Benezette,,PA,"Elk County",America/New_York,814,NA,US,41.35,-78.37,181
15822,STANDARD,0,"Brandy Camp",,,PA,"Elk County",America/New_York,814,NA,US,41.34,-78.7,0
15823,STANDARD,0,Brockport,,,PA,"Elk County",America/New_York,814,NA,US,41.27,-78.73,1380
15824,STANDARD,0,Brockway,,,PA,"Jefferson County",America/New_York,814,NA,US,41.24,-78.79,4850
15825,STANDARD,0,Brookville,Hazen,,PA,"Jefferson County",America/New_York,814,NA,US,41.16,-79.08,8600
15827,STANDARD,0,Byrnedale,,,PA,"Elk County",America/New_York,814,NA,US,41.32,-78.52,270
15828,STANDARD,0,Clarington,,Brookville,PA,"Jefferson County",America/New_York,814,NA,US,41.32,-79.14,240
15829,STANDARD,0,Corsica,,,PA,"Jefferson County",America/New_York,814,NA,US,41.18,-79.2,1110
15831,"PO BOX",0,"Dagus Mines",,,PA,"Elk County",America/New_York,814,NA,US,41.36,-78.59,227
15832,STANDARD,0,Driftwood,,,PA,"Cameron County",America/New_York,814,NA,US,41.34,-78.13,250
15834,STANDARD,0,Emporium,,,PA,"Cameron County",America/New_York,814,NA,US,41.51,-78.23,3840
15840,STANDARD,0,"Falls Creek",,,PA,"Jefferson County",America/New_York,814,NA,US,41.14,-78.8,1770
15841,"PO BOX",0,Force,,,PA,"Elk County",America/New_York,814,NA,US,41.26,-78.53,232
15845,STANDARD,0,Johnsonburg,,,PA,"Elk County",America/New_York,814,NA,US,41.49,-78.67,2840
15846,STANDARD,0,Kersey,,,PA,"Elk County",America/New_York,814,NA,US,41.32,-78.6,3100
15847,"PO BOX",0,"Knox Dale",,,PA,"Jefferson County",America/New_York,814,NA,US,41.09,-79.03,200
15848,STANDARD,0,Luthersburg,,,PA,"Clearfield County",America/New_York,814,NA,US,41.03,-78.74,990
15849,STANDARD,0,Penfield,,,PA,"Clearfield County",America/New_York,814,NA,US,41.21,-78.6,1100
15851,STANDARD,0,Reynoldsville,,,PA,"Jefferson County",America/New_York,814,NA,US,41.09,-78.88,5930
15853,STANDARD,0,Ridgway,"Portland Mills, Portland Mls",,PA,"Elk County",America/New_York,814,NA,US,41.42,-78.72,5950
15856,STANDARD,0,Rockton,,,PA,"Clearfield County",America/New_York,814,NA,US,41.08,-78.66,810
15857,STANDARD,0,"Saint Marys",,"St Marys",PA,"Elk County",America/New_York,814,NA,US,41.42,-78.55,12230
15860,STANDARD,0,Sigel,Hallton,,PA,"Jefferson County",America/New_York,814,NA,US,41.28,-79.12,1000
15861,STANDARD,0,Sinnamahoning,,,PA,"Cameron County",America/New_York,814,NA,US,41.38,-78.05,150
15863,"PO BOX",0,"Stump Creek",,,PA,"Jefferson County",America/New_York,814,NA,US,41.01,-78.84,226
15864,STANDARD,0,Summerville,,,PA,"Jefferson County",America/New_York,814,NA,US,41.1,-79.2,1720
15865,STANDARD,0,Sykesville,,,PA,"Jefferson County",America/New_York,814,NA,US,41.04,-78.83,1040
15866,STANDARD,0,Troutville,,,PA,"Clearfield County",America/New_York,814,NA,US,41.02,-78.78,187
15868,STANDARD,0,Weedville,,,PA,"Elk County",America/New_York,814,NA,US,41.26,-78.49,1390
15870,STANDARD,0,Wilcox,,,PA,"Elk County",America/New_York,814,NA,US,41.58,-78.68,1150
15901,STANDARD,0,Johnstown,,,PA,"Cambria County",America/New_York,814,NA,US,40.33,-78.91,2210
15902,STANDARD,0,Johnstown,,,PA,"Cambria County",America/New_York,814,NA,US,40.32,-78.91,9430
15904,STANDARD,0,Johnstown,,,PA,"Cambria County",America/New_York,814,NA,US,40.31,-78.84,13450
15905,STANDARD,0,Johnstown,,,PA,"Cambria County",America/New_York,814,NA,US,40.29,-78.97,18180
15906,STANDARD,0,Johnstown,,,PA,"Cambria County",America/New_York,814,NA,US,40.38,-78.96,8510
15907,"PO BOX",0,Johnstown,,,PA,"Cambria County",America/New_York,814,NA,US,40.32,-78.91,279
15909,STANDARD,0,Johnstown,Conemaugh,,PA,"Cambria County",America/New_York,814,NA,US,40.41,-78.87,4710
15915,STANDARD,0,Johnstown,,,PA,"Cambria County",America/New_York,814,NA,US,40.32,-78.91,0
15920,STANDARD,0,Armagh,,,PA,"Indiana County",America/New_York,,NA,US,40.45,-79.03,860
15921,"PO BOX",0,Beaverdale,,,PA,"Cambria County",America/New_York,814,NA,US,40.32,-78.7,809
15922,"PO BOX",0,Belsano,,,PA,"Cambria County",America/New_York,814,NA,US,40.52,-78.88,274
15923,STANDARD,0,Bolivar,,,PA,"Westmoreland County",America/New_York,724,NA,US,40.39,-79.15,1370
15924,STANDARD,0,Cairnbrook,,,PA,"Somerset County",America/New_York,814,NA,US,40.1,-78.76,900
15925,"PO BOX",0,Cassandra,,,PA,"Cambria County",America/New_York,814,NA,US,40.41,-78.64,150
15926,STANDARD,0,"Central City",,,PA,"Somerset County",America/New_York,814,NA,US,40.05,-78.82,2170
15927,STANDARD,0,Colver,,,PA,"Cambria County",America/New_York,814,NA,US,40.54,-78.78,1080
15928,STANDARD,0,Davidsville,,,PA,"Somerset County",America/New_York,814,NA,US,40.23,-78.93,1810
15929,"PO BOX",0,Dilltown,,,PA,"Indiana County",America/New_York,814,NA,US,40.47,-79.01,164
15930,"PO BOX",0,Dunlo,,,PA,"Cambria County",America/New_York,814,NA,US,40.29,-78.72,378
15931,STANDARD,0,Ebensburg,,,PA,"Cambria County",America/New_York,814,NA,US,40.48,-78.72,7650
15934,"PO BOX",0,Elton,,,PA,"Cambria County",America/New_York,814,NA,US,40.28,-78.8,305
15935,STANDARD,0,Hollsopple,,,PA,"Somerset County",America/New_York,814,NA,US,40.24,-78.96,2390
15936,STANDARD,0,Hooversville,,,PA,"Somerset County",America/New_York,814,NA,US,40.15,-78.91,1330
15937,"PO BOX",0,Jerome,,,PA,"Somerset County",America/New_York,814,NA,US,40.21,-78.98,689
15938,STANDARD,0,Lilly,,,PA,"Cambria County",America/New_York,814,NA,US,40.42,-78.62,2230
15940,STANDARD,0,Loretto,,,PA,"Cambria County",America/New_York,814,NA,US,40.5,-78.63,1620
15942,STANDARD,0,"Mineral Point",,,PA,"Cambria County",America/New_York,814,NA,US,40.38,-78.82,1860
15943,STANDARD,0,"Nanty Glo",,,PA,"Cambria County",America/New_York,814,NA,US,40.47,-78.83,3150
15944,STANDARD,0,"New Florence",,,PA,"Westmoreland County",America/New_York,724,NA,US,40.37,-79.07,2860
15945,STANDARD,0,Parkhill,Johnstown,,PA,"Cambria County",America/New_York,814,NA,US,40.36,-78.87,230
15946,STANDARD,0,Portage,Puritan,,PA,"Cambria County",America/New_York,814,NA,US,40.38,-78.67,6050
15948,"PO BOX",0,Revloc,,,PA,"Cambria County",America/New_York,814,NA,US,40.49,-78.76,580
15949,STANDARD,0,Robinson,,,PA,"Indiana County",America/New_York,724,NA,US,40.41,-79.13,640
15951,"PO BOX",0,"Saint Michael",,,PA,"Cambria County",America/New_York,814,NA,US,40.33,-78.77,585
15952,STANDARD,0,Salix,,,PA,"Cambria County",America/New_York,814,NA,US,40.3,-78.78,1260
15953,STANDARD,0,Seanor,,,PA,"Somerset County",America/New_York,814,NA,US,40.21,-78.89,78
15954,STANDARD,0,Seward,,"Boltz, Cramer",PA,"Indiana County",America/New_York,814,NA,US,40.41,-79.02,1890
15955,STANDARD,0,Sidman,,,PA,"Cambria County",America/New_York,814,NA,US,40.32,-78.7,1730
15956,STANDARD,0,"South Fork",,Ehrenfeld,PA,"Cambria County",America/New_York,814,NA,US,40.36,-78.79,2540
15957,STANDARD,0,Strongstown,,,PA,"Indiana County",America/New_York,,NA,US,40.56,-78.91,420
15958,STANDARD,0,Summerhill,,,PA,"Cambria County",America/New_York,814,NA,US,40.39,-78.73,1980
15959,"PO BOX",0,"Tire Hill",,,PA,"Somerset County",America/New_York,814,NA,US,40.27,-78.92,228
15960,"PO BOX",0,"Twin Rocks",,,PA,"Cambria County",America/New_York,814,NA,US,40.5,-78.88,368
15961,STANDARD,0,Vintondale,,,PA,"Indiana County",America/New_York,,NA,US,40.47,-78.91,860
15962,"PO BOX",0,Wilmore,,,PA,"Cambria County",America/New_York,814,NA,US,40.39,-78.72,249
15963,STANDARD,0,Windber,,,PA,"Somerset County",America/New_York,814,NA,US,40.23,-78.82,9490
16001,STANDARD,0,Butler,Meridian,,PA,"Butler County",America/New_York,"412,724",NA,US,40.86,-79.89,36050
16002,STANDARD,0,Butler,,,PA,"Butler County",America/New_York,"724,412",NA,US,40.82,-79.86,14750
16003,"PO BOX",0,Butler,,,PA,"Butler County",America/New_York,724,NA,US,40.86,-79.89,400
16016,UNIQUE,0,Boyers,,"Social Security Admin",PA,"Butler County",America/New_York,724,NA,US,41.11,-79.9,0
16017,UNIQUE,0,Boyers,,"Office Of Personnel Mgmt",PA,"Butler County",America/New_York,724,NA,US,41.11,-79.9,0
16018,UNIQUE,0,Boyers,Annandale,"Natl Agency For Check Inqu",PA,"Butler County",America/New_York,724,NA,US,41.11,-79.9,0
16020,STANDARD,0,Boyers,Annandale,,PA,"Butler County",America/New_York,"724,814",NA,US,41.11,-79.9,1110
16021,STANDARD,0,Branchton,,,PA,"Butler County",America/New_York,724,NA,US,41.08,-79.97,0
16022,"PO BOX",0,Bruin,,,PA,"Butler County",America/New_York,724,NA,US,41.05,-79.73,584
16023,STANDARD,0,Cabot,Marwood,,PA,"Butler County",America/New_York,724,NA,US,40.78,-79.75,3890
16024,"PO BOX",0,Callery,,,PA,"Butler County",America/New_York,724,NA,US,40.74,-80.04,385
16025,STANDARD,0,Chicora,,,PA,"Butler County",America/New_York,724,NA,US,40.94,-79.74,5060
16027,"PO BOX",0,Connoquenessing,Connoqunsg,,PA,"Butler County",America/New_York,724,NA,US,40.82,-80.02,526
16028,STANDARD,0,"East Brady",,,PA,"Clarion County",America/New_York,724,NA,US,40.98,-79.61,1570
16029,"PO BOX",0,"East Butler",,,PA,"Butler County",America/New_York,724,NA,US,40.88,-79.85,720
16030,"PO BOX",0,"Eau Claire",,,PA,"Butler County",America/New_York,724,NA,US,41.13,-79.79,393
16033,STANDARD,0,"Evans City",,,PA,"Butler County",America/New_York,724,NA,US,40.76,-80.05,5880
16034,STANDARD,0,Fenelton,,,PA,"Butler County",America/New_York,724,NA,US,40.85,-79.75,1740
16035,"PO BOX",0,Forestville,,,PA,"Butler County",America/New_York,724,NA,US,41.11,-80.01,173
16036,"PO BOX",0,Foxburg,,,PA,"Clarion County",America/New_York,,NA,US,41.14,-79.68,224
16037,STANDARD,0,Harmony,,,PA,"Butler County",America/New_York,724,NA,US,40.8,-80.12,4490
16038,STANDARD,0,Harrisville,,Barkeyville,PA,"Butler County",America/New_York,"724,814",NA,US,41.13,-80.01,3030
16039,"PO BOX",0,Herman,,,PA,"Butler County",America/New_York,724,NA,US,40.83,-79.79,138
16040,STANDARD,0,Hilliards,,,PA,"Butler County",America/New_York,724,NA,US,41.1,-79.83,890
16041,STANDARD,0,"Karns City",,,PA,"Butler County",America/New_York,724,NA,US,40.99,-79.72,1750
16045,STANDARD,0,Lyndora,,,PA,"Butler County",America/New_York,"412,724",NA,US,40.85,-79.92,1040
16046,STANDARD,0,Mars,"Seven Fields",,PA,"Butler County",America/New_York,"412,724",NA,US,40.69,-80.01,15440
16048,"PO BOX",0,"North Washington","N Washington",,PA,"Butler County",America/New_York,724,NA,US,41.05,-79.82,146
16049,STANDARD,0,Parker,,,PA,"Clarion County",America/New_York,"724,814",NA,US,41.09,-79.68,2830
16050,STANDARD,0,Petrolia,,,PA,"Butler County",America/New_York,724,NA,US,41.02,-79.71,1270
16051,STANDARD,0,Portersville,,,PA,"Butler County",America/New_York,724,NA,US,40.92,-80.14,2860
16052,STANDARD,0,Prospect,,,PA,"Butler County",America/New_York,724,NA,US,40.9,-80.04,2390
16053,STANDARD,0,Renfrew,,,PA,"Butler County",America/New_York,724,NA,US,40.8,-79.98,3900
16054,"PO BOX",0,"Saint Petersburg","St Petersburg",,PA,"Clarion County",America/New_York,,NA,US,41.16,-79.65,447
16055,STANDARD,0,Sarver,,,PA,"Butler County",America/New_York,724,NA,US,40.73,-79.73,8090
16056,STANDARD,0,Saxonburg,,,PA,"Butler County",America/New_York,724,NA,US,40.75,-79.81,4590
16057,STANDARD,0,"Slippery Rock",,,PA,"Butler County",America/New_York,724,NA,US,41.07,-80.06,8730
16058,"PO BOX",0,"Turkey City",,,PA,"Clarion County",America/New_York,,NA,US,41.18,-79.61,35
16059,STANDARD,0,Valencia,,,PA,"Butler County",America/New_York,724,NA,US,40.71,-79.93,8220
16061,STANDARD,0,"West Sunbury",,,PA,"Butler County",America/New_York,724,NA,US,41,-79.89,2420
16063,STANDARD,0,Zelienople,,,PA,"Butler County",America/New_York,724,NA,US,40.78,-80.14,6530
16066,STANDARD,0,"Cranberry Twp","Cranberry Township",,PA,"Butler County",America/New_York,"412,724",NA,US,40.71,-80.1,29550
16101,STANDARD,0,"New Castle",,Castle,PA,"Lawrence County",America/New_York,724,NA,US,40.99,-80.34,27060
16102,STANDARD,0,"New Castle",,Castle,PA,"Lawrence County",America/New_York,724,NA,US,40.96,-80.42,4780
16103,"PO BOX",0,"New Castle",,,PA,"Lawrence County",America/New_York,724,NA,US,40.99,-80.34,296
16105,STANDARD,0,"New Castle",Neshannock,Castle,PA,"Lawrence County",America/New_York,"878,724",NA,US,41.06,-80.34,14380
16107,"PO BOX",0,"New Castle",,,PA,"Lawrence County",America/New_York,724,NA,US,40.99,-80.34,281
16108,STANDARD,0,"New Castle",,,PA,"Lawrence County",America/New_York,724,NA,US,40.99,-80.34,0
16110,STANDARD,0,Adamsville,,,PA,"Crawford County",America/New_York,,NA,US,41.5,-80.37,340
16111,STANDARD,0,Atlantic,,,PA,"Crawford County",America/New_York,724,NA,US,41.53,-80.27,1150
16112,STANDARD,0,Bessemer,,,PA,"Lawrence County",America/New_York,724,NA,US,40.96,-80.5,1360
16113,"PO BOX",0,Clark,,,PA,"Mercer County",America/New_York,724,NA,US,41.28,-80.42,479
16114,STANDARD,0,"Clarks Mills",,,PA,"Mercer County",America/New_York,724,NA,US,41.4,-80.18,580
16115,STANDARD,0,Darlington,,,PA,"Beaver County",America/New_York,724,NA,US,40.81,-80.42,3050
16116,STANDARD,0,Edinburg,,,PA,"Lawrence County",America/New_York,724,NA,US,41.02,-80.46,2470
16117,STANDARD,0,"Ellwood City",Ellport,,PA,"Lawrence County",America/New_York,724,NA,US,40.86,-80.28,15240
16120,STANDARD,0,"Enon Valley",,,PA,"Lawrence County",America/New_York,724,NA,US,40.85,-80.45,2120
16121,STANDARD,0,Farrell,,,PA,"Mercer County",America/New_York,724,NA,US,41.21,-80.5,3670
16123,STANDARD,0,Fombell,,,PA,"Beaver County",America/New_York,724,NA,US,40.81,-80.2,2140
16124,STANDARD,0,Fredonia,,,PA,"Mercer County",America/New_York,724,NA,US,41.32,-80.25,1890
16125,STANDARD,0,Greenville,Shenango,,PA,"Mercer County",America/New_York,724,NA,US,41.4,-80.38,14940
16127,STANDARD,0,"Grove City",,"Grove City Postal Retail Str",PA,"Mercer County",America/New_York,"814,724",NA,US,41.15,-80.08,12480
16130,STANDARD,0,Hadley,,,PA,"Mercer County",America/New_York,724,NA,US,41.44,-80.22,1890
16131,STANDARD,0,Hartstown,,,PA,"Crawford County",America/New_York,,NA,US,41.55,-80.38,900
16132,"PO BOX",0,Hillsville,,,PA,"Lawrence County",America/New_York,724,NA,US,41,-80.5,431
16133,STANDARD,0,"Jackson Center","Jackson Ctr",,PA,"Mercer County",America/New_York,724,NA,US,41.27,-80.13,1500
16134,STANDARD,0,Jamestown,Westford,,PA,"Crawford County",America/New_York,724,NA,US,41.48,-80.43,3330
16136,"PO BOX",0,Koppel,,,PA,"Beaver County",America/New_York,724,NA,US,40.83,-80.32,803
16137,STANDARD,0,Mercer,,,PA,"Mercer County",America/New_York,724,NA,US,41.22,-80.23,10390
16140,"PO BOX",0,"New Bedford",,,PA,"Lawrence County",America/New_York,724,NA,US,41.1,-80.51,279
16141,STANDARD,0,"New Galilee",,,PA,"Lawrence County",America/New_York,724,NA,US,40.83,-80.4,1570
16142,STANDARD,0,"New Wilmington","New Wilmngtn",,PA,"Lawrence County",America/New_York,"724,878",NA,US,41.11,-80.33,5410
16143,STANDARD,0,Pulaski,,,PA,"Lawrence County",America/New_York,724,NA,US,41.09,-80.45,2460
16145,STANDARD,0,"Sandy Lake",,,PA,"Mercer County",America/New_York,724,NA,US,41.34,-80.08,2490
16146,STANDARD,0,Sharon,,,PA,"Mercer County",America/New_York,"724,878",NA,US,41.23,-80.49,10620
16148,STANDARD,0,Hermitage,Sharon,,PA,"Mercer County",America/New_York,"878,724",NA,US,41.22,-80.44,15420
16150,STANDARD,0,Sharpsville,,,PA,"Mercer County",America/New_York,724,NA,US,41.25,-80.48,6990
16151,"PO BOX",0,Sheakleyville,,,PA,"Mercer County",America/New_York,724,NA,US,41.44,-80.21,169
16153,STANDARD,0,Stoneboro,,,PA,"Mercer County",America/New_York,724,NA,US,41.33,-80.1,2360
16154,STANDARD,0,Transfer,,"Delaware Twp, S Pymatuning Twp",PA,"Mercer County",America/New_York,724,NA,US,41.32,-80.42,2290
16155,"PO BOX",0,"Villa Maria",,,PA,"Lawrence County",America/New_York,724,NA,US,41.07,-80.51,39
16156,STANDARD,0,Volant,,,PA,"Lawrence County",America/New_York,"724,878",NA,US,41.11,-80.25,3120
16157,STANDARD,0,Wampum,,,PA,"Lawrence County",America/New_York,724,NA,US,40.88,-80.33,2970
16159,STANDARD,0,"West Middlesex","W Middlesex",,PA,"Mercer County",America/New_York,724,NA,US,41.17,-80.45,4180
16160,"PO BOX",0,"West Pittsburg","W Pittsburg",,PA,"Lawrence County",America/New_York,724,NA,US,40.93,-80.36,757
16161,"PO BOX",0,Wheatland,,,PA,"Mercer County",America/New_York,724,NA,US,41.19,-80.49,598
16172,UNIQUE,0,"New Wilmington","New Wilmngtn","Westminster College",PA,"Lawrence County",America/New_York,724,NA,US,41.11,-80.33,0
16201,STANDARD,0,Kittanning,,,PA,"Armstrong County",America/New_York,"412,724",NA,US,40.82,-79.52,15420
16210,STANDARD,0,Adrian,,,PA,"Armstrong County",America/New_York,"412,724",NA,US,40.9,-79.5,910
16211,"PO BOX",0,Beyer,,,PA,"Indiana County",America/New_York,724,NA,US,40.79,-79.2,89
16212,"PO BOX",0,Cadogan,,,PA,"Armstrong County",America/New_York,724,NA,US,40.75,-79.58,365
16213,"PO BOX",0,Callensburg,,,PA,"Clarion County",America/New_York,,NA,US,41.13,-79.56,159
16214,STANDARD,0,Clarion,,,PA,"Clarion County",America/New_York,814,NA,US,41.21,-79.38,5630
16215,UNIQUE,1,Kittanning,,Alltel,PA,"Armstrong County",America/New_York,724,NA,US,40.81,-79.52,0
16217,STANDARD,0,Cooksburg,,,PA,"Forest County",America/New_York,814,NA,US,41.33,-79.17,161
16218,STANDARD,0,Cowansville,,,PA,"Armstrong County",America/New_York,724,NA,US,40.93,-79.59,970
16220,"PO BOX",0,Crown,,,PA,"Clarion County",America/New_York,814,NA,US,41.39,-79.27,86
16221,"PO BOX",0,Curllsville,,,PA,"Clarion County",America/New_York,814,NA,US,41.1,-79.43,47
16222,STANDARD,0,Dayton,,,PA,"Armstrong County",America/New_York,814,NA,US,40.88,-79.24,2380
16223,"PO BOX",0,Distant,,,PA,"Armstrong County",America/New_York,724,NA,US,40.98,-79.36,283
16224,STANDARD,0,"Fairmount City","Fairmount Cty",,PA,"Clarion County",America/New_York,814,NA,US,41.05,-79.29,1010
16225,"PO BOX",0,Fisher,,,PA,"Clarion County",America/New_York,814,NA,US,41.26,-79.25,109
16226,STANDARD,0,"Ford City",,,PA,"Armstrong County",America/New_York,"412,724",NA,US,40.76,-79.53,7030
16228,STANDARD,0,"Ford Cliff",,,PA,"Armstrong County",America/New_York,724,NA,US,40.76,-79.54,320
16229,STANDARD,0,Freeport,,,PA,"Armstrong County",America/New_York,"724,878",NA,US,40.68,-79.68,4950
16230,"PO BOX",0,Hawthorn,,,PA,"Clarion County",America/New_York,,NA,US,41.02,-79.27,539
16232,STANDARD,0,Knox,,,PA,"Clarion County",America/New_York,814,NA,US,41.23,-79.53,3930
16233,STANDARD,0,Leeper,,,PA,"Clarion County",America/New_York,814,NA,US,41.36,-79.29,980
16234,"PO BOX",0,Limestone,,,PA,"Clarion County",America/New_York,,NA,US,41.13,-79.28,75
16235,STANDARD,0,Lucinda,,,PA,"Clarion County",America/New_York,,NA,US,41.31,-79.38,1170
16236,"PO BOX",0,"Mc Grann",,Mcgrann,PA,"Armstrong County",America/New_York,724,NA,US,40.79,-79.52,335
16238,"PO BOX",0,Manorville,,,PA,"Armstrong County",America/New_York,724,NA,US,40.79,-79.52,414
16239,STANDARD,0,Marienville,,,PA,"Forest County",America/New_York,814,NA,US,41.45,-79.08,1260
16240,STANDARD,0,Mayport,,,PA,"Clarion County",America/New_York,814,NA,US,41.02,-79.22,1350
16242,STANDARD,0,"New Bethlehem",Climax,,PA,"Clarion County",America/New_York,814,NA,US,41,-79.32,4050
16244,"PO BOX",0,"Nu Mine",,,PA,"Armstrong County",America/New_York,724,NA,US,40.79,-79.28,225
16245,"PO BOX",0,"Oak Ridge",,,PA,"Armstrong County",America/New_York,724,NA,US,41.01,-79.3,179
16246,"PO BOX",0,Plumville,,,PA,"Indiana County",America/New_York,,NA,US,40.79,-79.18,306
16248,STANDARD,0,Rimersburg,Huey,,PA,"Clarion County",America/New_York,814,NA,US,41.04,-79.5,2730
16249,STANDARD,0,"Rural Valley",,,PA,"Armstrong County",America/New_York,724,NA,US,40.79,-79.31,1940
16250,"PO BOX",0,Sagamore,,,PA,"Armstrong County",America/New_York,724,NA,US,40.78,-79.23,256
16253,STANDARD,0,Seminole,,,PA,"Armstrong County",America/New_York,724,NA,US,40.95,-79.34,137
16254,STANDARD,0,Shippenville,,,PA,"Clarion County",America/New_York,814,NA,US,41.25,-79.46,2880
16255,STANDARD,0,Sligo,,,PA,"Clarion County",America/New_York,814,NA,US,41.1,-79.49,1630
16256,STANDARD,0,Smicksburg,,,PA,"Indiana County",America/New_York,,NA,US,40.87,-79.17,1990
16257,STANDARD,0,Snydersburg,,,PA,"Clarion County",America/New_York,,NA,US,41.33,-79.35,0
